scientific_name,msy_multiple_fishing,fishing_mort_bau,fishing_mort_rb,percent_mort_diff,mort_scenario,simulation_avm,simulation_prm,n_div_k,pred_avm_25,pred_avm_mean,pred_avm_75,pred_prm_25,pred_prm_mean,pred_prm_75
Alopias pelagicus,1.5,0.06186106275,0.054439155815327635,11.997703571092247,BAU,1,1,0.2529144935756599,0.5336,0.6045684934800627,0.658528672427337,0.11501923076923076,0.19845069169963123,0.2820666666666667
Alopias pelagicus,1.5,0.06186106275,0.054439155815327635,11.997703571092247,Low Mortality,0.5336,0.11501923076923076,0.5595860258007515,0.5336,0.6045684934800627,0.658528672427337,0.11501923076923076,0.19845069169963123,0.2820666666666667
Alopias pelagicus,1.5,0.06186106275,0.054439155815327635,11.997703571092247,Median Mortality,0.6045684934800627,0.19845069169963123,0.48778693842237886,0.5336,0.6045684934800627,0.658528672427337,0.11501923076923076,0.19845069169963123,0.2820666666666667
Alopias pelagicus,1.5,0.06186106275,0.054439155815327635,11.997703571092247,High Mortality,0.658528672427337,0.2820666666666667,0.4340340356824679,0.5336,0.6045684934800627,0.658528672427337,0.11501923076923076,0.19845069169963123,0.2820666666666667
Alopias superciliosus,1.5,0.04859941725,0.044176489071377646,9.100784389801202,BAU,1,1,0.2573146278773081,0.32435639810426536,0.4909071299860598,0.638,0.11501923076923076,0.18538708920482855,0.3703896103896104
Alopias superciliosus,1.5,0.04859941725,0.044176489071377646,9.100784389801202,Low Mortality,0.32435639810426536,0.11501923076923076,0.6984692698878534,0.32435639810426536,0.4909071299860598,0.638,0.11501923076923076,0.18538708920482855,0.3703896103896104
Alopias superciliosus,1.5,0.04859941725,0.044176489071377646,9.100784389801202,Median Mortality,0.4909071299860598,0.18538708920482855,0.5611871106511175,0.32435639810426536,0.4909071299860598,0.638,0.11501923076923076,0.18538708920482855,0.3703896103896104
Alopias superciliosus,1.5,0.04859941725,0.044176489071377646,9.100784389801202,High Mortality,0.638,0.3703896103896104,0.4219102508986134,0.32435639810426536,0.4909071299860598,0.638,0.11501923076923076,0.18538708920482855,0.3703896103896104
Alopias vulpinus,1.5,0.06190762500000001,0.05705112569478731,7.844751442512445,BAU,1,1,0.2529051405738153,0.5336,0.5408101974489377,0.658528672427337,0.11501923076923076,0.145055538514566,0.3703896103896104
Alopias vulpinus,1.5,0.06190762500000001,0.05705112569478731,7.844751442512445,Low Mortality,0.5336,0.11501923076923076,0.5595858827061794,0.5336,0.5408101974489377,0.658528672427337,0.11501923076923076,0.145055538514566,0.3703896103896104
Alopias vulpinus,1.5,0.06190762500000001,0.05705112569478731,7.844751442512445,Median Mortality,0.5408101974489377,0.145055538514566,0.5444619259361189,0.5336,0.5408101974489377,0.658528672427337,0.11501923076923076,0.145055538514566,0.3703896103896104
Alopias vulpinus,1.5,0.06190762500000001,0.05705112569478731,7.844751442512445,High Mortality,0.658528672427337,0.3703896103896104,0.41148858511373126,0.5336,0.5408101974489377,0.658528672427337,0.11501923076923076,0.145055538514566,0.3703896103896104
