scientific_name,f,f_mort,mid_avm,mid_prm,redlist_category,family,common_name,percent_diff,abs_diff,avm_prm,p_max,f_fmsy,mean_f_fmsy
Carcharhinus signatus,0.05517778625,0.024513764886438024,0.11357333333333336,0.3730657105144148,EN,Carcharhinidae,Night shark,55.5731,0.030664021363561975,0.48663904384774814,0.12419904663615962,2.250888538250474,2.9695078567749085
Carcharhinus sorrah,0.17057887927395027,0.10961406200986318,0.429925,0.3730657105144148,NT,Carcharhinidae,Spottail shark,35.74,0.06096481726408709,0.8029907105144147,0.26545110375653636,1.556178026766262,2.9695078567749085
Carcharhinus tilstoni,0.17985470525155076,0.08805977477790677,0.157,0.394562497946848,LC,Carcharhinidae,Australian blacktip shark,51.0384,0.09179493047364398,0.551562497946848,0.3673382921545676,2.042416914479919,2.9695078567749085
Carcharhinus tjutjot,0.05447083000691234,0.031664750276407715,0.429925,0.2655628283970689,VU,Carcharhinidae,Indonesian whaler shark,41.8684,0.022806079730504622,0.6954878283970689,0.09370261614494069,1.7202347776424527,2.9695078567749085
Carcharias taurus,0.02610649776317006,0.016951970952094088,0.429925,0.38488645458587656,CR,Odontaspididae,Sand tiger shark,35.0661,0.009154526811075973,0.8148114545858766,0.040204727828099134,1.5400276280956482,2.9695078567749085
Carcharodon carcharias,0.09315814152183474,0.04200675946373096,0.17383720930232557,0.33538379618251823,VU,Lamnidae,Great white shark,54.9081,0.05115138205810378,0.5092210054848438,0.20659617696711544,2.2176931998873406,2.9695078567749085
Centrophorus atromarginatus,0.05335154601158458,0.019388843040517828,0.33,0.04987567861020629,CR,Centrophoridae,Dwarf gulper shark,63.6583,0.03396270297106675,0.3798756786102063,0.1468053118362228,2.751659938858116,2.9695078567749085
Centrophorus granulosus,0.0296279175,0.010531539554550022,0.33,0.038,EN,Centrophoridae,Gulper shark,64.454,0.01909637794544998,0.368,0.0833509185281044,2.813256062566814,2.9695078567749085
Centrophorus harrissoni,0.06085329641137688,0.011862437335951626,0.157,0.045,EN,Centrophoridae,Dumb gulper shark,80.5065,0.048990859075425254,0.202,0.31217224413972294,5.129915099905098,2.9695078567749085
Centrophorus isodon,0.04057274818244219,0.014612275257906475,0.33,0.045,EN,Centrophoridae,Blackfin gulper shark,63.985,0.025960472924535717,0.375,0.11265513864346022,2.776620852422602,2.9695078567749085
Centrophorus moluccensis,0.05335154601158458,0.010400083621768204,0.157,0.045,VU,Centrophoridae,Smallfin gulper shark,80.5065,0.042951462389816376,0.202,0.2736889014881093,5.129915099905097,2.9695078567749085
Centrophorus squamosus,0.0347101005,0.01233805232373001,0.33,0.038,EN,Centrophoridae,Leafscale gulper shark,64.454,0.02237204817626999,0.368,0.09764840066392841,2.8132560625668144,2.9695078567749085
Centrophorus tessellatus,0.05335154601158458,0.027876182791052882,0.5,0.045,EN,Centrophoridae,Mosaic gulper shark,47.75,0.025475363220531698,0.545,0.10210822203174083,1.9138755980861246,2.9695078567749085
Centrophorus uyato,0.05335154601158458,0.010400083621768204,0.157,0.045,EN,Centrophoridae,Little gulper shark,80.5065,0.042951462389816376,0.202,0.2736889014881093,5.129915099905097,2.9695078567749085
Centroscyllium excelsum,0.05335154601158458,0.011257951666961929,0.17383720930232557,0.045,NT,Etmopteridae,Highfin dogfish,78.8985,0.04209359434462265,0.21883720930232559,0.25283295505809805,4.738999597185033,2.9695078567749085
Centroscyllium fabricii,0.05427108595755044,0.019291200214470904,0.33,0.038,LC,Etmopteridae,Black dogfish,64.454,0.03497988574307953,0.368,0.15267846159216344,2.813256062566814,2.9695078567749085
Centroscyllium granulatum,0.05427108595755044,0.01612309952829847,0.2639628482972136,0.045,VU,Etmopteridae,Granular dogfish,70.2915,0.03814798642925197,0.3089628482972136,0.18267864738223213,3.3660400222158637,2.9695078567749085
Centroscyllium kamoharai,0.07062541212647888,0.014902988490839987,0.17383720930232557,0.045,LC,Etmopteridae,Bareskin dogfish,78.8985,0.055722423635638896,0.21883720930232559,0.33469379961841034,4.738999597185033,2.9695078567749085
Centroscyllium nigrum,0.11300190167509323,0.02384504372294586,0.17383720930232557,0.045,LC,Etmopteridae,Combtooth dogfish,78.8985,0.08915685795214737,0.21883720930232559,0.5355159665194095,4.738999597185033,2.9695078567749085
Centroscyllium ritteri,0.08050563813543204,0.015693366569930447,0.157,0.045,LC,Etmopteridae,Whitefin dogfish,80.5065,0.0648122715655016,0.202,0.4129870886984485,5.129915099905098,2.9695078567749085
Centroscymnus coelolepis,0.04975538205702069,0.010499108802724066,0.17383720930232557,0.045,NT,Somniosidae,Portuguese dogfish,78.8985,0.03925627325429662,0.21883720930232559,0.23579073552600846,4.738999597185033,2.9695078567749085
Centroscymnus macracanthus,0.05317606138019395,0.019151358506076833,0.33,0.045,DD,Somniosidae,Largespine velvet dogfish,63.985,0.034024702874117116,0.375,0.14764976087795073,2.776620852422602,2.9695078567749085
Centroscymnus owstonii,0.05317606138019395,0.010365875525148028,0.157,0.045,VU,Somniosidae,Roughskin dogfish,80.5065,0.042810185855045924,0.202,0.2727886802277372,5.129915099905097,2.9695078567749085
Cephaloscyllium fasciatum,0.05317606138019395,0.013858976815903645,0.2177977207977208,0.0547513572204126,CR,Scyliorhinidae,Reticulated swellshark,73.9376,0.039317084564290304,0.2725490780181334,0.20403363228326615,3.8369451777273014,2.9695078567749085
Cephaloscyllium isabellum,0.05317606138019395,0.017474571591643694,0.29698142414860684,0.045,LC,Scyliorhinidae,Draughtsboard shark,67.1383,0.035701489788550256,0.3419814241486068,0.1618177433918329,3.043056202204999,2.9695078567749085
Cephaloscyllium sarawakensis,0.05317606138019395,0.019498779482038913,0.33,0.0547513572204126,CR,Scyliorhinidae,Sarawak pygmy swellshark,63.3317,0.03367728189815504,0.3847513572204126,0.14501916200149434,2.727151245080901,2.9695078567749085
Cephaloscyllium sufflans,0.05317606138019395,0.019151358506076833,0.33,0.045,NT,Scyliorhinidae,Balloon shark,63.985,0.034024702874117116,0.375,0.14764976087795073,2.776620852422602,2.9695078567749085
Cephaloscyllium umbratile,0.05317606138019395,0.01191044634369689,0.17903225806451611,0.0547513572204126,NT,Scyliorhinidae,Blotchy swellshark,77.6019,0.04126561503649706,0.23378361528492872,0.23741326889420958,4.46466441349936,2.9695078567749085
Chiloscyllium burmensis,0.05968235187517175,0.02718998888346903,0.429925,0.045,VU,Hemiscylliidae,Burmese bamboo shark,54.4422,0.03249236299170272,0.474925,0.1310035863785603,2.1950138066368434,2.9695078567749085
Chiloscyllium punctatum,0.04458962394981777,0.020314068420919113,0.429925,0.045,NT,Hemiscylliidae,Brownbanded bamboo shark,54.4422,0.024275555528898655,0.474925,0.09787484020259486,2.1950138066368434,2.9695078567749085
Chlamydoselachus africana,0.06659175801445501,0.027322531872089967,0.157,0.30047331228979357,LC,Chlamydoselachidae,Southern African frilled shark,58.9701,0.03926922614236504,0.4574733122897936,0.1623005613332107,2.4372469832975465,2.9695078567749085
Chlamydoselachus anguineus,0.04772512510025441,0.01958157121138214,0.157,0.30047331228979357,LC,Chlamydoselachidae,Frilled shark,58.9701,0.02814355388887227,0.4574733122897936,0.11631791717809307,2.4372469832975465,2.9695078567749085
Cirrhigaleus asper,0.035839053295044,0.018725905346660597,0.5,0.045,DD,Squalidae,Roughskin spurdog,47.75,0.017113147948383402,0.545,0.06859148955989283,1.9138755980861246,2.9695078567749085
Cirrhigaleus australis,0.05317606138019395,0.015523807779911324,0.2639628482972136,0.038,DD,Squalidae,Southern Mandarin dogfish,70.8068,0.037652253600282626,0.3019628482972136,0.1821522182569706,3.425455243001794,2.9695078567749085
Cirrhigaleus barbifer,0.05284252581573869,0.02761021973872346,0.5,0.045,LC,Squalidae,Mandarin dogfish,47.75,0.025232306077015234,0.545,0.10113402069997837,1.9138755980861246,2.9695078567749085
Dalatias licha,0.13143380775,0.04733588586116241,0.33,0.045,VU,Dalatiidae,Kitefin shark,63.985,0.08409792188883758,0.375,0.36494185131195334,2.7766208524226017,2.9695078567749085
Deania profundorum,0.02532582016717329,0.005344116163124824,0.17383720930232557,0.045,NT,Centrophoridae,Arrowhead dogfish,78.8985,0.019981704004048466,0.21883720930232559,0.12001905157061481,4.738999597185033,2.9695078567749085
Deania quadrispinosa,0.08050563813543204,0.015693366569930447,0.157,0.045,VU,Centrophoridae,Longsnout dogfish,80.5065,0.0648122715655016,0.202,0.4129870886984485,5.129915099905098,2.9695078567749085
Echinorhinus brucus,0.08050563813543204,0.015693366569930447,0.157,0.045,EN,Echinorhinidae,Bramble shark,80.5065,0.0648122715655016,0.202,0.4129870886984485,5.129915099905098,2.9695078567749085
Echinorhinus cookei,0.0347728957372008,0.006778454430531156,0.157,0.045,DD,Echinorhinidae,Prickly shark,80.5065,0.027994441306669643,0.202,0.17838200290969197,5.129915099905097,2.9695078567749085
Etmopterus bigelowi,0.05447083000691234,0.011764381438831606,0.17903225806451611,0.045,LC,Etmopteridae,Blurred lanternshark,78.4024,0.04270644856808073,0.2240322580645161,0.25220779163847995,4.630144090084084,2.9695078567749085
Etmopterus burgessi,0.04076096491588672,0.01468006151445664,0.33,0.045,LC,Etmopteridae,Broadsnout lanternshark,63.985,0.02608090340143008,0.375,0.11317774515031714,2.7766208524226017,2.9695078567749085
Etmopterus decacuspidatus,0.0811285324105828,0.029218440947671384,0.33,0.045,LC,Etmopteridae,Combtooth lanternshark,63.985,0.05191009146291141,0.375,0.22526317481766708,2.776620852422602,2.9695078567749085
Etmopterus dianthus,0.0811285324105828,0.029218440947671384,0.33,0.045,LC,Etmopteridae,Pink lanternshark,63.985,0.05191009146291141,0.375,0.22526317481766708,2.776620852422602,2.9695078567749085
Etmopterus dislineatus,0.0811285324105828,0.029218440947671384,0.33,0.045,LC,Etmopteridae,Lined lanternshark,63.985,0.05191009146291141,0.375,0.22526317481766708,2.776620852422602,2.9695078567749085
Etmopterus gracilispinis,0.09208898138893253,0.03316584664722399,0.33,0.045,LC,Etmopteridae,Broadbanded lanternshark,63.985,0.05892313474170854,0.375,0.255696186002867,2.776620852422602,2.9695078567749085
Etmopterus granulosus,0.09313561510014665,0.03354279177831785,0.33,0.045,LC,Etmopteridae,Southern lanternshark,63.985,0.059592823321828796,0.375,0.25860229099027254,2.776620852422602,2.9695078567749085
Etmopterus joungi,0.09313561510014665,0.04268944285544336,0.429925,0.04987567861020629,LC,Etmopteridae,Shortfin smooth lanternshark,54.1642,0.05044617224470328,0.4798006786102063,0.20319404286637657,2.1817007666496493,2.9695078567749085
Etmopterus lucifer,0.09313561510014665,0.03310598574349811,0.33,0.038,LC,Etmopteridae,Blackbelly lanternshark,64.454,0.06002962935664854,0.368,0.26201433382137684,2.813256062566814,2.9695078567749085
Etmopterus perryi,0.09313561510014665,0.042430572181950336,0.429925,0.045,LC,Etmopteridae,Dwarf lanternshark,54.4422,0.05070504291819631,0.474925,0.20443396103443678,2.1950138066368434,2.9695078567749085
Etmopterus princeps,0.09313561510014665,0.03310598574349811,0.33,0.038,LC,Etmopteridae,Great lanternshark,64.454,0.06002962935664854,0.368,0.26201433382137684,2.813256062566814,2.9695078567749085
Etmopterus pusillus,0.04076096491588672,0.014584477051728868,0.33,0.04149999999999999,LC,Etmopteridae,Smooth lanternshark,64.2195,0.026176487864157848,0.3715,0.1139194950207144,2.7948184066740263,2.9695078567749085
Etmopterus spinax,0.1022251605475,0.03633695556821436,0.33,0.038,VU,Etmopteridae,Velvet belly,64.454,0.06588820497928563,0.368,0.28758555265712027,2.813256062566814,2.9695078567749085
Etmopterus splendidus,0.06351057749528352,0.023288275084975253,0.33,0.0547513572204126,LC,Etmopteridae,Splendid lanternshark,63.3317,0.04022230241030827,0.3847513572204126,0.17320295049206952,2.727151245080901,2.9695078567749085
Etmopterus unicolor,0.06351057749528352,0.013401654970363807,0.17383720930232557,0.045,DD,Etmopteridae,Brown lanternshark,78.8985,0.05010892252491971,0.21883720930232559,0.3009766011671374,4.738999597185033,2.9695078567749085
Etmopterus viator,0.06351057749528352,0.02257546987647345,0.33,0.038,LC,Etmopteridae,Blue-eye lanternshark,64.454,0.04093510761881007,0.368,0.17867151717572582,2.813256062566814,2.9695078567749085
Etmopterus virens,0.06351057749528352,0.012380434424043045,0.157,0.045,LC,Etmopteridae,Green lanternshark,80.5065,0.051130143071240475,0.202,0.3258038704967478,5.129915099905098,2.9695078567749085
Eusphyra blochii,0.06351057749528352,0.02838956037317729,0.08661956521739131,0.394562497946848,EN,Sphyrnidae,Winghead shark,55.2995,0.03512101712210623,0.4811820631642393,0.1420802395840841,2.2371114417064684,2.9695078567749085
Galeocerdo cuvier,0.15718193569786149,0.054407944028533564,0.01619354838709677,0.33538379618251823,NT,Carcharhinidae,Tiger shark,65.3854,0.10277399166932792,0.351577344569615,0.45409144031091364,2.8889543718546515,2.9695078567749085
Galeorhinus galeus,0.09532930062829714,0.034414449502619106,0.157,0.242,CR,Triakidae,Tope shark,63.8994,0.060914851125678036,0.399,0.2640656959393947,2.770037063095904,2.9695078567749085
Galeus atlanticus,0.0811285324105828,0.015814790465456953,0.157,0.045,NT,Pentanchidae,Atlantic sawtail catshark,80.5065,0.06531374194512585,0.202,0.41618248344618874,5.129915099905097,2.9695078567749085
Galeus melastomus,0.14126944125000002,0.029809905438651897,0.17383720930232557,0.045,LC,Pentanchidae,Blackmouth catshark,78.8985,0.11145953581134813,0.21883720930232559,0.6694758251783047,4.738999597185033,2.9695078567749085
Galeus mincaronei,0.0811285324105828,0.03718590191908334,0.429925,0.04987567861020629,VU,Pentanchidae,Southern sawtail catshark,54.1642,0.043942630491499456,0.4798006786102063,0.1769981813573294,2.1817007666496493,2.9695078567749085
Galeus murinus,0.0811285324105828,0.017119299532417927,0.17383720930232557,0.045,LC,Pentanchidae,Mouse catshark,78.8985,0.06400923287816487,0.21883720930232559,0.38446808241396474,4.738999597185033,2.9695078567749085
Galeus nipponensis,0.0811285324105828,0.02948346390327302,0.33,0.04987567861020629,LC,Pentanchidae,Broadfin sawtail catshark,63.6583,0.05164506850730977,0.3798756786102063,0.22323813253255295,2.751659938858116,2.9695078567749085
Galeus polli,0.0811285324105828,0.029218440947671384,0.33,0.045,VU,Pentanchidae,African sawtail catshark,63.985,0.05191009146291141,0.375,0.22526317481766708,2.776620852422602,2.9695078567749085
Galeus sauteri,0.05120529215092549,0.023612674262944323,0.429925,0.0547513572204126,LC,Pentanchidae,Blacktip sawtail catshark,53.8863,0.027592617887981164,0.4846763572204126,0.11104138716027012,2.16855294630446,2.9695078567749085
Galeus schultzi,0.04076096491588672,0.021297604168550775,0.5,0.045,LC,Pentanchidae,Dwarf sawtail catshark,47.75,0.019463360747335942,0.545,0.07801141610696023,1.9138755980861246,2.9695078567749085
Ginglymostoma cirratum,0.05413756275,0.019497643224412543,0.33,0.045,VU,Ginglymostomatidae,Nurse shark,63.985,0.034639919525587454,0.375,0.1503194856309871,2.7766208524226017,2.9695078567749085
Gollum attenuatus,0.0811285324105828,0.04664890613608506,0.5,0.15,LC,Pseudotriakidae,Slender smooth-hound,42.5,0.034479626274497736,0.65,0.14109309984449184,1.7391304347826089,2.9695078567749085
Halaelurus boesemani,0.0811285324105828,0.04278521483468111,0.5,0.0547513572204126,VU,Pentanchidae,Speckled catshark,47.2624,0.03834331757590168,0.5547513572204126,0.15383432771036754,1.8961803343345165,2.9695078567749085
Halaelurus buergeri,0.0811285324105828,0.03895088307709102,0.45,0.0547513572204126,EN,Pentanchidae,Blackspotted catshark,51.9887,0.042177649333491773,0.5047513572204126,0.1689779956189122,2.0828429973777007,2.9695078567749085
Halaelurus natalensis,0.0811285324105828,0.029748486858874656,0.33,0.0547513572204126,VU,Pentanchidae,Tiger catshark,63.3317,0.05138004555170814,0.3847513572204126,0.2212497781751071,2.727151245080901,2.9695078567749085
Haploblepharus edwardsii,0.0811285324105828,0.029748486858874656,0.33,0.0547513572204126,EN,Pentanchidae,Puffadder shyshark,63.3317,0.05138004555170814,0.3847513572204126,0.2212497781751071,2.727151245080901,2.9695078567749085
Haploblepharus pictus,0.0811285324105828,0.029218440947671384,0.33,0.045,LC,Pentanchidae,Dark shyshark,63.985,0.05191009146291141,0.375,0.22526317481766708,2.776620852422602,2.9695078567749085
Hemitriakis abdita,0.03938484108689116,0.02298105477420094,0.5,0.167,DD,Triakidae,Deepwater sicklefin houndshark,41.65,0.016403786312690218,0.667,0.06749758541026762,1.7137960582690661,2.9695078567749085
Hemitriakis complicofasciata,0.03938484108689116,0.02068206412247747,0.429925,0.167,VU,Triakidae,Ocellate topeshark,47.4872,0.01870277696441369,0.596925,0.07500045910119277,1.9042976188662573,2.9695078567749085
Hemitriakis indroyonoi,0.03938484108689116,0.02068206412247747,0.429925,0.167,EN,Triakidae,Indonesian houndshark,47.4872,0.01870277696441369,0.596925,0.07500045910119277,1.9042976188662573,2.9695078567749085
Hemitriakis japanica,0.03938484108689116,0.012280445330690242,0.17383720930232557,0.167,EN,Triakidae,Japanese topeshark,68.8194,0.027104395756200918,0.3408372093023256,0.12631200517915356,3.2071223773756756,2.9695078567749085
Hemitriakis leucoperiptera,0.03938484108689116,0.018289254345829134,0.429925,0.06042702702702703,CR,Triakidae,Whitefin topeshark,53.5627,0.021095586741062024,0.490352027027027,0.08481294366143413,2.15344130688046,2.9695078567749085
Heptranchias perlo,0.04139485851165921,0.018202500704366714,0.157,0.33538379618251823,NT,Hexanchidae,Sharpnose sevengill shark,56.0271,0.023192357807292494,0.49238379618251826,0.09413720384977839,2.274127928792506,2.9695078567749085
Heterodontus mexicanus,0.03938484108689116,0.01418445051744385,0.33,0.045,LC,Heterodontidae,Mexican hornshark,63.985,0.02520039056944731,0.375,0.10935677103121244,2.7766208524226017,2.9695078567749085
Heterodontus portusjacksoni,0.03938484108689116,0.014441767805963792,0.33,0.0547513572204126,LC,Heterodontidae,Port Jackson shark,63.3317,0.024943073280927368,0.3847513572204126,0.10740841840742865,2.727151245080901,2.9695078567749085
Heterodontus zebra,0.03938484108689116,0.01816182242924242,0.429925,0.0547513572204126,LC,Heterodontidae,Zebra bullhead shark,53.8863,0.021223018657648737,0.4846763572204126,0.08540811317871079,2.1685529463044606,2.9695078567749085
Hexanchus griseus,0.12314403825,0.04091826238663316,0.1984149894311185,0.167,NT,Hexanchidae,Bluntnose sixgill shark,66.772,0.08222577586336685,0.3654149894311185,0.370603220928133,3.009510051763574,2.9695078567749085
Hexanchus nakamurai,0.04629853506697751,0.01781317227882454,0.1883191502539329,0.242,NT,Hexanchidae,Bigeyed sixgill shark,61.5254,0.02848536278815297,0.43031915025393286,0.12033532529767042,2.59911733975142,2.9695078567749085
Holohalaelurus punctatus,0.03938484108689116,0.014441767805963792,0.33,0.0547513572204126,EN,Pentanchidae,White-spotted Izak,63.3317,0.024943073280927368,0.3847513572204126,0.10740841840742865,2.727151245080901,2.9695078567749085
Hypogaleus hyugaensis,0.03938484108689116,0.019114574391225717,0.33,0.23183314794215792,DD,Triakidae,Blacktip tope,51.4672,0.02027026669566544,0.5618331479421579,0.08115097642602767,2.06046220288135,2.9695078567749085
