species,common_name,family,lifestage,gear_class,gear_type,fishery_type,target_fishery_species,target_fishery_common,flagstate,ocean,ocean_region,rfmo,location,habitat,estimate_type,estimate,sample_size,method,start_year,end_year,time_scale,ventilation_method,max_size_cm,measure,growth_rate_r,median_depth,geographic_range,reproductive_mode,median_temp,habitat_associated,reference,notes,reviewer,stock_code,spec_code,species_ref_no,fam_code
Acroteriobatus annulatus,lesser guitarfish,Rhinobatidae,,trawl,otter trawl,research,Peneaus indicus,white prawn,,Indian,SW,,South Africa,coastal,at-vessel mortality,0.111,9,visual,1989,1992,annual,stationary,140,total_length,,36.5,,yolk-sac viviparity,,coastal-pelagic,Fennessy 1994,NA,LF,NA,NA,NA,NA
Aetomylaeus bovinus,duckbill eagle ray,Myliobatidae,,trawl,otter trawl,research,Peneaus indicus,white prawn,,Indian,SW,,South Africa,coastal,at-vessel mortality,0.25,4,visual,1989,1992,annual,stationary,222,disk_width,,50,,histotrophy,,benthocoastal,Fennessy 1994,NA,LF,NA,NA,NA,NA
Myliobatis aquila,common eagle ray,Myliobatidae,,trawl,otter trawl,research,Peneaus indicus,white prawn,,Indian,SW,,South Africa,coastal,at-vessel mortality,0.5,4,visual,1989,1992,annual,stationary,150,disk_width,,30,,histotrophy,26,benthopelagic,Fennessy 1994,NA,LF,4518,4330,4440,22
Aetobatus narinari,whispotted eagle ray,Aetobatidae,,trawl,otter trawl,research,Peneaus indicus,white prawn,,Indian,SW,,South Africa,coastal,at-vessel mortality,0,3,visual,1989,1992,annual,stationary,226,disk_width,,30,,histotrophy,,coastal,Fennessy 1994,NA,LF,NA,NA,NA,NA
Squatina africana,african angelshark,Squatinidae,,trawl,otter trawl,research,Peneaus indicus,white prawn,,Indian,SW,,South Africa,coastal,at-vessel mortality,0.6,10,visual,1989,1992,annual,stationary,122,total_length,,300,,yolk-sac viviparity,,benthocoastal,Fennessy 1994,NA,LF,NA,NA,NA,NA
Torpedo sinuspersici,gulf torpedo,Torpedinidae,,trawl,otter trawl,research,Peneaus indicus,white prawn,,Indian,SW,,South Africa,coastal,at-vessel mortality,0.4,5,visual,1989,1992,annual,stationary,130,total_length,,101,,yolk-sac viviparity,,benthocoastal,Fennessy 1994,NA,LF,NA,NA,NA,NA
Carcharhinus dussumieri,whitecheek shark,Carcharhinidae,,trawl,bottom trawl,multispecies,"Fenneropenaeus merguiensis, Metapenaeus endeavouri, Metapenaeus ensis, Penaeus indicus, Penaeus merguiensis, Penaeus esculentus, Penaeus semisulcatus","blue endeavor prawn, brown tiger prawn, grooved tiger prawn, red endeavor prawn, redleg banana prawn, white banana prawn",Australia,,,,Northern Australia,coastal,at-vessel mortality,0.52,321,visual,1996,1998,sporadic,ram,100.7,total_length,,50,,placental viviparity,,coastal,Stobutzki et al 2002,NA,LF,NA,NA,NA,NA
Carcharhinus sorrah,spottail shark,Carcharhinidae,,trawl,bottom trawl,multispecies,"Fenneropenaeus merguiensis, Metapenaeus endeavouri, Metapenaeus ensis, Penaeus indicus, Penaeus merguiensis, Penaeus esculentus, Penaeus semisulcatus","blue endeavor prawn, brown tiger prawn, grooved tiger prawn, red endeavor prawn, redleg banana prawn, white banana prawn",Australia,,,,Northern Australia,coastal,at-vessel mortality,0.65,23,visual,1996,1998,sporadic,ram,166,total_length,,70,,placental viviparity,28,reef-associated,Stobutzki et al 2002,NA,LF,900,884,244,11
Carcharhinus tilstoni,australian blacktip shark,Carcharhinidae,,trawl,bottom trawl,multispecies,"Fenneropenaeus merguiensis, Metapenaeus endeavouri, Metapenaeus ensis, Penaeus indicus, Penaeus merguiensis, Penaeus esculentus, Penaeus semisulcatus","blue endeavor prawn, brown tiger prawn, grooved tiger prawn, red endeavor prawn, redleg banana prawn, white banana prawn",Australia,,,,Northern Australia,coastal,at-vessel mortality,0.82,73,visual,1996,1998,sporadic,ram,200,total_length,,75,,placental viviparity,,coastal,Stobutzki et al 2002,NA,LF,NA,NA,NA,NA
Rhizoprionodon acutus,milk shark,Carcharhinidae,,trawl,bottom trawl,multispecies,"Fenneropenaeus merguiensis, Metapenaeus endeavouri, Metapenaeus ensis, Penaeus indicus, Penaeus merguiensis, Penaeus esculentus, Penaeus semisulcatus","blue endeavor prawn, brown tiger prawn, grooved tiger prawn, red endeavor prawn, redleg banana prawn, white banana prawn",Australia,,,,Northern Australia,coastal,at-vessel mortality,0.82,116,visual,1996,1998,sporadic,ram,178,total_length,,100.5,,placental viviparity,,coastal,Stobutzki et al 2002,NA,LF,NA,NA,NA,NA
Chaenogaleus macrostoma,hooktooth shark,Hemigaleidae,,trawl,bottom trawl,multispecies,"Fenneropenaeus merguiensis, Metapenaeus endeavouri, Metapenaeus ensis, Penaeus indicus, Penaeus merguiensis, Penaeus esculentus, Penaeus semisulcatus","blue endeavor prawn, brown tiger prawn, grooved tiger prawn, red endeavor prawn, redleg banana prawn, white banana prawn",Australia,,,,Northern Australia,coastal,at-vessel mortality,0.62,68,visual,1996,1998,sporadic,stationary,125,total_length,,80,,placental viviparity,,benthocoastal,Stobutzki et al 2002,NA,LF,NA,NA,NA,NA
Rhynchobatus djiddensis,whitespotted wedgefish,Rhinidae,,trawl,bottom trawl,multispecies,"Fenneropenaeus merguiensis, Metapenaeus endeavouri, Metapenaeus ensis, Penaeus indicus, Penaeus merguiensis, Penaeus esculentus, Penaeus semisulcatus","blue endeavor prawn, brown tiger prawn, grooved tiger prawn, red endeavor prawn, redleg banana prawn, white banana prawn",Australia,,,,Northern Australia,coastal,at-vessel mortality,0.1,59,visual,1996,1998,sporadic,stationary,310,total_length,,38,,yolk-sac viviparity,27,reef-associated,Stobutzki et al 2002,NA,LF,5792,5503,3919,713
Neotrygon leylandi,painted maskray,Dasyatidae,,trawl,bottom trawl,multispecies,"Fenneropenaeus merguiensis, Metapenaeus endeavouri, Metapenaeus ensis, Penaeus indicus, Penaeus merguiensis, Penaeus esculentus, Penaeus semisulcatus","blue endeavor prawn, brown tiger prawn, grooved tiger prawn, red endeavor prawn, redleg banana prawn, white banana prawn",Australia,,,,Northern Australia,coastal,at-vessel mortality,0.59,41,visual,1996,1998,sporadic,stationary,270,disk_width,,47.5,,histotrophy,,benthocoastal,Stobutzki et al 2002,NA,LF,NA,NA,NA,NA
Himantura toshi,brown whipray,Dasyatidae,,trawl,bottom trawl,multispecies,"Fenneropenaeus merguiensis, Metapenaeus endeavouri, Metapenaeus ensis, Penaeus indicus, Penaeus merguiensis, Penaeus esculentus, Penaeus semisulcatus","blue endeavor prawn, brown tiger prawn, grooved tiger prawn, red endeavor prawn, redleg banana prawn, white banana prawn",Australia,,,,Northern Australia,coastal,at-vessel mortality,0.53,58,visual,1996,1998,sporadic,stationary,74,disk_width,,70,,histotrophy,,benthocoastal,Stobutzki et al 2002,NA,LF,NA,NA,NA,NA
Gymnura natalensis,diamond ray,Gymnuridae,,trawl,bottom trawl,multispecies,"Fenneropenaeus merguiensis, Metapenaeus endeavouri, Metapenaeus ensis, Penaeus indicus, Penaeus merguiensis, Penaeus esculentus, Penaeus semisulcatus","blue endeavor prawn, brown tiger prawn, grooved tiger prawn, red endeavor prawn, redleg banana prawn, white banana prawn",Australia,,,,Northern Australia,pelagic,at-vessel mortality,0.34,41,visual,1996,1998,sporadic,stationary,250,disk_width,,37.5,,placental viviparity,,benthocoastal,Stobutzki et al 2002,NA,LF,NA,NA,NA,NA
sharks,,,,trawl,midwater trawl,multispecies,"Epinephelus multinotatus, Lutjanus spp, Lethrinus spp","emperor, rankin cod, snapper",Australia,,,,Northern Australia,coastal,at-vessel mortality,0.91,66,visual,2008,2009,sporadic,ram,,,,,,,,,Jaiteh et al 2014,NA,LF,NA,NA,NA,NA
rays,,,,trawl,midwater trawl,multispecies,"Epinephelus multinotatus, Lutjanus spp, Lethrinus spp","emperor, rankin cod, snapper",Australia,,,,Northern Australia,coastal,at-vessel mortality,0.66,53,visual,2008,2009,sporadic,stationary,,,,,,,,,Jaiteh et al 2014,NA,LF,NA,NA,NA,NA
Dasyatis sp,stingray,Dasyatidae,,gillnet,,multispecies,,"mugilids, monocanthids, platycephalids, sparids",,Pacific,SW,,Australia,coastal,at-vessel mortality,0.072,112,visual,1999,1999,month,stationary,,,,,,histotrophy,,benthocoastal,Gray 2002,NA,LF,NA,NA,NA,NA
Squalus acanthias,spiny dogfish shark,Squalidae,,gillnet,,research,,,,Atlantic,NW,,North Carolina,coastal,at-vessel mortality,0.175,2284,visual,2004,2004,month,stationary,200,total_length,,989,,yolk-sac viviparity,16,demersal,Rulifson 2007,NA,LF,153,139,85328,13
Squalus acanthias,spiny dogfish shark,Squalidae,,gillnet,,research,,,,Atlantic,NW,,North Carolina,coastal,post-release mortality,0.75,480,captivity after fishing,2004,2004,month,stationary,200,total_length,,989,,yolk-sac viviparity,16,demersal,Rulifson 2007,Averaged from the percent of individuals kept in sea cages that died,LF,153,139,85328,13
Carcharhinus plumbeus,sandbar shark,Carcharhinidae,,longline,circle hooks,research,,,,Atlantic,NW,,Florida,coastal,at-vessel mortality,0.005,185,visual,2013,2017,sporadic,ram,243,total_length,,140,,placental viviparity,27,benthopelagic,Whitney et al 2021,Tagged with acceleration data loggers; combined with blood chemistry to try and predict post-release fate from blood stress physiology,SO,896,880,244,11
Carcharhinus plumbeus,sandbar shark,Carcharhinidae,,longline,circle hooks,research,,,,Atlantic,NW,,Florida,coastal,post-release mortality,0.031,130,acceleration data loggers,2013,2017,sporadic,ram,243,total_length,,140,,placental viviparity,27,benthopelagic,Whitney et al 2021,Tagged with acceleration data loggers; combined with blood chemistry to try and predict post-release fate from blood stress physiology,SO,896,880,244,11
Carcharhinus limbatus,blacktip shark,Carcharhinidae,,longline,circle hooks,research,,,,Atlantic,NW,,Florida,coastal,at-vessel mortality,0.35,292,visual,2013,2017,sporadic,ram,286,total_length,,70,,placental viviparity,27,reef-associated,Whitney et al 2021,Tagged with acceleration data loggers; combined with blood chemistry to try and predict post-release fate from blood stress physiology,SO,890,874,244,11
Carcharhinus limbatus,blacktip shark,Carcharhinidae,,longline,circle hooks,research,,,,Atlantic,NW,,Florida,coastal,post-release mortality,0.419,105,acceleration data loggers,2013,2017,sporadic,ram,286,total_length,,70,,placental viviparity,27,reef-associated,Whitney et al 2021,Tagged with acceleration data loggers; combined with blood chemistry to try and predict post-release fate from blood stress physiology,SO,890,874,244,11
Galeocerdo cuvier,tiger shark,Carcharhinidae,,longline,circle hooks,research,,,,Atlantic,NW,,Florida,coastal,at-vessel mortality,0,126,visual,2013,2017,sporadic,ram,740,total_length,,556,,placental viviparity,26,coastal-pelagic,Whitney et al 2021,Tagged with acceleration data loggers; combined with blood chemistry to try and predict post-release fate from blood stress physiology,SO,902,886,244,791
Galeocerdo cuvier,tiger shark,Carcharhinidae,,longline,circle hooks,research,,,,Atlantic,NW,,Florida,coastal,post-release mortality,0.019,52,acceleration data loggers,2013,2017,sporadic,ram,740,total_length,,556,,placental viviparity,26,coastal-pelagic,Whitney et al 2021,Tagged with acceleration data loggers; combined with blood chemistry to try and predict post-release fate from blood stress physiology,SO,902,886,244,791
Carcharhinus leucas,bull shark,Carcharhinidae,,longline,circle hooks,research,,,,Atlantic,NW,,Florida,coastal,at-vessel mortality,0,36,visual,2013,2017,sporadic,ram,366,total_length,,82.5,,placental viviparity,,coastal,Whitney et al 2021,Tagged with acceleration data loggers; combined with blood chemistry to try and predict post-release fate from blood stress physiology,SO,NA,NA,NA,NA
Carcharhinus leucas,bull shark,Carcharhinidae,,longline,circle hooks,research,,,,Atlantic,NW,,Florida,coastal,post-release mortality,0.071,14,acceleration data loggers,2013,2017,sporadic,ram,366,total_length,,82.5,,placental viviparity,,coastal,Whitney et al 2021,Tagged with acceleration data loggers; combined with blood chemistry to try and predict post-release fate from blood stress physiology,SO,NA,NA,NA,NA
Carcharhinus brevipinna,spinner shark,Carcharhinidae,,longline,circle hooks,research,,,,Atlantic,NW,,Florida,coastal,at-vessel mortality,0.618,55,visual,2013,2017,sporadic,ram,304,total_length,,100,,placental viviparity,,coastal,Whitney et al 2021,Tagged with acceleration data loggers; combined with blood chemistry to try and predict post-release fate from blood stress physiology,SO,NA,NA,NA,NA
Carcharhinus brevipinna,spinner shark,Carcharhinidae,,longline,circle hooks,research,,,,Atlantic,NW,,Florida,coastal,post-release mortality,0.714,14,acceleration data loggers,2013,2017,sporadic,ram,304,total_length,,100,,placental viviparity,,coastal,Whitney et al 2021,Tagged with acceleration data loggers; combined with blood chemistry to try and predict post-release fate from blood stress physiology,SO,NA,NA,NA,NA
Ginglymostoma cirratum,nurse shark,Orectolobidae,,longline,circle hooks,research,,,,Atlantic,NW,,Florida,coastal,at-vessel mortality,0,213,visual,2013,2017,sporadic,ram,308,total_length,,65,,yolk-sac viviparity,27,reef-associated,Whitney et al 2021,Tagged with acceleration data loggers; combined with blood chemistry to try and predict post-release fate from blood stress physiology,SO,2728,2532,247,493
Negaprion brevirostris,lemon shark,Carcharhinidae,,longline,circle hooks,research,,,,Atlantic,NW,,Florida,coastal,at-vessel mortality,0,6,visual,2013,2017,sporadic,ram,368,total_length,,60,,placental viviparity,27,reef-associated,Whitney et al 2021,Tagged with acceleration data loggers; combined with blood chemistry to try and predict post-release fate from blood stress physiology,SO,913,897,244,11
Rhizoprionodon terranovae,atlantic sharpnose shark,Carcharhinidae,,longline,circle hooks,research,,,,Atlantic,NW,,Florida,coastal,at-vessel mortality,0.674,46,visual,2013,2017,sporadic,ram,113,total_length,,140,,placental viviparity,,coastal,Whitney et al 2021,Tagged with acceleration data loggers; combined with blood chemistry to try and predict post-release fate from blood stress physiology,SO,NA,NA,NA,NA
Raja clavata,thornback skate,Rajidae,,gillnet,,research,,,,Atlantic,NE,,England,coastal,at-vessel mortality,0.92,975,visual,2007,2007,month,stationary,130,total_length,,513.5,,oviparous,17,demersal,Ellis et al 2008,NA,LF,2254,2059,27314,19
Raja clavata,thornback skate,Rajidae,,longline,,research,,,,Atlantic,NE,,England,coastal,at-vessel mortality,0,817,visual,2007,2008,sporadic,stationary,130,total_length,,513.5,,oviparous,17,demersal,Ellis et al 2008,NA,LF,2254,2059,27314,19
Raja clavata,thornback skate,Rajidae,,trawl,,research,,,,Atlantic,NE,,England,coastal,at-vessel mortality,0.6,3822,visual,2007,2007,month,stationary,130,total_length,,513.5,,oviparous,17,demersal,Ellis et al 2008,NA,LF,2254,2059,27314,19
Leucoraja naevus,,Rajidae,,trawl,otter trawl,research,,,,Atlantic,NE,,England,coastal,post-release mortality,0.77,6,captivity after fishing,2007,2007,sporadic,stationary,81,total_length,,456,,oviparous,20,demersal,Enever et al 2009,Specimens captured with different tow times,LF,4514,4326,27314,19
Raja microocellata,,Rajidae,,trawl,otter trawl,research,,,,Atlantic,NE,,England,coastal,post-release mortality,0.49,39,captivity after fishing,2007,2007,sporadic,stationary,103,total_length,,56,,oviparous,13,demersal,Enever et al 2009,Specimens captured with different tow times,LF,5768,5492,27314,19
Raja brachyura,,Rajidae,,trawl,otter trawl,research,,,,Atlantic,NE,,England,coastal,post-release mortality,0.4,15,captivity after fishing,2007,2007,sporadic,stationary,120,total_length,,455,,oviparous,14,demersal,Enever et al 2009,Specimens captured with different tow times,LF,4737,4552,27314,19
Raja clavata,,Rajidae,,trawl,otter trawl,research,,,,Atlantic,NE,,England,coastal,post-release mortality,0.29,107,captivity after fishing,2007,2007,sporadic,stationary,130,total_length,,513.5,,oviparous,17,demersal,Enever et al 2009,Specimens captured with different tow times,LF,2254,2059,27314,19
Leucoraja erinacea,little skate,Rajidae,,trawl,scallop dredges,research,,"scallops, oysters, clams, mussels, crabs, sea urchins, sea cucumbers, conch",USA,Atlantic,NW,,New York,coastal,post-release mortality,0.491,179,captivity after fishing,2012,2013,sporadic,stationary,62,total_length,,462,,oviparous,,demersal,Rudders et al 2015,NA,LF,NA,NA,NA,NA
Leucoraja ocellata,winter skate,Rajidae,,trawl,scallop dredges,research,,"scallops, oysters, clams, mussels, crabs, sea urchins, sea cucumbers, conch",USA,Atlantic,NW,,New York,coastal,post-release mortality,0.652,116,captivity after fishing,2012,2013,sporadic,stationary,113,total_length,,363.5,,oviparous,,demersal,Rudders et al 2015,NA,LF,NA,NA,NA,NA
Negaprion brevirostris,lemon shark,Carcharhinidae,juvenile,gillnet,,research,,,,Atlantic,W,,Bahamas,coastal,at-vessel mortality,0.035,655,captivity after fishing,1995,1999,annual,ram,368,total_length,,60,,placental viviparity,27,reef-associated,Grubber et al 2001,sampling was annual between May and June,LF,913,897,244,11
Carcharhinus limbatus,blacktip shark,Carcharhinidae,,gillnet,,research,,,,Atlantic,W,,Florida,coastal,at-vessel mortality,0.242,33,visual,1994,1994,month,ram,286,total_length,,70,,placental viviparity,27,reef-associated,Manire et al 2001,NA,LF,890,874,244,11
Carcharhinus leucas,bull shark,Carcharhinidae,,gillnet,,research,,,,Atlantic,W,,Florida,coastal,at-vessel mortality,0.185,27,visual,1994,1994,month,ram,366,total_length,,82.5,,placental viviparity,,coastal,Manire et al 2001,NA,LF,NA,NA,NA,NA
Sphyrna tiburo,bonnethead shark,Sphyrnidae,,gillnet,,research,,,,Atlantic,W,,Florida,coastal,at-vessel mortality,0.308,39,visual,1994,1994,month,ram,150,total_length,,45,,placental viviparity,,coastal,Manire et al 2001,NA,LF,NA,NA,NA,NA
Carcharhinus acronotus,blacknose shark,Carcharhinidae,,gillnet,,research,,,,Atlantic,NW,,North Carolina,coastal,at-vessel mortality,0.813,67,visual,2000,2000,month,ram,164,total_length,,51.5,,placental viviparity,,coastal,Thorpe & Frierson 2009,NA,LF,NA,NA,NA,NA
Carcharhinus limbatus,blacktip shark,Carcharhinidae,,gillnet,,research,,,,Atlantic,NW,,North Carolina,coastal,at-vessel mortality,0.905,78,visual,2000,2000,month,ram,286,total_length,,70,,placental viviparity,27,reef-associated,Thorpe & Frierson 2009,NA,LF,890,874,244,11
Rhizoprionodon terranovae,atlantic sharpnose shark,Carcharhinidae,,gillnet,,research,,,,Atlantic,NW,,North Carolina,coastal,at-vessel mortality,0.804,1061,visual,2000,2000,month,ram,113,total_length,,140,,placental viviparity,,coastal,Thorpe & Frierson 2009,NA,LF,NA,NA,NA,NA
Sphyrna tiburo,bonnethead shark,Sphyrnidae,,gillnet,,research,,,,Atlantic,NW,,North Carolina,coastal,at-vessel mortality,0.715,149,visual,2000,2000,month,ram,150,total_length,,45,,placental viviparity,,coastal,Thorpe & Frierson 2009,NA,LF,NA,NA,NA,NA
Notorynchus cepedianus,broadnose shark,Hexanchidae,,gillnet,,research,,,,Pacific,SW,,Australia,coastal,at-vessel mortality,0.332,202,visual,2007,2008,sporadic,ram,296,total_length,,285,,yolk-sac viviparity,17,demersal,Braccini et al 2012,data from fishery-independent survey,LF,2727,2531,247,5
Squalus acanthias,spiny dogfish,Squalidae,,gillnet,,research,,,,Pacific,SW,,Australia,coastal,at-vessel mortality,0.135,52,visual,2007,2008,sporadic,stationary,200,total_length,,989,,yolk-sac viviparity,16,demersal,Braccini et al 2012,data from fishery-independent survey,LF,153,139,85328,13
Squalus megalops,spikey dogfish,Squalidae,,gillnet,,research,,,,Pacific,SW,,Australia,coastal,at-vessel mortality,0.103,1178,visual,2007,2008,sporadic,stationary,89,total_length,,366,,yolk-sac viviparity,,demersal,Braccini et al 2012,data from fishery-independent survey,LF,NA,NA,NA,NA
Pristiophorus nudipinnis,southern sawshark,Pristiophoridae,,gillnet,,research,,,,Pacific,SW,,Australia,coastal,at-vessel mortality,0.416,113,visual,2007,2008,sporadic,stationary,124,total_length,,82.5,,yolk-sac viviparity,,benthocoastal,Braccini et al 2012,data from fishery-independent survey,LF,NA,NA,NA,NA
Pristiophorus cirratus,common sawshark,Pristiophoridae,,gillnet,,research,,,,Pacific,SW,,Australia,coastal,at-vessel mortality,0.247,562,visual,2007,2008,sporadic,stationary,149,total_length,,335,,yolk-sac viviparity,,benthocoastal,Braccini et al 2012,data from fishery-independent survey,LF,NA,NA,NA,NA
Squatina australis,australian angelshark,Squatinidae,,gillnet,,research,,,,Pacific,SW,,Australia,coastal,at-vessel mortality,0.25,56,visual,2007,2008,sporadic,stationary,152,total_length,,65,,yolk-sac viviparity,,benthocoastal,Braccini et al 2012,data from fishery-independent survey,LF,NA,NA,NA,NA
Heterodontus portusjacksoni,port jackson shark,Heterodontidae,,gillnet,,research,,,,Pacific,SW,,Australia,coastal,at-vessel mortality,0.08,1452,visual,2007,2008,sporadic,stationary,165,total_length,,87.5,,oviparous,,benthocoastal,Braccini et al 2012,data from fishery-independent survey,LF,NA,NA,NA,NA
Parascyllium ferrugineum,rusty carpetshark,Parascyllidae,,gillnet,,research,,,,Pacific,SW,,Australia,coastal,at-vessel mortality,0.125,24,visual,2007,2008,sporadic,stationary,81.5,total_length,,77.5,,oviparous,,benthocoastal,Braccini et al 2012,data from fishery-independent survey,LF,NA,NA,NA,NA
Cephaloscyllium laticeps,australian swellshark,Scyliorhinidae,,gillnet,,research,,,,Pacific,SW,,Australia,coastal,at-vessel mortality,0.05,1977,visual,2007,2008,sporadic,stationary,150,total_length,,30,,oviparous,,benthocoastal,Braccini et al 2012,data from fishery-independent survey,LF,NA,NA,NA,NA
Furgaleus macki,whiskery shark,Triakidae,,gillnet,,research,,,,Pacific,SW,,Australia,coastal,at-vessel mortality,0.928,223,visual,2007,2008,sporadic,ram,160,total_length,,113.5,,yolk-sac viviparity,,benthocoastal,Braccini et al 2012,data from fishery-independent survey,LF,NA,NA,NA,NA
Galeorhinus galeus,school shark,Triakidae,,gillnet,,research,,,,Pacific,SW,,Australia,coastal,at-vessel mortality,0.727,1361,visual,2007,2008,sporadic,ram,199,total_length,,400,,yolk-sac viviparity,18,benthopelagic,Braccini et al 2012,data from fishery-independent survey,LF,4830,4642,244,488
Mustelus antarticus,gummy shark,Triakidae,,gillnet,,research,,,,Pacific,SW,,Australia,coastal,at-vessel mortality,0.569,3726,visual,2007,2008,sporadic,ram,185.2,total_length,,175.5,,yolk-sac viviparity,,demersal,Braccini et al 2012,data from fishery-independent survey,LF,NA,NA,NA,NA
Carcharhinus brachyurus,bronze whaler shark,Carcharhinidae,,gillnet,,research,,,,Pacific,SW,,Australia,coastal,at-vessel mortality,0.362,152,visual,2007,2008,sporadic,ram,322,total_length,,73,,placental viviparity,26,reef-associated,Braccini et al 2012,data from fishery-independent survey,LF,880,864,244,11
Sphyrna zygaena,smooth hammerhead shark,Sphyrnidae,,gillnet,,research,,,,Pacific,SW,,Australia,coastal,at-vessel mortality,0.893,122,visual,2007,2008,sporadic,ram,400,total_length,,100,,placental viviparity,26,pelagic,Braccini et al 2012,data from fishery-independent survey,LF,933,917,244,12
Myliobatis tenuicaudatus,southern eagle ray,Myliobatidae,,gillnet,,research,,,,Pacific,SW,,Australia,coastal,at-vessel mortality,0.53,133,visual,2007,2008,sporadic,stationary,160,disk_width,,211,,histotrophy,,coastal,Braccini et al 2012,data from fishery-independent survey,LF,NA,NA,NA,NA
Carcharodon carcharias,great white shark,Lamnidae,,gillnet,,multispecies,"Paralichthys californicus, Atractoscion nobilis","california halibut, white sea bass",,Pacific,NE,,California,coastal,post-release mortality,0.071,28,satellite tag,2006,2012,sporadic,ram,594.4,total_length,,600,,oophagy,25,pelagic,Lyons et al 2013,NA,LF,767,751,247,9
Carcharodon carcharias,great white shark,Lamnidae,,gillnet,,multispecies,"Paralichthys californicus, Atractoscion nobilis","california halibut, white sea bass",,Pacific,NE,,California,coastal,at-vessel mortality,0.44,87,visual,2006,2012,sporadic,ram,594.4,total_length,,600,,oophagy,25,pelagic,Lyons et al 2013,NA,LF,767,751,247,9
Isurus oxyrinchus,shortfin mako shark,Lamnidae,,longline,,multispecies,tuna,,,Pacific,SW,,New Zealand,pelagic,at-vessel mortality,0.284,299,visual,1986,1998,sporadic,ram,445,total_length,,375,,oophagy,26,pelagic,Francis et al 2001,NA,LF,768,752,247,9
Lamna nasus,porbeagle shark,Lamnidae,,longline,,multispecies,tuna,,,Pacific,SW,,New Zealand,pelagic,at-vessel mortality,0.392,2370,visual,1986,1998,sporadic,ram,365,total_length,,904.5,,oophagy,7.5,pelagic,Francis et al 2001,NA,LF,103,88,247,9
Prionace glauca,blue shark,Carcharhinidae,,longline,,multispecies,tuna,,,Pacific,SW,,New Zealand,pelagic,at-vessel mortality,0.135,7838,visual,1986,1998,sporadic,ram,383.5,total_length,,500,,placental viviparity,25,pelagic,Francis et al 2001,NA,LF,914,898,244,11
Alopias superciliosus,bigeye thresher shark,Alopiidae,,longline,,multispecies,,,,Atlantic,W,,USA and Caribbean,pelagic,at-vessel mortality,0.537,82,visual,1992,2002,annual,ram,484,total_length,,361.5,,oophagy,27,pelagic,Beerkircher et al 2004,NA,LF,2730,2534,247,486
Isurus oxyrinchus,shortfin mako shark,Lamnidae,,longline,,multispecies,,,,Atlantic,W,,USA and Caribbean,pelagic,at-vessel mortality,0.35,80,visual,1992,2002,annual,ram,445,total_length,,375,,oophagy,26,pelagic,Beerkircher et al 2004,NA,LF,768,752,247,9
Carcharhinus falciformis,silky shark,Carcharhinidae,,longline,,multispecies,,,,Atlantic,W,,USA and Caribbean,pelagic,at-vessel mortality,0.663,1446,visual,1992,2002,annual,ram,350,total_length,,250,,placental viviparity,27,reef-associated,Beerkircher et al 2004,NA,LF,884,868,244,11
Carcharhinus longimanus,oceanic whitetip shark,Carcharhinidae,,longline,,multispecies,,,,Atlantic,W,,USA and Caribbean,pelagic,at-vessel mortality,0.275,131,visual,1992,2002,annual,ram,350,total_length,,541,,placental viviparity,28,pelagic,Beerkircher et al 2004,NA,LF,891,875,244,11
Carcharhinus obscurus,dusky shark,Carcharhinidae,,longline,,multispecies,,,,Atlantic,W,,USA and Caribbean,pelagic,at-vessel mortality,0.487,679,visual,1992,2002,annual,ram,420,total_length,,250,,placental viviparity,26,reef-associated,Beerkircher et al 2004,NA,LF,894,878,244,11
Carcharhinus plumbeus,sandbar shark,Carcharhinidae,,longline,,multispecies,,,,Atlantic,W,,USA and Caribbean,pelagic,at-vessel mortality,0.268,112,visual,1992,2002,annual,ram,243,total_length,,140,,placental viviparity,27,benthopelagic,Beerkircher et al 2004,NA,LF,896,880,244,11
Carcharhinus signatus,night shark,Carcharhinidae,,longline,,multispecies,,,,Atlantic,W,,USA and Caribbean,pelagic,at-vessel mortality,0.808,572,visual,1992,2002,annual,ram,280,total_length,,300,,placental viviparity,,coastal-pelagic,Beerkircher et al 2004,NA,LF,NA,NA,NA,NA
Galeocerdo cuvier,tiger shark,Carcharhinidae,,longline,,multispecies,,,,Atlantic,W,,USA and Caribbean,pelagic,at-vessel mortality,0.03,263,visual,1992,2002,annual,ram,740,total_length,,556,,placental viviparity,26,coastal-pelagic,Beerkircher et al 2004,NA,LF,902,886,244,791
Prionace glauca,blue shark,Carcharhinidae,,longline,,multispecies,,,,Atlantic,W,,USA and Caribbean,pelagic,at-vessel mortality,0.122,434,visual,1992,2002,annual,ram,383.5,total_length,,500,,placental viviparity,25,pelagic,Beerkircher et al 2004,NA,LF,914,898,244,11
Sphyrna lewini,scalloped hammerhead shark,Sphyrnidae,,longline,,multispecies,,,,Atlantic,W,,USA and Caribbean,pelagic,at-vessel mortality,0.61,199,visual,1992,2002,annual,ram,430,total_length,,521.5,,placental viviparity,26,pelagic,Beerkircher et al 2004,NA,LF,928,912,244,12
rays,,,,longline,,multispecies,,sharks,USA,Atlantic,W,,USA and Caribbean,pelagic,at-vessel mortality,0,113,visual,1992,2002,annual,stationary,,,,,,,,,Beerkircher et al 2004,NA,LF,NA,NA,NA,NA
