scientific_name,demers_pelag,max_size_cm,l_type_max_m,weight_kg,weight_mt,mean_r
Centroscyllium fabricii,bathydemersal,107,TL,5.6,0.0056,NA
Squalus suckleyi,benthopelagic,140,TL,5.6,0.0056,NA
Raja microocellata,demersal,87,TL,NA,NA,0.6494570165
Dipturus trachyderma,bathydemersal,264,TL,NA,NA,NA
Mustelus mento,demersal,141,TL,NA,NA,NA
Bathyraja griseocauda,bathydemersal,49,TL,NA,NA,NA
Bathyraja scaphiops,demersal,111,TL,NA,NA,NA
Bathyraja meridionalis,demersal,120,TL,NA,NA,NA
Amblyraja georgiana,bathydemersal,115,TL,NA,NA,NA
Bathyraja maccaini,demersal,120,TL,NA,NA,NA
Glaucostegus granulatus,demersal,280,SL,46.2,0.0462,NA
Centrophorus,NA,NA,NA,5.6,0.0056,NA
Rostroraja alba,demersal,230,TL,NA,NA,NA
Torpedinidae,NA,NA,NA,NA,NA,NA
Rhinoptera brasiliensis,demersal,104,WD,NA,NA,NA
Mustelus henlei,demersal,100,TL,2.3,0.0023,0.3255022232682637
Sphyrna media,demersal,150,TL,NA,NA,NA
Rhinobatidae,NA,NA,NA,2.3,0.0023,NA
Amblyraja radiata,demersal,105,TL,NA,NA,0.284205876
Rajella lintea,bathydemersal,125,TL,NA,NA,NA
Cephaloscyllium isabellum,NA,NA,NA,5.6,0.0056,NA
Mustelus lenticulatus,demersal,125,TL,2.3,0.0023,0.303720423
Dasyatis longa,NA,NA,NA,NA,NA,NA
Carcharodon carcharias,pelagic-oceanic,640,TL,36,0.036,0.12421085536244632
Scymnodon ringens,bathypelagic,110,TL,5.6,0.0056,NA
Myliobatis aquila,benthopelagic,183,WD,NA,NA,NA
Squatina squatina,demersal,183,TL,2.3,0.0023,NA
Torpedo marmorata,reef-associated,100,TL,NA,NA,0.127615015
Squalus blainville,demersal,121.5999984741211,TL,5.6,0.0056,NA
Amblyraja taaf,bathydemersal,90,TL,NA,NA,NA
Amblyraja hyperborea,bathydemersal,112,TL,NA,NA,NA
Galeus,NA,NA,NA,2.3,0.0023,NA
Bathyraja,NA,NA,NA,NA,NA,NA
Centrophorus lusitanicus,bathydemersal,160,TL,5.6,0.0056,NA
Glaucostegus cemiculus,demersal,242,TL,NA,NA,0.3775
Mobula mobular,pelagic-neritic,520,WD,NA,NA,NA
Somniosus microcephalus,benthopelagic,427,TL,5.6,0.0056,NA
Rajella,NA,NA,NA,NA,NA,NA
Mustelus asterias,demersal,140,TL,2.3,0.0023,NA
Aetomylaeus bovinus,benthopelagic,NA,NA,NA,NA,NA
Gymnura altavela,demersal,400,WD,NA,NA,NA
Leptocharias smithii,demersal,77,TL,NA,NA,NA
Dasyatis centroura,NA,NA,NA,NA,NA,NA
Rhizoprionodon terraenovae,demersal,110,TL,NA,NA,NA
Rhinoptera steindachneri,reef-associated,91.5999984741211,WD,NA,NA,NA
Torpedo,NA,NA,NA,NA,NA,NA
Rhincodon typus,pelagic-oceanic,1700,TL,36,0.036,0.187519214
Mustelus lunulatus,demersal,175,TL,NA,NA,NA
Nasolamia velox,NA,NA,NA,NA,NA,NA
Rhizoprionodon longurio,benthopelagic,110,TL,NA,NA,NA
Sphyrna corona,demersal,92,TL,NA,NA,NA
Mustelus whitneyi,demersal,NA,NA,2.3,0.0023,NA
Pseudobatos planiceps,demersal,113.5,TL,2.3,0.0023,NA
Torpedo torpedo,demersal,60,TL,NA,NA,0.2638388695
Himantura gerrardi,NA,NA,NA,NA,NA,NA
Carcharhinus signatus,benthopelagic,280,TL,NA,NA,0.14714076333333334
Triakis megalopterus,demersal,142,TL,2.3,0.0023,NA
Dasyatis akajei,NA,NA,NA,NA,NA,NA
Hemitriakis japanica,demersal,110,TL,NA,NA,NA
Oxynotus paradoxus,bathydemersal,120,TL,5.6,0.0056,NA
Squatina guggenheim,demersal,129,TL,NA,NA,0.184285105
Leucoraja erinacea,NA,NA,NA,NA,NA,0.655138812
Rostroraja eglanteria,demersal,84,TL,NA,NA,NA
Dipturus laevis,demersal,163,TL,NA,NA,0.45
Malacoraja senta,bathydemersal,71,TL,NA,NA,NA
Urobatis jamaicensis,reef-associated,76,TL,NA,NA,NA
Myliobatis californica,demersal,180,WD,NA,NA,NA
Raja stellulata,NA,NA,NA,NA,NA,NA
Triakis semifasciata,demersal,198,TL,2.3,0.0023,0.15651138353907254
Beringraja inornata,demersal,76,TL,NA,NA,NA
Apristurus brunneus,demersal,69,TL,NA,NA,NA
Carcharhinus amblyrhynchoides,pelagic-neritic,182,TL,NA,NA,NA
