scientific_name,family,group,gear_class,habitat_associated,estimate_type,estimate,sample_size,method,ventilation_method,max_size_cm,median_depth,reproductive_mode,reference
Centrophorus sp,Centrophoridae,Sharks,longline,bathydemersal,post-release mortality,0.83,13,satellite tag,stationary,155,404,yolk-sac viviparity,Talwar et al 2017
Mustelus canis,Triakidae,Sharks,longline,demersal,post-release mortality,0.75,14,satellite tag,ram,155,404,yolk-sac viviparity,Talwar et al 2017
Squalus cubensis,Squalidae,Sharks,longline,demersal,at-vessel mortality,0.83,72,visual,stationary,110,370.5,yolk-sac viviparity,Talwar et al 2017
Centrophorus sp,Centrophoridae,Sharks,longline,bathydemersal,at-vessel mortality,0.31,13,visual,stationary,,,yolk-sac viviparity,Talwar et al 2017
Mustelus canis,Triakidae,Sharks,longline,demersal,at-vessel mortality,0.07,14,visual,ram,155,404,yolk-sac viviparity,Talwar et al 2017
Hexanchus nakamurai,Hexanchidae,Sharks,longline,bathydemersal,at-vessel mortality,0.167,16,visual,ram,177.8,351,yolk-sac viviparity,Talwar et al 2017
Heptranchias perlo,Hexanchidae,Sharks,longline,bathydemersal,at-vessel mortality,1,2,visual,ram,140,500,yolk-sac viviparity,Talwar et al 2017
Hexanchus griseus,Hexanchidae,Sharks,longline,bathydemersal,at-vessel mortality,0,1,visual,ram,550,1245,yolk-sac viviparity,Talwar et al 2017
Centrophorus squamosus,Centrophoridae,Sharks,longline,bathydemersal,post-release mortality,0.33,9,satellite tag,stationary,166,1683,yolk-sac viviparity,Rodriguez-Cabello and Sanchez
Centrophorus squamosus,Centrophoridae,Sharks,longline,bathydemersal,at-vessel mortality,0.012,169,visual,stationary,166,1683,yolk-sac viviparity,Rodriguez-Cabello and Sanchez
Centroscymnus coelolepis,Somniosidae,Sharks,longline,bathydemersal,at-vessel mortality,0.045,44,visual,stationary,130,1901.5,yolk-sac viviparity,Rodriguez-Cabello and Sanchez
Deania calcea,Centrophoridae,Sharks,longline,bathydemersal,at-vessel mortality,0.088,171,visual,stationary,162,782,yolk-sac viviparity,Rodriguez-Cabello and Sanchez
Galeus melastomus,Scyliorhinidae,Sharks,longline,demersal,at-vessel mortality,0.38,21,visual,stationary,90,1027.5,oviparous,Rodriguez-Cabello and Sanchez
Dalatias licha,Dalatiidae,Sharks,longline,bathydemersal,at-vessel mortality,0.25,4,visual,stationary,182,915.5,yolk-sac viviparity,Rodriguez-Cabello and Sanchez
Deania profundorum,Centrophoridae,Sharks,longline,bathydemersal,at-vessel mortality,0.143,7,visual,stationary,97,1002.5,yolk-sac viviparity,Rodriguez-Cabello and Sanchez
Etmopterus pusillus,Etmopteridae,Sharks,longline,bathydemersal,at-vessel mortality,0.5,4,visual,stationary,50.2,560,yolk-sac viviparity,Rodriguez-Cabello and Sanchez
Carcharhinus falciformis,Carcharhinidae,Sharks,longline,reef-associated,post-release mortality,0.07,69,satellite tag,ram,350,250,placental viviparity,Schaefer et al. 2021
Carcharhinus falciformis,Carcharhinidae,Sharks,longline,reef-associated,post-release survival,0.848,69,satellite tag,ram,350,250,placental viviparity,Schaefer et al. 2021
Gymnura natalensis,Gymnuridae,Batoids,trawl,demersal,at-vessel mortality,0.464,84,visual,stationary,250,37.5,placental viviparity,Fennessy 1994
Himantura gerrardi,Dasyatidae,Batoids,trawl,demersal,at-vessel mortality,0.426,47,visual,stationary,107,37.5,histotrophy,Fennessy 1994
Dasyatis chrysonota,Dasyatidae,Batoids,trawl,demersal,at-vessel mortality,0.177,34,visual,stationary,75,50.5,histotrophy,Fennessy 1994
Himantura uarnak,Dasyatidae,Batoids,trawl,demersal,at-vessel mortality,0.25,16,visual,stationary,160,25,histotrophy,Fennessy 1994
Bathytoshia lata,Dasyatidae,Batoids,trawl,demersal,at-vessel mortality,0.7,10,visual,stationary,260,400,histotrophy,Fennessy 1994
Sphyrna lewini,Sphyrnidae,Sharks,trawl,pelagic,at-vessel mortality,0.976,169,visual,ram,430,521.5,placental viviparity,Fennessy 1994
Mustelus mosis,Triakidae,Sharks,trawl,demersal,at-vessel mortality,0.286,14,visual,ram,150,135,yolk-sac viviparity,Fennessy 1994
Rhizoprionodon acutus,Carcharhinidae,Sharks,trawl,demersal,at-vessel mortality,0.292,24,visual,ram,178,100.5,placental viviparity,Fennessy 1994
