scientific_name,family,group,gear_class,habitat_associated,estimate_type,estimate,sample_size,method,ventilation_method,max_size_cm,median_depth,reproductive_mode,reference
Carcharhinus falciformis,Carcharhinidae,Sharks,longline,reef-associated,at-vessel mortality,0.266,94,visual,ram,350,250,placental viviparity,Scott-Denton et al 2011
Carcharhinus leucas,Carcharhinidae,Sharks,longline,reef-associated,at-vessel mortality,0.023,43,visual,ram,366,82.5,placental viviparity,Scott-Denton et al 2011
Carcharhinus limbatus,Carcharhinidae,Sharks,longline,reef-associated,at-vessel mortality,0.23,87,visual,ram,286,70,placental viviparity,Scott-Denton et al 2011
Carcharhinus plumbeus,Carcharhinidae,Sharks,longline,benthopelagic,at-vessel mortality,0.034,59,visual,ram,243,140,placental viviparity,Scott-Denton et al 2011
Carcharhinus porosus,Carcharhinidae,Sharks,longline,demersal,at-vessel mortality,0,48,visual,ram,150,42,placental viviparity,Scott-Denton et al 2011
Galeocerdo cuvier,Carcharhinidae,Sharks,longline,benthopelagic,at-vessel mortality,0.09,102,visual,ram,740,556,placental viviparity,Scott-Denton et al 2011
Negaprion brevirostris,Carcharhinidae,Sharks,longline,reef-associated,at-vessel mortality,0.019,157,visual,ram,368,60,placental viviparity,Scott-Denton et al 2011
Rhizoprionodon terraenovae,Carcharhinidae,Sharks,longline,demersal,at-vessel mortality,0.191,2090,visual,ram,113,140,placental viviparity,Scott-Denton et al 2011
Sphyrna lewini,Sphyrnidae,Sharks,longline,pelagic,at-vessel mortality,0.193,73,visual,ram,430,521.5,placental viviparity,Scott-Denton et al 2011
Rostroraja eglanteria,Rajidae,Batoids,longline,demersal,at-vessel mortality,0.04,50,visual,stationary,84,164.5,oviparous,Scott-Denton et al 2011
Ginglymostoma cirratum,Ginglymostomatidae,Sharks,handline,reef-associated,post-release mortality,0.061,33,visual,stationary,308,65,yolk-sac viviparity,Scott-Denton et al 2011
Mustelus canis,Triakidae,Sharks,handline,demersal,post-release mortality,0.125,35,visual,ram,155,404,yolk-sac viviparity,Scott-Denton et al 2011
Carcharhinus acronotus,Carcharhinidae,Sharks,handline,reef-associated,at-vessel mortality,0.031,32,visual,ram,164,51.5,placental viviparity,Scott-Denton et al 2011
Carcharhinus falciformis,Carcharhinidae,Sharks,handline,reef-associated,post-release mortality,0.014,71,visual,ram,350,250,placental viviparity,Scott-Denton et al 2011
Carcharhinus limbatus,Carcharhinidae,Sharks,handline,reef-associated,post-release mortality,0.158,39,visual,ram,286,70,placental viviparity,Scott-Denton et al 2011
Rhizoprionodon terraenovae,Carcharhinidae,Sharks,handline,demersal,post-release mortality,0.076,83,visual,ram,113,140,placental viviparity,Scott-Denton et al 2011
Pseudocarcharias kamoharai,Pseudocarchariidae,Sharks,longline,pelagic,at-vessel mortality,0.387,139,visual,ram,122,295,oophagy,Bromhead et al 2012
Alopias pelagicus,Alopiidae,Sharks,longline,pelagic,at-vessel mortality,0.638,1353,visual,ram,428,150,oophagy,Bromhead et al 2012
Alopias superciliosus,Alopiidae,Sharks,longline,pelagic,at-vessel mortality,0.5,1636,visual,ram,484,361.5,oophagy,Bromhead et al 2012
Alopias vulpinus,Alopiidae,Sharks,longline,pelagic,at-vessel mortality,0.529,87,visual,ram,573.3,325,oophagy,Bromhead et al 2012
Isurus oxyrinchus,Lamnidae,Sharks,longline,pelagic,at-vessel mortality,0.503,171,visual,ram,445,375,oophagy,Bromhead et al 2012
Carcharhinus albimarginatus,Carcharhinidae,Sharks,longline,reef-associated,at-vessel mortality,0.15,20,visual,ram,300,400,placental viviparity,Bromhead et al 2012
Carcharhinus brachyurus,Carcharhinidae,Sharks,longline,reef-associated,at-vessel mortality,0.056,19,visual,ram,322,73,placental viviparity,Bromhead et al 2012
Carcharhinus falciformis,Carcharhinidae,Sharks,longline,reef-associated,at-vessel mortality,0.265,3242,visual,ram,350,250,placental viviparity,Bromhead et al 2012
Carcharhinus longimanus,Carcharhinidae,Sharks,longline,pelagic,at-vessel mortality,0.306,917,visual,ram,350,541,placental viviparity,Bromhead et al 2012
Prionace glauca,Carcharhinidae,Sharks,longline,pelagic,at-vessel mortality,0.196,3452,visual,ram,383.5,500,placental viviparity,Bromhead et al 2012
Pteroplatytrygon violacea,Dasyatidae,Batoids,longline,pelagic,at-vessel mortality,0.185,501,visual,stationary,80,190.5,histotrophy,Bromhead et al 2012
Carcharhinus amblyrhynchos,Carcharhinidae,Sharks,longline,reef-associated,at-vessel mortality,0.5,4,visual,ram,265,137.5,placental viviparity,Bromhead et al 2012
Carcharhinus galapagensis,Carcharhinidae,Sharks,longline,reef-associated,at-vessel mortality,0.25,8,visual,ram,300,143,placental viviparity,Bromhead et al 2012
Carcharhinus limbatus,Carcharhinidae,Sharks,longline,reef-associated,at-vessel mortality,0.6,10,visual,ram,286,70,placental viviparity,Bromhead et al 2012
Carcharhinus plumbeus,Carcharhinidae,Sharks,longline,benthopelagic,at-vessel mortality,0,1,visual,ram,243,140,placental viviparity,Bromhead et al 2012
Sphyrna lewini,Sphyrnidae,Sharks,longline,pelagic,at-vessel mortality,0.75,5,visual,ram,430,521.5,placental viviparity,Bromhead et al 2012
Sphyrna mokarran,Sphyrnidae,Sharks,longline,pelagic,at-vessel mortality,0.75,3,visual,ram,610,150,placental viviparity,Bromhead et al 2012
Galeocerdo cuvier,Carcharhinidae,Sharks,longline,benthopelagic,at-vessel mortality,0.6,5,visual,ram,740,556,placental viviparity,Bromhead et al 2012
Prionace glauca,Carcharhinidae,Sharks,longline,pelagic,post-release survival,0.95,33,blood chemistry,ram,383.5,500,placental viviparity,Moyes et al. 2006
Prionace glauca,Carcharhinidae,Sharks,longline,pelagic,post-release survival,1,11,satellite tag,ram,383.5,500,placental viviparity,Moyes et al. 2006
Prionace glauca,Carcharhinidae,Sharks,longline,pelagic,post-release mortality,0.12,17,satellite tag,ram,383.5,500,placental viviparity,Weng et al. 2005
Carcharhinus melanopterus,Carcharhinidae,Sharks,gillnet,reef-associated,at-vessel mortality,0.38,37,blood chemistry,ram,180,50,placental viviparity,Dapp et al. 2017
Carcharhinus cautus,Carcharhinidae,Sharks,gillnet,reef-associated,at-vessel mortality,0.66,12,blood chemistry,ram,150,10,placental viviparity,Dapp et al. 2017
Carcharhinus brevipinna,Carcharhinidae,Sharks,gillnet,reef-associated,at-vessel mortality,0.8,5,blood chemistry,ram,304,100,placental viviparity,Dapp et al. 2017
Negaprion acutidens,Carcharhinidae,Sharks,gillnet,reef-associated,at-vessel mortality,0,4,blood chemistry,ram,310,45,placental viviparity,Dapp et al. 2017
Rhynchobatus australiae,Rhinidae,Batoids,gillnet,demersal,at-vessel mortality,0,4,blood chemistry,stationary,300,30,yolk-sac viviparity,Dapp et al. 2017
Hemigaleus australiensis,Hemigaleidae,Sharks,gillnet,demersal,at-vessel mortality,1,2,blood chemistry,stationary,110,91,placental viviparity,Dapp et al. 2017
Isurus oxyrinchus,Lamnidae,Sharks,longline,pelagic,post-release mortality,0.26,149,blood chemistry,ram,445,375,oophagy,Hight et al. 2007
Alopias vulpinus,Alopiidae,Sharks,longline,pelagic,post-release mortality,0.047,43,blood chemistry,ram,573.3,325,oophagy,Hight et al. 2007
Prionace glauca,Carcharhinidae,Sharks,longline,pelagic,post-release mortality,0.24,79,blood chemistry,ram,383.5,500,placental viviparity,Hight et al. 2009
Mustelus antarcticus,Triakidae,Sharks,gillnet,demersal,post-release mortality,0.38,30,blood chemistry,ram,185.2,175.5,yolk-sac viviparity,Frick et al. 2010a
Mustelus antarcticus,Triakidae,Sharks,longline,demersal,post-release mortality,0.08,24,blood chemistry,ram,185.2,175.5,yolk-sac viviparity,Frick et al. 2010a
Mustelus antarcticus,Triakidae,Sharks,trawl,demersal,post-release mortality,0.26,41,blood chemistry,ram,185.2,175.5,yolk-sac viviparity,Frick et al. 2010a
Mustelus antarcticus,Triakidae,Sharks,trawl,demersal,at-vessel mortality,0.07,24,blood chemistry,ram,185.2,175.5,yolk-sac viviparity,Frick et al. 2010a
Mustelus antarcticus,Triakidae,Sharks,longline,demersal,post-release mortality,0.03,93,blood chemistry,ram,185.2,175.5,yolk-sac viviparity,Frick et al. 2010a
Pseudocarcharias kamoharai,Pseudocarchariidae,Sharks,longline,pelagic,at-vessel mortality,0.133,1621,visual,ram,122,295,oophagy,Coelho et al 2012
Alopias superciliosus,Alopiidae,Sharks,longline,pelagic,at-vessel mortality,0.561,1061,visual,ram,484,361.5,oophagy,Coelho et al 2012
Alopias vulpinus,Alopiidae,Sharks,longline,pelagic,at-vessel mortality,0.667,3,visual,ram,573.3,325,oophagy,Coelho et al 2012
Isurus oxyrinchus,Lamnidae,Sharks,longline,pelagic,at-vessel mortality,0.356,1414,visual,ram,445,375,oophagy,Coelho et al 2012
Isurus paucus,Lamnidae,Sharks,longline,pelagic,at-vessel mortality,0.307,168,visual,ram,427,876,oophagy,Coelho et al 2012
Lamna nasus,Lamnidae,Sharks,longline,pelagic,at-vessel mortality,0.3,10,visual,ram,365,904.5,oophagy,Coelho et al 2012
Galeorhinus galeus,Triakidae,Sharks,longline,benthopelagic,at-vessel mortality,0,25,visual,ram,199,400,yolk-sac viviparity,Coelho et al 2012
Carcharhinus altimus,Carcharhinidae,Sharks,longline,reef-associated,at-vessel mortality,0.6,11,visual,ram,300,405,placental viviparity,Coelho et al 2012
Carcharhinus falciformis,Carcharhinidae,Sharks,longline,reef-associated,at-vessel mortality,0.558,310,visual,ram,350,250,placental viviparity,Coelho et al 2012
Carcharhinus longimanus,Carcharhinidae,Sharks,longline,pelagic,at-vessel mortality,0.342,281,visual,ram,350,541,placental viviparity,Coelho et al 2012
Galeocerdo cuvier,Carcharhinidae,Sharks,longline,benthopelagic,at-vessel mortality,0.029,36,visual,ram,740,556,placental viviparity,Coelho et al 2012
Prionace glauca,Carcharhinidae,Sharks,longline,pelagic,at-vessel mortality,0.143,30168,visual,ram,383.5,500,placental viviparity,Coelho et al 2012
Sphyrna lewini,Sphyrnidae,Sharks,longline,pelagic,at-vessel mortality,0.571,21,visual,ram,430,521.5,placental viviparity,Coelho et al 2012
Sphyrna mokarran,Sphyrnidae,Sharks,longline,pelagic,at-vessel mortality,0,3,visual,ram,610,150,placental viviparity,Coelho et al 2012
Sphyrna zygaena,Sphyrnidae,Sharks,longline,pelagic,at-vessel mortality,0.71,372,visual,ram,400,100,placental viviparity,Coelho et al 2012
Pteroplatytrygon violacea,Dasyatidae,Batoids,longline,pelagic,at-vessel mortality,0.01,396,visual,stationary,80,190.5,histotrophy,Coelho et al 2012
Isurus oxyrinchus,Lamnidae,Sharks,longline,pelagic,at-vessel mortality,0.265,543,visual,ram,445,375,oophagy,Epperly et al 2012
Lamna nasus,Lamnidae,Sharks,longline,pelagic,at-vessel mortality,0.361,866,visual,ram,365,904.5,oophagy,Epperly et al 2012
Prionace glauca,Carcharhinidae,Sharks,longline,pelagic,at-vessel mortality,0.226,21684,visual,ram,383.5,500,placental viviparity,Epperly et al 2012
Isurus oxyrinchus,Lamnidae,Sharks,longline,pelagic,at-vessel mortality,0.213,543,visual,ram,445,375,oophagy,Epperly et al 2012
Lamna nasus,Lamnidae,Sharks,longline,pelagic,at-vessel mortality,0.295,866,visual,ram,365,904.5,oophagy,Epperly et al 2012
Prionace glauca,Carcharhinidae,Sharks,longline,pelagic,at-vessel mortality,0.188,21684,visual,ram,383.5,500,placental viviparity,Epperly et al 2012
Pseudocarcharias kamoharai,Triakidae,Sharks,longline,pelagic,at-vessel mortality,0.0474,190,visual,ram,122,295,oophagy,Fernandez-Carvalho et al 2015
Alopias superciliosus,Alopiidae,Sharks,longline,pelagic,at-vessel mortality,0.498,295,visual,ram,484,361.5,oophagy,Fernandez-Carvalho et al 2015
Carcharhinus longimanus,Carcharhinidae,Sharks,longline,pelagic,at-vessel mortality,0.227,44,visual,ram,350,541,placental viviparity,Fernandez-Carvalho et al 2015
Sphyrna zygaena,Sphyrnidae,Sharks,longline,pelagic,at-vessel mortality,0.6203,79,visual,ram,400,100,placental viviparity,Fernandez-Carvalho et al 2015
Pseudocarcharias kamoharai,Triakidae,Sharks,longline,pelagic,at-vessel mortality,0.08,211,visual,ram,122,295,oophagy,Fernandez-Carvalho et al 2015
Alopias superciliosus,Alopiidae,Sharks,longline,pelagic,at-vessel mortality,0.584,272,visual,ram,484,361.5,oophagy,Fernandez-Carvalho et al 2015
Carcharhinus longimanus,Carcharhinidae,Sharks,longline,pelagic,at-vessel mortality,0.11,27,visual,ram,350,541,placental viviparity,Fernandez-Carvalho et al 2015
Sphyrna zygaena,Sphyrnidae,Sharks,longline,pelagic,at-vessel mortality,0.628,79,visual,ram,400,100,placental viviparity,Fernandez-Carvalho et al 2015
Pseudocarcharias kamoharai,Triakidae,Sharks,longline,pelagic,at-vessel mortality,0.0913,263,visual,ram,122,295,oophagy,Fernandez-Carvalho et al 2015
Alopias superciliosus,Alopiidae,Sharks,longline,pelagic,at-vessel mortality,0.496,248,visual,ram,484,361.5,oophagy,Fernandez-Carvalho et al 2015
Carcharhinus longimanus,Carcharhinidae,Sharks,longline,pelagic,at-vessel mortality,0.284,81,visual,ram,350,541,placental viviparity,Fernandez-Carvalho et al 2015
Sphyrna zygaena,Sphyrnidae,Sharks,longline,pelagic,at-vessel mortality,0.629,54,visual,ram,400,100,placental viviparity,Fernandez-Carvalho et al 2015
Alopias superciliosus,Alopiidae,Sharks,longline,pelagic,at-vessel mortality,0.517,367,visual,ram,484,361.5,oophagy,Gallagher et al 2014
Isurus oxyrinchus,Lamnidae,Sharks,longline,pelagic,at-vessel mortality,0.286,2126,visual,ram,445,375,oophagy,Gallagher et al 2014
Isurus paucus,Lamnidae,Sharks,longline,pelagic,at-vessel mortality,0.511,139,visual,ram,427,876,oophagy,Gallagher et al 2014
Lamna nasus,Lamnidae,Sharks,longline,pelagic,at-vessel mortality,0.214,255,visual,ram,365,904.5,oophagy,Gallagher et al 2014
Carcharhinus falciformis,Carcharhinidae,Sharks,longline,reef-associated,at-vessel mortality,0.422,1090,visual,ram,350,250,placental viviparity,Gallagher et al 2014
Carcharhinus longimanus,Carcharhinidae,Sharks,longline,pelagic,at-vessel mortality,0.257,213,visual,ram,350,541,placental viviparity,Gallagher et al 2014
Carcharhinus obscurus,Carcharhinidae,Sharks,longline,reef-associated,at-vessel mortality,0.279,274,visual,ram,420,250,placental viviparity,Gallagher et al 2014
Carcharhinus plumbeus,Carcharhinidae,Sharks,longline,benthopelagic,at-vessel mortality,0.267,189,visual,ram,243,140,placental viviparity,Gallagher et al 2014
Carcharhinus signatus,Carcharhinidae,Sharks,longline,benthopelagic,at-vessel mortality,0.67,1141,visual,ram,280,300,placental viviparity,Gallagher et al 2014
Galeocerdo cuvier,Carcharhinidae,Sharks,longline,benthopelagic,at-vessel mortality,0.032,1348,visual,ram,740,556,placental viviparity,Gallagher et al 2014
Prionace glauca,Carcharhinidae,Sharks,longline,pelagic,at-vessel mortality,0.151,17780,visual,ram,383.5,500,placental viviparity,Gallagher et al 2014
Sphyrna lewini,Sphyrnidae,Sharks,longline,pelagic,at-vessel mortality,0.541,727,visual,ram,430,521.5,placental viviparity,Gallagher et al 2014
Hexanchus griseus,Hexanchidae,Sharks,longline,bathydemersal,at-vessel mortality,0,8,visual,ram,550,1245,placental viviparity,Brooks et al 2015
Hexanchus nakamurai,Hexanchidae,Sharks,longline,bathydemersal,at-vessel mortality,0.071,14,visual,ram,177.8,351,placental viviparity,Brooks et al 2015
Centrophorus sp,Centrophoridae,Sharks,longline,bathydemersal,at-vessel mortality,0.294,51,visual,stationary,,,yolk-sac viviparity,Brooks et al 2015
Centroscymnus owstonii,Somniosidae,Sharks,longline,bathydemersal,at-vessel mortality,0.8,5,visual,stationary,120,804.5,yolk-sac viviparity,Brooks et al 2015
Squalus cubensis,Squalidae,Sharks,longline,demersal,at-vessel mortality,0.091,55,visual,stationary,110,370.5,yolk-sac viviparity,Brooks et al 2015
Galeus springeri,Scyliorhinidae,Sharks,longline,bathypelagic,at-vessel mortality,0.667,3,visual,stationary,53,640.5,oviparous,Brooks et al 2015
Pseudotriakis microdon,Triakidae,Sharks,longline,pelagic,at-vessel mortality,0,1,visual,ram,296,1265,yolk-sac viviparity,Brooks et al 2015
Mustelus canis,Triakidae,Sharks,longline,demersal,at-vessel mortality,0,7,visual,ram,155,404,yolk-sac viviparity,Brooks et al 2015
Orectolobus halei,Orectolobidae,Sharks,longline,demersal,at-vessel mortality,0,3,visual,stationary,256,97.5,oviparous,Butcher et al 2015
Orectolobus maculatus,Orectolobidae,Sharks,longline,reef-associated,at-vessel mortality,0,10,visual,stationary,170,124,oviparous,Butcher et al 2015
Orectolobus ornatus,Orectolobidae,Sharks,longline,reef-associated,at-vessel mortality,0,5,visual,stationary,110,52.5,oviparous,Butcher et al 2015
Carcharias taurus,Lamnidae,Sharks,longline,reef-associated,at-vessel mortality,0,12,visual,ram,325,116,oophagy,Butcher et al 2015
Mustelus antarcticus,Triakidae,Sharks,longline,demersal,at-vessel mortality,0.225,22,visual,ram,185.2,175.5,yolk-sac viviparity,Butcher et al 2015
Carcharhinus brachyurus,Carcharhinidae,Sharks,longline,reef-associated,at-vessel mortality,0.667,6,visual,ram,322,73,placental viviparity,Butcher et al 2015
Carcharhinus brevipinna,Carcharhinidae,Sharks,longline,reef-associated,at-vessel mortality,0.956,50,visual,ram,304,100,placental viviparity,Butcher et al 2015
Carcharhinus leucas,Carcharhinidae,Sharks,longline,reef-associated,at-vessel mortality,0,1,visual,ram,366,82.5,placental viviparity,Butcher et al 2015
Carcharhinus limbatus,Carcharhinidae,Sharks,longline,reef-associated,at-vessel mortality,0.907,113,visual,ram,286,70,placental viviparity,Butcher et al 2015
Carcharhinus obscurus,Carcharhinidae,Sharks,longline,reef-associated,at-vessel mortality,0.664,74,visual,ram,420,250,placental viviparity,Butcher et al 2015
Carcharhinus plumbeus,Carcharhinidae,Sharks,longline,benthopelagic,at-vessel mortality,0.528,160,visual,ram,243,140,placental viviparity,Butcher et al 2015
Galeocerdo cuvier,Carcharhinidae,Sharks,longline,benthopelagic,at-vessel mortality,0.054,123,visual,ram,740,556,placental viviparity,Butcher et al 2015
Sphyrna lewini,Sphyrnidae,Sharks,longline,pelagic,at-vessel mortality,0.888,52,visual,ram,430,521.5,placental viviparity,Butcher et al 2015
Sphyrna zygaena,Sphyrnidae,Sharks,longline,pelagic,at-vessel mortality,1,2,visual,ram,400,100,placental viviparity,Butcher et al 2015
Sphyrna mokarran,Sphyrnidae,Sharks,longline,pelagic,at-vessel mortality,1,11,visual,ram,610,150,placental viviparity,Butcher et al 2015
Rhynchobatus australiae,Rhinidae,Batoids,longline,demersal,at-vessel mortality,0.125,8,visual,stationary,300,30,yolk-sac viviparity,Butcher et al 2015
Aptychotrema rostrata,Rhinobatidae,Batoids,longline,demersal,at-vessel mortality,0,2,visual,stationary,120,110,yolk-sac viviparity,Butcher et al 2015
Bathytoshia brevicaudata,Dasyatidae,Batoids,longline,demersal,at-vessel mortality,0,18,visual,stationary,210,242.5,histotrophy,Butcher et al 2015
Ginglymostoma cirratum,Ginglymostomatidae,Sharks,longline,reef-associated,at-vessel mortality,0.003,311,visual,ram,308,65,yolk-sac viviparity,Gulak et al 2015
Carcharias taurus,Lamnidae,Sharks,longline,reef-associated,at-vessel mortality,0,13,visual,ram,325,116,oophagy,Gulak et al 2015
Carcharhinus acronotus,Carcharhinidae,Sharks,longline,reef-associated,at-vessel mortality,0.664,110,visual,ram,164,51.5,placental viviparity,Gulak et al 2015
Carcharhinus brevipinna,Carcharhinidae,Sharks,longline,reef-associated,at-vessel mortality,0.813,32,visual,ram,304,100,placental viviparity,Gulak et al 2015
Carcharhinus falciformis,Carcharhinidae,Sharks,longline,reef-associated,at-vessel mortality,0.571,35,visual,ram,350,250,placental viviparity,Gulak et al 2015
Carcharhinus leucas,Carcharhinidae,Sharks,longline,reef-associated,at-vessel mortality,0.025,122,visual,ram,366,82.5,placental viviparity,Gulak et al 2015
Carcharhinus limbatus,Carcharhinidae,Sharks,longline,reef-associated,at-vessel mortality,0.708,902,visual,ram,286,70,placental viviparity,Gulak et al 2015
Carcharhinus obscurus,Carcharhinidae,Sharks,longline,reef-associated,at-vessel mortality,0.702,104,visual,ram,420,250,placental viviparity,Gulak et al 2015
Carcharhinus plumbeus,Carcharhinidae,Sharks,longline,benthopelagic,at-vessel mortality,0.169,933,visual,ram,243,140,placental viviparity,Gulak et al 2015
Galeocerdo cuvier,Carcharhinidae,Sharks,longline,benthopelagic,at-vessel mortality,0.089,270,visual,ram,740,556,placental viviparity,Gulak et al 2015
Negaprion brevirostris,Carcharhinidae,Sharks,longline,reef-associated,at-vessel mortality,0.042,24,visual,ram,368,60,placental viviparity,Gulak et al 2015
Rhizoprionodon terraenovae,Carcharhinidae,Sharks,longline,demersal,at-vessel mortality,0.894,902,visual,ram,113,140,placental viviparity,Gulak et al 2015
Sphyrna lewini,Sphyrnidae,Sharks,longline,pelagic,at-vessel mortality,0.629,175,visual,ram,430,521.5,placental viviparity,Gulak et al 2015
Sphyrna mokarran,Sphyrnidae,Sharks,longline,pelagic,at-vessel mortality,0.56,75,visual,ram,610,150,placental viviparity,Gulak et al 2015
Rhincodon typus,Rhincodontidae,Sharks,purse seine,pelagic,at-vessel mortality,0.026,38,visual,ram,1700,964,yolk-sac viviparity,Capietto et al 2014
Rhincodon typus,Rhincodontidae,Sharks,purse seine,pelagic,at-vessel mortality,0.009,107,visual,ram,1700,964,yolk-sac viviparity,Capietto et al 2014
Sphyrna mokarran,Sphyrnidae,Sharks,longline,pelagic,at-vessel mortality,0.958,393,visual,ram,610,150,placental viviparity,Morgan et al. 2009
Sphyrna lewini,Sphyrnidae,Sharks,longline,pelagic,at-vessel mortality,0.92,832,visual,ram,430,521.5,placental viviparity,Morgan et al. 2009
Carcharhinus falciformis,Carcharhinidae,Sharks,longline,reef-associated,at-vessel mortality,0.885,486,visual,ram,350,250,placental viviparity,Morgan et al. 2009
Carcharhinus limbatus,Carcharhinidae,Sharks,longline,reef-associated,at-vessel mortality,0.861,5026,visual,ram,286,70,placental viviparity,Morgan et al. 2009
Carcharhinus obscurus,Carcharhinidae,Sharks,longline,reef-associated,at-vessel mortality,0.75,1651,visual,ram,420,250,placental viviparity,Morgan et al. 2009
Carcharhinus acronotus,Carcharhinidae,Sharks,longline,reef-associated,at-vessel mortality,0.7,2367,visual,ram,164,51.5,placental viviparity,Morgan et al. 2009
Rhizoprionodon terraenovae,Carcharhinidae,Sharks,longline,demersal,at-vessel mortality,0.6,14860,visual,ram,113,140,placental viviparity,Morgan et al. 2009
Carcharhinus plumbeus,Carcharhinidae,Sharks,longline,benthopelagic,at-vessel mortality,0.334,19788,visual,ram,243,140,placental viviparity,Morgan et al. 2009
Carcharhinus leucas,Carcharhinidae,Sharks,longline,reef-associated,at-vessel mortality,0.301,679,visual,ram,366,82.5,placental viviparity,Morgan et al. 2009
Negaprion brevirostris,Carcharhinidae,Sharks,longline,reef-associated,at-vessel mortality,0.079,374,visual,ram,368,60,placental viviparity,Morgan et al. 2009
Galeocerdo cuvier,Carcharhinidae,Sharks,longline,benthopelagic,at-vessel mortality,0.067,5607,visual,ram,740,556,placental viviparity,Morgan et al. 2009
Ginglymostoma cirratum,Ginglymostomatidae,Sharks,longline,reef-associated,at-vessel mortality,0,1155,visual,ram,308,65,yolk-sac viviparity,Morgan et al. 2009
Carcharhinus plumbeus,Carcharhinidae,Sharks,longline,benthopelagic,at-vessel mortality,0.35,569,visual,ram,243,140,placental viviparity,Macbeth et al. 2009
Carcharhinus obscurus,Carcharhinidae,Sharks,longline,reef-associated,at-vessel mortality,0.8,249,visual,ram,420,250,placental viviparity,Macbeth et al. 2009
Carcharhinus brevipinna,Carcharhinidae,Sharks,longline,reef-associated,at-vessel mortality,0.95,174,visual,ram,304,100,placental viviparity,Macbeth et al. 2009
Carcharhinus limbatus,Carcharhinidae,Sharks,longline,reef-associated,at-vessel mortality,0.75,104,visual,ram,286,70,placental viviparity,Macbeth et al. 2009
Galeocerdo cuvier,Carcharhinidae,Sharks,longline,benthopelagic,at-vessel mortality,0,97,visual,ram,740,556,placental viviparity,Macbeth et al. 2009
Sphyrna zygaena,Sphyrnidae,Sharks,longline,pelagic,at-vessel mortality,1,71,visual,ram,400,100,placental viviparity,Macbeth et al. 2009
Sphyrna lewini,Sphyrnidae,Sharks,longline,pelagic,at-vessel mortality,0.8,53,visual,ram,430,521.5,placental viviparity,Macbeth et al. 2009
Carcharhinus brachyurus,Carcharhinidae,Sharks,longline,reef-associated,at-vessel mortality,0.7,23,visual,ram,322,73,placental viviparity,Macbeth et al. 2009
Alopias superciliosus,Alopiidae,Sharks,longline,pelagic,at-vessel mortality,0.416,137,visual,ram,484,361.5,oophagy,Mucientes et al 2022
Carcharhinus longimanus,Carcharhinidae,Sharks,longline,pelagic,at-vessel mortality,0.435,416,visual,ram,350,541,placental viviparity,Mucientes et al 2022
Carcharhinus falciformis,Carcharhinidae,Sharks,longline,reef-associated,at-vessel mortality,0.411,90,visual,ram,350,250,placental viviparity,Mucientes et al 2022
Sphyrna zygaena,Sphyrnidae,Sharks,longline,pelagic,at-vessel mortality,0.69,84,visual,ram,400,100,placental viviparity,Mucientes et al 2022
Isurus oxyrinchus,Lamnidae,Sharks,longline,pelagic,at-vessel mortality,0.22,100,visual,ram,445,375,oophagy,Mucientes et al 2022
Isurus paucus,Lamnidae,Sharks,longline,pelagic,at-vessel mortality,0.163,104,visual,ram,427,876,oophagy,Mucientes et al 2022
Lamna nasus,Lamnidae,Sharks,handline,pelagic,post-release survival,1,13,satellite tag,ram,365,904.5,oophagy,Anderson et al 2021
Negaprion acutidens,Carcharhinidae,Sharks,longline,reef-associated,at-vessel mortality,0,23,visual,ram,310,45,placental viviparity,Braccini & Walrick 2019
Carcharhinus amboinensis,Carcharhinidae,Sharks,longline,reef-associated,at-vessel mortality,0,23,visual,ram,280,50,placental viviparity,Braccini & Walrick 2019
Rhynchobatus australiae,Rhinidae,Batoids,longline,demersal,at-vessel mortality,0,15,visual,stationary,300,30,yolk-sac viviparity,Braccini & Walrick 2019
Stegostoma tigrinum,Stegostomatidae,Sharks,longline,reef-associated,at-vessel mortality,0,8,visual,stationary,250,45,yolk-sac viviparity,Braccini & Walrick 2019
Pristis zijsron,Pristidae,Batoids,longline,demersal,at-vessel mortality,0,2,visual,stationary,730,50,yolk-sac viviparity,Braccini & Walrick 2019
Orectolobus ornatus,Orectolobidae,Sharks,longline,reef-associated,at-vessel mortality,0,2,visual,stationary,110,52.5,yolk-sac viviparity,Braccini & Walrick 2019
Carcharhinus leucas,Carcharhinidae,Sharks,longline,reef-associated,at-vessel mortality,0,1,visual,ram,366,82.5,placental viviparity,Braccini & Walrick 2019
Squalus sp,Squalidae,Sharks,longline,,at-vessel mortality,0,1,visual,stationary,,,yolk-sac viviparity,Braccini & Walrick 2019
Nebrius ferrugineus,Ginglymostomatidae,Sharks,longline,reef-associated,at-vessel mortality,0,1,visual,stationary,320,35,yolk-sac viviparity,Braccini & Walrick 2019
Orectolobus sp,Orectolobidae,Sharks,longline,,at-vessel mortality,0,1,visual,stationary,,,yolk-sac viviparity,Braccini & Walrick 2019
Galeocerdo cuvier,Carcharhinidae,Sharks,longline,benthopelagic,at-vessel mortality,0.009,115,visual,ram,740,556,placental viviparity,Braccini & Walrick 2019
Carcharhinus obscurus,Carcharhinidae,Sharks,longline,reef-associated,at-vessel mortality,0.013,76,visual,ram,420,250,placental viviparity,Braccini & Walrick 2019
Carcharhinus plumbeus,Carcharhinidae,Sharks,longline,benthopelagic,at-vessel mortality,0.05,863,visual,ram,243,140,placental viviparity,Braccini & Walrick 2019
