reference,family,genus,alive,dead,hooks_per_set,bait,hook,leader,source,sample_size,scientific_name,gear_class,estimate_type,estimate,max_size_cm,measure,median_depth,reproductive_mode,group,ac
"NMFS. 2021b. Hawaii Pelagic Longline Observer Program Database. Pacific Islands Regional Office, National Marine Fisheries Service, Honolulu.",Alopiidae,Alopias,1607,456,2047,other,j,wire,Gilman et al (2022),2063,Alopias superciliosus,,,,,,,,,
"NMFS. 2021b. Hawaii Pelagic Longline Observer Program Database. Pacific Islands Regional Office, National Marine Fisheries Service, Honolulu.",Carcharhinidae,Carcharhinus,1,2,2047,other,j,wire,Gilman et al (2022),3,Carcharhinus altimus,,,,,,,,,
"NMFS. 2021b. Hawaii Pelagic Longline Observer Program Database. Pacific Islands Regional Office, National Marine Fisheries Service, Honolulu.",Carcharhinidae,Prionace,27698,2187,2047,other,j,wire,Gilman et al (2022),29885,Prionace glauca,,,,,,,,,
"NMFS. 2021b. Hawaii Pelagic Longline Observer Program Database. Pacific Islands Regional Office, National Marine Fisheries Service, Honolulu.",Alopiidae,Alopias,3,0,2047,other,j,wire,Gilman et al (2022),3,Alopias vulpinus,,,,,,,,,
"NMFS. 2021b. Hawaii Pelagic Longline Observer Program Database. Pacific Islands Regional Office, National Marine Fisheries Service, Honolulu.",Dalatiidae,Isistius,2,1,2047,other,j,wire,Gilman et al (2022),3,Isistius brasiliensis,,,,,,,,,
"NMFS. 2021b. Hawaii Pelagic Longline Observer Program Database. Pacific Islands Regional Office, National Marine Fisheries Service, Honolulu.",Pseudocarchariidae,Pseudocarcharias,445,261,2047,other,j,wire,Gilman et al (2022),706,Pseudocarcharias kamoharai,,,,,,,,,
"NMFS. 2021b. Hawaii Pelagic Longline Observer Program Database. Pacific Islands Regional Office, National Marine Fisheries Service, Honolulu.",Carcharhinidae,Carcharhinus,30,10,2047,other,j,wire,Gilman et al (2022),40,Carcharhinus obscurus,,,,,,,,,
"NMFS. 2021b. Hawaii Pelagic Longline Observer Program Database. Pacific Islands Regional Office, National Marine Fisheries Service, Honolulu.",Carcharhinidae,Carcharhinus,5,1,2047,other,j,wire,Gilman et al (2022),6,Carcharhinus galapagensis,,,,,,,,,
"NMFS. 2021b. Hawaii Pelagic Longline Observer Program Database. Pacific Islands Regional Office, National Marine Fisheries Service, Honolulu.",Carcharhinidae,Carcharhinus,16,2,2047,other,j,wire,Gilman et al (2022),18,Carcharhinus amblyrhynchos,,,,,,,,,
"NMFS. 2021b. Hawaii Pelagic Longline Observer Program Database. Pacific Islands Regional Office, National Marine Fisheries Service, Honolulu.",Lamnidae,Isurus,37,24,2047,other,j,wire,Gilman et al (2022),61,Isurus paucus,,,,,,,,,
"NMFS. 2021b. Hawaii Pelagic Longline Observer Program Database. Pacific Islands Regional Office, National Marine Fisheries Service, Honolulu.",Carcharhinidae,Carcharhinus,879,372,2047,other,j,wire,Gilman et al (2022),1251,Carcharhinus longimanus,,,,,,,,,
"NMFS. 2021b. Hawaii Pelagic Longline Observer Program Database. Pacific Islands Regional Office, National Marine Fisheries Service, Honolulu.",Alopiidae,Alopias,142,102,2047,other,j,wire,Gilman et al (2022),244,Alopias pelagicus,,,,,,,,,
"NMFS. 2021b. Hawaii Pelagic Longline Observer Program Database. Pacific Islands Regional Office, National Marine Fisheries Service, Honolulu.",Lamnidae,Lamna,6,10,2047,other,j,wire,Gilman et al (2022),16,Lamna ditropis,,,,,,,,,
"NMFS. 2021b. Hawaii Pelagic Longline Observer Program Database. Pacific Islands Regional Office, National Marine Fisheries Service, Honolulu.",Carcharhinidae,Carcharhinus,12,1,2047,other,j,wire,Gilman et al (2022),13,Carcharhinus plumbeus,,,,,,,,,
"NMFS. 2021b. Hawaii Pelagic Longline Observer Program Database. Pacific Islands Regional Office, National Marine Fisheries Service, Honolulu.",Sphyrnidae,Sphyrna,8,6,2047,other,j,wire,Gilman et al (2022),14,Sphyrna lewini,,,,,,,,,
"NMFS. 2021b. Hawaii Pelagic Longline Observer Program Database. Pacific Islands Regional Office, National Marine Fisheries Service, Honolulu.",Lamnidae,Isurus,369,72,2047,other,j,wire,Gilman et al (2022),441,Isurus oxyrinchus,,,,,,,,,
"NMFS. 2021b. Hawaii Pelagic Longline Observer Program Database. Pacific Islands Regional Office, National Marine Fisheries Service, Honolulu.",Carcharhinidae,Carcharhinus,583,372,2047,other,j,wire,Gilman et al (2022),955,Carcharhinus falciformis,,,,,,,,,
"NMFS. 2021b. Hawaii Pelagic Longline Observer Program Database. Pacific Islands Regional Office, National Marine Fisheries Service, Honolulu.",Sphyrnidae,Sphyrna,8,2,2047,other,j,wire,Gilman et al (2022),10,Sphyrna zygaena,,,,,,,,,
"NMFS. 2021b. Hawaii Pelagic Longline Observer Program Database. Pacific Islands Regional Office, National Marine Fisheries Service, Honolulu.",Carcharhinidae,Galeocerdo,9,3,2047,other,j,wire,Gilman et al (2022),12,Galeocerdo cuvier,,,,,,,,,
"NMFS. 2021b. Hawaii Pelagic Longline Observer Program Database. Pacific Islands Regional Office, National Marine Fisheries Service, Honolulu.",Somniosidae,Scymnodon,42,22,2047,other,j,wire,Gilman et al (2022),64,Scymnodon ichiharai,,,,,,,,,
"NMFS. 2021b. Hawaii Pelagic Longline Observer Program Database. Pacific Islands Regional Office, National Marine Fisheries Service, Honolulu.",Alopiidae,Alopias,8,0,857,squid,j,mono,Gilman et al (2022),8,Alopias superciliosus,,,,,,,,,
"NMFS. 2021b. Hawaii Pelagic Longline Observer Program Database. Pacific Islands Regional Office, National Marine Fisheries Service, Honolulu.",Carcharhinidae,Prionace,473,33,857,squid,j,mono,Gilman et al (2022),506,Prionace glauca,,,,,,,,,
"NMFS. 2021b. Hawaii Pelagic Longline Observer Program Database. Pacific Islands Regional Office, National Marine Fisheries Service, Honolulu.",Pseudocarchariidae,Pseudocarcharias,0,1,857,squid,j,mono,Gilman et al (2022),1,Pseudocarcharias kamoharai,,,,,,,,,
"NMFS. 2021b. Hawaii Pelagic Longline Observer Program Database. Pacific Islands Regional Office, National Marine Fisheries Service, Honolulu.",Carcharhinidae,Carcharhinus,17,3,857,squid,j,mono,Gilman et al (2022),20,Carcharhinus longimanus,,,,,,,,,
"NMFS. 2021b. Hawaii Pelagic Longline Observer Program Database. Pacific Islands Regional Office, National Marine Fisheries Service, Honolulu.",Lamnidae,Isurus,1,0,857,squid,j,mono,Gilman et al (2022),1,Isurus oxyrinchus,,,,,,,,,
"NMFS. 2021b. Hawaii Pelagic Longline Observer Program Database. Pacific Islands Regional Office, National Marine Fisheries Service, Honolulu.",Carcharhinidae,Carcharhinus,2,0,857,squid,j,mono,Gilman et al (2022),2,Carcharhinus falciformis,,,,,,,,,
"NMFS. 2021b. Hawaii Pelagic Longline Observer Program Database. Pacific Islands Regional Office, National Marine Fisheries Service, Honolulu.",Sphyrnidae,Sphyrna,1,0,857,squid,j,mono,Gilman et al (2022),1,Sphyrna zygaena,,,,,,,,,
"NMFS. 2021b. Hawaii Pelagic Longline Observer Program Database. Pacific Islands Regional Office, National Marine Fisheries Service, Honolulu.",Somniosidae,Scymnodon,1,0,857,squid,j,mono,Gilman et al (2022),1,Scymnodon ichiharai,,,,,,,,,
"NMFS. 2021b. Hawaii Pelagic Longline Observer Program Database. Pacific Islands Regional Office, National Marine Fisheries Service, Honolulu.",Alopiidae,Alopias,3,3,1664,squid,j,wire,Gilman et al (2022),6,Alopias superciliosus,,,,,,,,,
"NMFS. 2021b. Hawaii Pelagic Longline Observer Program Database. Pacific Islands Regional Office, National Marine Fisheries Service, Honolulu.",Carcharhinidae,Prionace,44,0,1664,squid,j,wire,Gilman et al (2022),44,Prionace glauca,,,,,,,,,
"NMFS. 2021b. Hawaii Pelagic Longline Observer Program Database. Pacific Islands Regional Office, National Marine Fisheries Service, Honolulu.",Pseudocarchariidae,Pseudocarcharias,3,0,1664,squid,j,wire,Gilman et al (2022),3,Pseudocarcharias kamoharai,,,,,,,,,
"NMFS. 2021b. Hawaii Pelagic Longline Observer Program Database. Pacific Islands Regional Office, National Marine Fisheries Service, Honolulu.",Carcharhinidae,Carcharhinus,3,0,1664,squid,j,wire,Gilman et al (2022),3,Carcharhinus longimanus,,,,,,,,,
"NMFS. 2021b. Hawaii Pelagic Longline Observer Program Database. Pacific Islands Regional Office, National Marine Fisheries Service, Honolulu.",Carcharhinidae,Carcharhinus,4,0,1664,squid,j,wire,Gilman et al (2022),4,Carcharhinus falciformis,,,,,,,,,
"NMFS. 2021b. Hawaii Pelagic Longline Observer Program Database. Pacific Islands Regional Office, National Marine Fisheries Service, Honolulu.",Alopiidae,Alopias,22,1,1653,fish,other,mono,Gilman et al (2022),23,Alopias superciliosus,,,,,,,,,
"NMFS. 2021b. Hawaii Pelagic Longline Observer Program Database. Pacific Islands Regional Office, National Marine Fisheries Service, Honolulu.",Carcharhinidae,Prionace,27,3,1653,fish,other,mono,Gilman et al (2022),30,Prionace glauca,,,,,,,,,
"NMFS. 2021b. Hawaii Pelagic Longline Observer Program Database. Pacific Islands Regional Office, National Marine Fisheries Service, Honolulu.",Carcharhinidae,Carcharhinus,0,1,1653,fish,other,mono,Gilman et al (2022),1,Carcharhinus longimanus,,,,,,,,,
"NMFS. 2021b. Hawaii Pelagic Longline Observer Program Database. Pacific Islands Regional Office, National Marine Fisheries Service, Honolulu.",Lamnidae,Isurus,2,2,1653,fish,other,mono,Gilman et al (2022),4,Isurus oxyrinchus,,,,,,,,,
"NMFS. 2021b. Hawaii Pelagic Longline Observer Program Database. Pacific Islands Regional Office, National Marine Fisheries Service, Honolulu.",Alopiidae,Alopias,2,0,1950,fish,other,other,Gilman et al (2022),2,Alopias superciliosus,,,,,,,,,
"NMFS. 2021b. Hawaii Pelagic Longline Observer Program Database. Pacific Islands Regional Office, National Marine Fisheries Service, Honolulu.",Carcharhinidae,Prionace,133,14,1950,fish,other,other,Gilman et al (2022),147,Prionace glauca,,,,,,,,,
"NMFS. 2021b. Hawaii Pelagic Longline Observer Program Database. Pacific Islands Regional Office, National Marine Fisheries Service, Honolulu.",Carcharhinidae,Carcharhinus,0,1,1950,fish,other,other,Gilman et al (2022),1,Carcharhinus longimanus,,,,,,,,,
"NMFS. 2021b. Hawaii Pelagic Longline Observer Program Database. Pacific Islands Regional Office, National Marine Fisheries Service, Honolulu.",Lamnidae,Lamna,1,0,1950,fish,other,other,Gilman et al (2022),1,Lamna ditropis,,,,,,,,,
"NMFS. 2021b. Hawaii Pelagic Longline Observer Program Database. Pacific Islands Regional Office, National Marine Fisheries Service, Honolulu.",Lamnidae,Isurus,1,0,1950,fish,other,other,Gilman et al (2022),1,Isurus oxyrinchus,,,,,,,,,
"NMFS. 2021b. Hawaii Pelagic Longline Observer Program Database. Pacific Islands Regional Office, National Marine Fisheries Service, Honolulu.",Somniosidae,Scymnodon,1,0,1950,fish,other,other,Gilman et al (2022),1,Scymnodon ichiharai,,,,,,,,,
"NMFS. 2021b. Hawaii Pelagic Longline Observer Program Database. Pacific Islands Regional Office, National Marine Fisheries Service, Honolulu.",Alopiidae,Alopias,10,2,2032,fish,other,wire,Gilman et al (2022),12,Alopias superciliosus,,,,,,,,,
"NMFS. 2021b. Hawaii Pelagic Longline Observer Program Database. Pacific Islands Regional Office, National Marine Fisheries Service, Honolulu.",Carcharhinidae,Prionace,164,2,2032,fish,other,wire,Gilman et al (2022),166,Prionace glauca,,,,,,,,,
"NMFS. 2021b. Hawaii Pelagic Longline Observer Program Database. Pacific Islands Regional Office, National Marine Fisheries Service, Honolulu.",Pseudocarchariidae,Pseudocarcharias,1,0,2032,fish,other,wire,Gilman et al (2022),1,Pseudocarcharias kamoharai,,,,,,,,,
"NMFS. 2021b. Hawaii Pelagic Longline Observer Program Database. Pacific Islands Regional Office, National Marine Fisheries Service, Honolulu.",Carcharhinidae,Carcharhinus,6,1,2032,fish,other,wire,Gilman et al (2022),7,Carcharhinus longimanus,,,,,,,,,
"NMFS. 2021b. Hawaii Pelagic Longline Observer Program Database. Pacific Islands Regional Office, National Marine Fisheries Service, Honolulu.",Lamnidae,Isurus,2,0,2032,fish,other,wire,Gilman et al (2022),2,Isurus oxyrinchus,,,,,,,,,
"NMFS. 2021b. Hawaii Pelagic Longline Observer Program Database. Pacific Islands Regional Office, National Marine Fisheries Service, Honolulu.",Carcharhinidae,Carcharhinus,1,0,2032,fish,other,wire,Gilman et al (2022),1,Carcharhinus falciformis,,,,,,,,,
"NMFS. 2021b. Hawaii Pelagic Longline Observer Program Database. Pacific Islands Regional Office, National Marine Fisheries Service, Honolulu.",Alopiidae,Alopias,1,0,2522,other,other,mono,Gilman et al (2022),1,Alopias superciliosus,,,,,,,,,
"NMFS. 2021b. Hawaii Pelagic Longline Observer Program Database. Pacific Islands Regional Office, National Marine Fisheries Service, Honolulu.",Carcharhinidae,Prionace,46,1,2522,other,other,mono,Gilman et al (2022),47,Prionace glauca,,,,,,,,,
"NMFS. 2021b. Hawaii Pelagic Longline Observer Program Database. Pacific Islands Regional Office, National Marine Fisheries Service, Honolulu.",Lamnidae,Isurus,1,0,2522,other,other,mono,Gilman et al (2022),1,Isurus paucus,,,,,,,,,
"NMFS. 2021b. Hawaii Pelagic Longline Observer Program Database. Pacific Islands Regional Office, National Marine Fisheries Service, Honolulu.",Carcharhinidae,Carcharhinus,1,0,2522,other,other,mono,Gilman et al (2022),1,Carcharhinus longimanus,,,,,,,,,
"NMFS. 2021b. Hawaii Pelagic Longline Observer Program Database. Pacific Islands Regional Office, National Marine Fisheries Service, Honolulu.",Alopiidae,Alopias,1,1,2274,other,other,wire,Gilman et al (2022),2,Alopias superciliosus,,,,,,,,,
"NMFS. 2021b. Hawaii Pelagic Longline Observer Program Database. Pacific Islands Regional Office, National Marine Fisheries Service, Honolulu.",Carcharhinidae,Prionace,191,9,2274,other,other,wire,Gilman et al (2022),200,Prionace glauca,,,,,,,,,
"NMFS. 2021b. Hawaii Pelagic Longline Observer Program Database. Pacific Islands Regional Office, National Marine Fisheries Service, Honolulu.",Carcharhinidae,Carcharhinus,3,0,2274,other,other,wire,Gilman et al (2022),3,Carcharhinus longimanus,,,,,,,,,
"NMFS. 2021b. Hawaii Pelagic Longline Observer Program Database. Pacific Islands Regional Office, National Marine Fisheries Service, Honolulu.",Carcharhinidae,Carcharhinus,1,0,2274,other,other,wire,Gilman et al (2022),1,Carcharhinus falciformis,,,,,,,,,
"NMFS. 2021b. Hawaii Pelagic Longline Observer Program Database. Pacific Islands Regional Office, National Marine Fisheries Service, Honolulu.",Somniosidae,Scymnodon,0,1,2274,other,other,wire,Gilman et al (2022),1,Scymnodon ichiharai,,,,,,,,,
"Yokota K, Kiyota M, Minami H (2006) Shark catch in a pelagic longline fishery: Comparison of circle and tuna hooks. Fisheries Research 81:337â€“341. https://doi.org/10.1016/j.fishres.2006.08.006",Carcharhinidae,Prionace,260,7,900,squid,j,wire,Gilman et al (2022),267,Prionace glauca,,,,,,,,,
"Yokota K, Kiyota M, Minami H (2006) Shark catch in a pelagic longline fishery: Comparison of circle and tuna hooks. Fisheries Research 81:337â€“341. https://doi.org/10.1016/j.fishres.2006.08.006",Lamnidae,Isurus,2,1,900,squid,j,wire,Gilman et al (2022),3,Isurus oxyrinchus,,,,,,,,,
"Yokota K, Kiyota M, Minami H (2006) Shark catch in a pelagic longline fishery: Comparison of circle and tuna hooks. Fisheries Research 81:337â€“341. https://doi.org/10.1016/j.fishres.2006.08.006",Lamnidae,Isurus,1,0,900,squid,j,wire,Gilman et al (2022),1,Isurus paucus,,,,,,,,,
"Yokota K, Kiyota M, Minami H (2006) Shark catch in a pelagic longline fishery: Comparison of circle and tuna hooks. Fisheries Research 81:337â€“341. https://doi.org/10.1016/j.fishres.2006.08.006",Alopiidae,Alopias,0,1,900,squid,j,wire,Gilman et al (2022),1,Alopias vulpinus,,,,,,,,,
"Yokota K, Kiyota M, Minami H (2006) Shark catch in a pelagic longline fishery: Comparison of circle and tuna hooks. Fisheries Research 81:337â€“341. https://doi.org/10.1016/j.fishres.2006.08.006",Alopiidae,Alopias,2,0,900,squid,j,wire,Gilman et al (2022),2,Alopias superciliosus,,,,,,,,,
"Yokota K, Kiyota M, Minami H (2006) Shark catch in a pelagic longline fishery: Comparison of circle and tuna hooks. Fisheries Research 81:337â€“341. https://doi.org/10.1016/j.fishres.2006.08.006",Carcharhinidae,Prionace,471,17,900,squid,c,wire,Gilman et al (2022),488,Prionace glauca,,,,,,,,,
"Yokota K, Kiyota M, Minami H (2006) Shark catch in a pelagic longline fishery: Comparison of circle and tuna hooks. Fisheries Research 81:337â€“341. https://doi.org/10.1016/j.fishres.2006.08.006",Lamnidae,Isurus,8,0,900,squid,c,wire,Gilman et al (2022),8,Isurus oxyrinchus,,,,,,,,,
"Yokota K, Kiyota M, Minami H (2006) Shark catch in a pelagic longline fishery: Comparison of circle and tuna hooks. Fisheries Research 81:337â€“341. https://doi.org/10.1016/j.fishres.2006.08.006",Lamnidae,Isurus,2,0,900,squid,c,wire,Gilman et al (2022),2,Isurus paucus,,,,,,,,,
"Yokota K, Kiyota M, Minami H (2006) Shark catch in a pelagic longline fishery: Comparison of circle and tuna hooks. Fisheries Research 81:337â€“341. https://doi.org/10.1016/j.fishres.2006.08.006",Alopiidae,Alopias,1,0,900,squid,c,wire,Gilman et al (2022),1,Alopias vulpinus,,,,,,,,,
"Yokota K, Kiyota M, Minami H (2006) Shark catch in a pelagic longline fishery: Comparison of circle and tuna hooks. Fisheries Research 81:337â€“341. https://doi.org/10.1016/j.fishres.2006.08.006",Alopiidae,Alopias,0,1,900,squid,c,wire,Gilman et al (2022),1,Alopias superciliosus,,,,,,,,,
"Yokota K, Kiyota M, Minami H (2006) Shark catch in a pelagic longline fishery: Comparison of circle and tuna hooks. Fisheries Research 81:337â€“341. https://doi.org/10.1016/j.fishres.2006.08.006",Carcharhinidae,Carcharhinus,1,0,900,squid,c,wire,Gilman et al (2022),1,Carcharhinus longimanus,,,,,,,,,
"Yokota K, Kiyota M, Minami H (2006) Shark catch in a pelagic longline fishery: Comparison of circle and tuna hooks. Fisheries Research 81:337â€“341. https://doi.org/10.1016/j.fishres.2006.08.006",Carcharhinidae,Carcharhinus,2,0,900,squid,c,wire,Gilman et al (2022),2,Carcharhinus falciformis,,,,,,,,,
"Yokota K, Kiyota M, Minami H (2006) Shark catch in a pelagic longline fishery: Comparison of circle and tuna hooks. Fisheries Research 81:337â€“341. https://doi.org/10.1016/j.fishres.2006.08.006",Carcharhinidae,Prionace,706,77,960,squid,j,mono,Gilman et al (2022),783,Prionace glauca,,,,,,,,,
"Yokota K, Kiyota M, Minami H (2006) Shark catch in a pelagic longline fishery: Comparison of circle and tuna hooks. Fisheries Research 81:337â€“341. https://doi.org/10.1016/j.fishres.2006.08.006",Lamnidae,Lamna,2,1,960,squid,j,mono,Gilman et al (2022),3,Lamna ditropis,,,,,,,,,
"Yokota K, Kiyota M, Minami H (2006) Shark catch in a pelagic longline fishery: Comparison of circle and tuna hooks. Fisheries Research 81:337â€“341. https://doi.org/10.1016/j.fishres.2006.08.006",Lamnidae,Isurus,4,2,960,squid,j,mono,Gilman et al (2022),6,Isurus oxyrinchus,,,,,,,,,
"Yokota K, Kiyota M, Minami H (2006) Shark catch in a pelagic longline fishery: Comparison of circle and tuna hooks. Fisheries Research 81:337â€“341. https://doi.org/10.1016/j.fishres.2006.08.006",Alopiidae,Alopias,0,1,960,squid,j,mono,Gilman et al (2022),1,Alopias vulpinus,,,,,,,,,
"Yokota K, Kiyota M, Minami H (2006) Shark catch in a pelagic longline fishery: Comparison of circle and tuna hooks. Fisheries Research 81:337â€“341. https://doi.org/10.1016/j.fishres.2006.08.006",Carcharhinidae,Prionace,1619,196,960,squid,c,mono,Gilman et al (2022),1815,Prionace glauca,,,,,,,,,
"Yokota K, Kiyota M, Minami H (2006) Shark catch in a pelagic longline fishery: Comparison of circle and tuna hooks. Fisheries Research 81:337â€“341. https://doi.org/10.1016/j.fishres.2006.08.006",Lamnidae,Lamna,2,3,960,squid,c,mono,Gilman et al (2022),5,Lamna ditropis,,,,,,,,,
"Coelho R, Infante P, Santos MN (2013) Application of Generalized Linear Models and Generalized Estimation Equations to model at-haulback mortality of blue sharks captured in a pelagic longline fishery in the Atlantic Ocean. Fisheries Research 145:66-75.",Carcharhinidae,Prionace,21639,3319,1319,other,j,other,Gilman et al (2022),24958,Prionace glauca,,,,,,,,,
"Coelho R, Rosa D, Lino PG (2017) Fishery indicators for the shortfin mako shark (Isurus oxyrinchus) caught by the Portuguese pelagic longline fishery in the Atlantic: nominal CPUEs, catch-at-size and at-haulback mortality. ICCAT Collect Vol Sci Papers 73: 2911-2913.",Lamnidae,Isurus,1023,590,1319,other,j,other,Gilman et al (2022),1613,Isurus oxyrinchus,,,,,,,,,
"Coelho, R. 2020. EU-Portugal National Report to the Scientific Committee of the Indian Ocean Tuna Commission, 2020. IOTC-2020-SC23-NR04_Rev1-Annex 3. Indian Ocean Tuna Commission, Mahe, Seychelles.",Carcharhinidae,Prionace,4,37,1425,squid,j,wire,Gilman et al (2022),41,Prionace glauca,,,,,,,,,
"Coelho, R. 2020. EU-Portugal National Report to the Scientific Committee of the Indian Ocean Tuna Commission, 2020. IOTC-2020-SC23-NR04_Rev1-Annex 3. Indian Ocean Tuna Commission, Mahe, Seychelles.",Alopiidae,Alopias,12,12,1425,squid,j,wire,Gilman et al (2022),24,Alopias superciliosus,,,,,,,,,
"Coelho, R. 2020. EU-Portugal National Report to the Scientific Committee of the Indian Ocean Tuna Commission, 2020. IOTC-2020-SC23-NR04_Rev1-Annex 3. Indian Ocean Tuna Commission, Mahe, Seychelles.",Carcharhinidae,Carcharhinus,7,35,1425,squid,j,wire,Gilman et al (2022),42,Carcharhinus falciformis,,,,,,,,,
"Coelho, R. 2020. EU-Portugal National Report to the Scientific Committee of the Indian Ocean Tuna Commission, 2020. IOTC-2020-SC23-NR04_Rev1-Annex 3. Indian Ocean Tuna Commission, Mahe, Seychelles.",Lamnidae,Lamna,3,59,1425,squid,j,wire,Gilman et al (2022),62,Lamna nasus,,,,,,,,,
"Coelho, R. 2020. EU-Portugal National Report to the Scientific Committee of the Indian Ocean Tuna Commission, 2020. IOTC-2020-SC23-NR04_Rev1-Annex 3. Indian Ocean Tuna Commission, Mahe, Seychelles.",Pseudocarchariidae,Pseudocarcharias,4,2,1425,squid,j,wire,Gilman et al (2022),6,Pseudocarcharias kamoharai,,,,,,,,,
"Coelho, R. 2020. EU-Portugal National Report to the Scientific Committee of the Indian Ocean Tuna Commission, 2020. IOTC-2020-SC23-NR04_Rev1-Annex 3. Indian Ocean Tuna Commission, Mahe, Seychelles.",Lamnidae,Isurus,2,11,1425,squid,j,wire,Gilman et al (2022),13,Isurus oxyrinchus,,,,,,,,,
"Coelho, R. 2020. EU-Portugal National Report to the Scientific Committee of the Indian Ocean Tuna Commission, 2020. IOTC-2020-SC23-NR04_Rev1-Annex 3. Indian Ocean Tuna Commission, Mahe, Seychelles.",Sphyrnidae,Sphyrna,0,1,1425,squid,j,wire,Gilman et al (2022),1,Sphyrna zygaena,,,,,,,,,
"Santos MN, Lino PG, Coelho R (2017) Effects of leader material on catches of shallow pelagic longline fisheries in the southwest Indian Ocean. Fishery Bulletin 115:219-232.",Carcharhinidae,Prionace,598,169,1008,squid,j,other,Gilman et al (2022),767,Prionace glauca,,,,,,,,,
"Santos MN, Lino PG, Coelho R (2017) Effects of leader material on catches of shallow pelagic longline fisheries in the southwest Indian Ocean. Fishery Bulletin 115:219-232.",Alopiidae,Alopias,6,4,1008,squid,j,other,Gilman et al (2022),10,Alopias superciliosus,,,,,,,,,
"Santos MN, Lino PG, Coelho R (2017) Effects of leader material on catches of shallow pelagic longline fisheries in the southwest Indian Ocean. Fishery Bulletin 115:219-232.",Carcharhinidae,Carcharhinus,8,0,1008,squid,j,other,Gilman et al (2022),8,Carcharhinus longimanus,,,,,,,,,
"Santos MN, Lino PG, Coelho R (2017) Effects of leader material on catches of shallow pelagic longline fisheries in the southwest Indian Ocean. Fishery Bulletin 115:219-232.",Lamnidae,Lamna,2,0,1008,squid,j,wire,Gilman et al (2022),2,Lamna nasus,,,,,,,,,
"Santos MN, Lino PG, Coelho R (2017) Effects of leader material on catches of shallow pelagic longline fisheries in the southwest Indian Ocean. Fishery Bulletin 115:219-232.",Pseudocarchariidae,Pseudocarcharias,1,0,1008,squid,j,wire,Gilman et al (2022),1,Pseudocarcharias kamoharai,,,,,,,,,
"Santos MN, Lino PG, Coelho R (2017) Effects of leader material on catches of shallow pelagic longline fisheries in the southwest Indian Ocean. Fishery Bulletin 115:219-232.",Lamnidae,Isurus,26,0,1008,squid,j,other,Gilman et al (2022),26,Isurus oxyrinchus,,,,,,,,,
"Santos MN, Lino PG, Coelho R (2017) Effects of leader material on catches of shallow pelagic longline fisheries in the southwest Indian Ocean. Fishery Bulletin 115:219-232.",Sphyrnidae,Sphyrna,0,4,1008,squid,j,wire,Gilman et al (2022),4,Sphyrna zygaena,,,,,,,,,
"Kerstetter DW, Graves JE (2006) Effects of circle versus J-style hooks on target and non-target species in a pelagic longline fishery. Fisheries Research 80:239-250.",Carcharhinidae,Prionace,24,2,750,squid,c,other,Gilman et al (2022),26,Prionace glauca,,,,,,,,,
"Kerstetter DW, Graves JE (2006) Effects of circle versus J-style hooks on target and non-target species in a pelagic longline fishery. Fisheries Research 80:239-250.",Carcharhinidae,Prionace,28,8,750,squid,j,other,Gilman et al (2022),36,Prionace glauca,,,,,,,,,
"Kerstetter, D., Pacheco, J., Hazin, F., Travassos, P., Graves, J. 2007. Preliminary results of circle and J-style hook comparisons in the Brazilian pelagic longline fishery. Col. Vol. Sci. Pap. ICCAT 60: 2140-2147.",Carcharhinidae,Carcharhinus,8,44,639,other,c,mono,Gilman et al (2022),52,Carcharhinus signatus,,,,,,,,,
"Kerstetter, D., Pacheco, J., Hazin, F., Travassos, P., Graves, J. 2007. Preliminary results of circle and J-style hook comparisons in the Brazilian pelagic longline fishery. Col. Vol. Sci. Pap. ICCAT 60: 2140-2147.",Carcharhinidae,Prionace,29,5,639,other,c,mono,Gilman et al (2022),34,Prionace glauca,,,,,,,,,
"Kerstetter, D., Pacheco, J., Hazin, F., Travassos, P., Graves, J. 2007. Preliminary results of circle and J-style hook comparisons in the Brazilian pelagic longline fishery. Col. Vol. Sci. Pap. ICCAT 60: 2140-2147.",Carcharhinidae,Carcharhinus,9,23,639,other,j,mono,Gilman et al (2022),32,Carcharhinus signatus,,,,,,,,,
"Kerstetter, D., Pacheco, J., Hazin, F., Travassos, P., Graves, J. 2007. Preliminary results of circle and J-style hook comparisons in the Brazilian pelagic longline fishery. Col. Vol. Sci. Pap. ICCAT 60: 2140-2147.",Carcharhinidae,Prionace,24,5,639,other,j,mono,Gilman et al (2022),29,Prionace glauca,,,,,,,,,
"Pacheco, J., Kerstetter, D., Hazin, F., Hazin, H., Segundo, R., Graves, J., Carvalho, F., Travassos, P. 2011. A comparison of circle hook and J hook performance in a western equatorial Atlantic Ocean pelagic longline fishery. Fisheries Research 107: 39-45.",Carcharhinidae,Prionace,1,33,619,squid,c,mono,Gilman et al (2022),34,Prionace glauca,,,,,,,,,
"Pacheco, J., Kerstetter, D., Hazin, F., Hazin, H., Segundo, R., Graves, J., Carvalho, F., Travassos, P. 2011. A comparison of circle hook and J hook performance in a western equatorial Atlantic Ocean pelagic longline fishery. Fisheries Research 107: 39-45.",Pseudocarchariidae,Pseudocarcharias,2,15,619,squid,c,mono,Gilman et al (2022),17,Pseudocarcharias kamoharai,,,,,,,,,
