scientific_name,evol_dist,family,group
Trigonognathus kabeyai,146.74290151546876,Etmopteridae,Sharks
Etmopterus sheikoi,89.51177250136719,Etmopteridae,Sharks
Etmopterus decacuspidatus,18.25552340358545,Etmopteridae,Sharks
Etmopterus brachyurus,18.255524403585447,Etmopteridae,Sharks
Etmopterus molleri,30.306252101170898,Etmopteridae,Sharks
Etmopterus dislineatus,41.599622445341794,Etmopteridae,Sharks
Etmopterus lucifer,62.551197870683595,Etmopteridae,Sharks
Etmopterus joungi,42.97344125364795,Etmopteridae,Sharks
Etmopterus splendidus,42.053927473647946,Etmopteridae,Sharks
Etmopterus fusus,22.737188292823973,Etmopteridae,Sharks
Etmopterus perryi,22.737188292823973,Etmopteridae,Sharks
Etmopterus evansi,21.806423959847947,Etmopteridae,Sharks
Etmopterus sentosus,21.80642495984795,Etmopteridae,Sharks
Etmopterus hillianus,59.211377705295895,Etmopteridae,Sharks
Etmopterus robinsi,59.211377705295895,Etmopteridae,Sharks
Etmopterus pusillus,52.238358550795894,Etmopteridae,Sharks
Etmopterus bigelowi,52.238358550795894,Etmopteridae,Sharks
Etmopterus unicolor,36.06175247,Etmopteridae,Sharks
Etmopterus princeps,16.517383740323975,Etmopteridae,Sharks
Etmopterus spinax,16.517383740323975,Etmopteridae,Sharks
Etmopterus granulosus,24.90428531864795,Etmopteridae,Sharks
Etmopterus dianthus,56.400034776591795,Etmopteridae,Sharks
Etmopterus schultzi,64.31843869,Etmopteridae,Sharks
Etmopterus pycnolepis,41.594865428698974,Etmopteridae,Sharks
Etmopterus polli,35.72086069434949,Etmopteridae,Sharks
Etmopterus virens,41.52475771419898,Etmopteridae,Sharks
Etmopterus sculptus,27.874870902099488,Etmopteridae,Sharks
Etmopterus viator,27.874870902099488,Etmopteridae,Sharks
Etmopterus compagnoi,48.74198007032449,Etmopteridae,Sharks
Etmopterus bullisi,55.088224621648976,Etmopteridae,Sharks
Etmopterus burgessi,31.108539500948975,Etmopteridae,Sharks
Etmopterus litvinovi,31.108539500948975,Etmopteridae,Sharks
Etmopterus gracilispinis,64.13175795,Etmopteridae,Sharks
Heterodontus francisci,192.2827923,Heterodontidae,Sharks
Heterodontus quoyi,42.50216323,Heterodontidae,Sharks
Heterodontus omanensis,42.50216323,Heterodontidae,Sharks
Heterodontus zebra,34.39397656,Heterodontidae,Sharks
Heterodontus ramalheira,22.86654857838125,Heterodontidae,Sharks
Heterodontus portusjacksoni,22.86654857838125,Heterodontidae,Sharks
Heterodontus galeatus,47.60103245,Heterodontidae,Sharks
Heterodontus mexicanus,66.55069184,Heterodontidae,Sharks
Heterodontus japonicus,66.55069184,Heterodontidae,Sharks
Parascyllium ferrugineum,39.63998022,Parascylliidae,Sharks
Parascyllium sparsimaculatum,70.33113539,Parascylliidae,Sharks
Parascyllium collare,67.8727708,Parascylliidae,Sharks
Parascyllium variolatum,67.8727708,Parascylliidae,Sharks
Cirrhoscyllium expolitum,101.99617811374999,Parascylliidae,Sharks
Cirrhoscyllium japonicum,63.18149201,Parascylliidae,Sharks
Cirrhoscyllium formosanum,63.18149201,Parascylliidae,Sharks
Brachaelurus colcloughi,130.4707202,Brachaeluridae,Sharks
Brachaelurus waddi,130.4707202,Brachaeluridae,Sharks
Eucrossorhinus dasypogon,124.9920443,Orectolobidae,Sharks
Orectolobus maculatus,24.397623432078124,Orectolobidae,Sharks
Orectolobus leptolineatus,13.105086166039062,Orectolobidae,Sharks
Orectolobus wardi,13.105086166039062,Orectolobidae,Sharks
Orectolobus parvimaculatus,26.928632576078122,Orectolobidae,Sharks
Orectolobus hutchinsi,9.446624181,Orectolobidae,Sharks
Orectolobus reticulatus,9.446623180769532,Orectolobidae,Sharks
Orectolobus japonicus,17.11081545753906,Orectolobidae,Sharks
Sutorectus tentaculatus,23.933683576078124,Orectolobidae,Sharks
Orectolobus floridus,23.933683576078124,Orectolobidae,Sharks
Orectolobus halei,22.513389091578127,Orectolobidae,Sharks
Orectolobus ornatus,22.513389091578127,Orectolobidae,Sharks
Rhincodon typus,89.96747081,Rhincodontidae,Sharks
