scientific_name,estimate,family,habitat,max_size_cm,ventilation_method,reproductive_mode,median_depth,ac,order,source,genus,species
Centroselachus crepidater,,Somniosidae,demersal,105,stationary,lecithotrophic viviparity,1140,4.2579,Squaliformes,this study,Centroselachus,crepidater
Cirrhigaleus australis,,Squalidae,pelagic,123,stationary,lecithotrophic viviparity,500,8.3281,Squaliformes,this study,Cirrhigaleus,australis
Deania quadrispinosa,,Centrophoridae,demersal,118,stationary,lecithotrophic viviparity,755,6.4249,,this study,Deania,quadrispinosa
Echinorhinus cookei,,Echinorhinidae,pelagic,400,stationary,lecithotrophic viviparity,555.5,6.4253,Squaliformes,this study,Echinorhinus,cookei
Etmopterus dianthus,,Etmopteridae,pelagic,40.90000153,stationary,lecithotrophic viviparity,540,6.274288889,Squaliformes,this study,Etmopterus,dianthus
Etmopterus dislineatus,,Etmopteridae,pelagic,44.79999924,stationary,lecithotrophic viviparity,695,6.274288889,Squaliformes,this study,Etmopterus,dislineatus
Etmopterus unicolor,,Etmopteridae,demersal,79,stationary,lecithotrophic viviparity,810,1.4346,Squaliformes,this study,Etmopterus,unicolor
Eusphyra blochii,,Sphyrnidae,pelagic,186,ram,matrotrophic viviparity,68.5,14.364,Carcharhiniformes,this study,Eusphyra,blochii
Heterodontus zebra,,Heterodontidae,pelagic,125,stationary,lecithotrophic oviparity,100,8.7752,Heterodontiformes,this study,Heterodontus,zebra
Iago garricki,,Triakidae,demersal,75,ram,matrotrophic viviparity,362.5,8.5392,Carcharhiniformes,this study,Iago,garricki
Mustelus ravidus,,Triakidae,pelagic,68.30000305,ram,lecithotrophic viviparity,203,9.853114,,this study,Mustelus,ravidus
Mustelus stevensi,,Triakidae,pelagic,128.3000031,ram,lecithotrophic viviparity,402,10.731,,this study,Mustelus,stevensi
Mustelus walkeri,,Triakidae,demersal,111.6,ram,lecithotrophic viviparity,227.5,4.9951,,this study,Mustelus,walkeri
Orectolobus floridus,,Orectolobidae,pelagic,75,stationary,lecithotrophic viviparity,63.5,5.913222222,Orectolobiformes,this study,Orectolobus,floridus
Orectolobus hutchinsi,,Orectolobidae,demersal,149,stationary,lecithotrophic viviparity,55,5.6622,Orectolobiformes,this study,Orectolobus,hutchinsi
Orectolobus parvimaculatus,,Orectolobidae,demersal,88.5,stationary,lecithotrophic viviparity,72,5.913222222,Orectolobiformes,this study,Orectolobus,parvimaculatus
Orectolobus reticulatus,,Orectolobidae,pelagic,52.3,stationary,lecithotrophic viviparity,10,5.913222222,,this study,Orectolobus,reticulatus
Orectolobus wardi,,Orectolobidae,pelagic,63,stationary,lecithotrophic viviparity,2,5.913222222,,this study,Orectolobus,wardi
Pristiophorus delicatus,,Pristiophoridae,pelagic,84.5,stationary,lecithotrophic viviparity,325.5,5.9166,,this study,Pristiophorus,delicatus
Scymnodon plunketi,,Somniosidae,pelagic,170,stationary,lecithotrophic viviparity,865,3.9064,,this study,Scymnodon,plunketi
Rhizoprionodon taylori,,Carcharhinidae,pelagic,78.4,ram,matrotrophic viviparity,55,7.9872,Carcharhiniformes,this study,Rhizoprionodon,taylori
Scymnodalatias albicauda,,Somniosidae,pelagic,111,stationary,lecithotrophic viviparity,330,4.2579,,this study,Scymnodalatias,albicauda
Somniosus antarcticus,,Somniosidae,pelagic,438,stationary,lecithotrophic viviparity,817.5,1.9602,,this study,Somniosus,antarcticus
Squalus altipinnis,,Squalidae,pelagic,58.90000153,stationary,lecithotrophic viviparity,301.5,7.737926667,,this study,Squalus,altipinnis
Squalus chloroculus,,Squalidae,demersal,99,stationary,lecithotrophic viviparity,786.5,5.7216,Squaliformes,this study,Squalus,chloroculus
Squalus edmundsi,,Squalidae,pelagic,115,stationary,lecithotrophic viviparity,527,1.0252,Squaliformes,this study,Squalus,edmundsi
Squalus grahami,,Squalidae,pelagic,73,stationary,lecithotrophic viviparity,326,7.6276,Squaliformes,this study,Squalus,grahami
Squalus montalbani,,Squalidae,demersal,101,stationary,lecithotrophic viviparity,762,5.524,Squaliformes,this study,Squalus,montalbani
Squalus nasutus,,Squalidae,pelagic,64,stationary,lecithotrophic viviparity,575,10.699,Squaliformes,this study,Squalus,nasutus
Squatina albipunctata,,Squatinidae,pelagic,98.5,stationary,lecithotrophic viviparity,226,7.0584,Squatiniformes,this study,Squatina,albipunctata
Squatina pseudocellata,,Squatinidae,pelagic,114,stationary,lecithotrophic viviparity,231,10.32279231,Squatiniformes,this study,Squatina,pseudocellata
