scientific_name,estimate,family,habitat,max_size_cm,ventilation_method,reproductive_mode,median_depth,ac,order,source,genus,species
Isurus oxyrinchus,0,Lamnidae,pelagic,445,ram,matrotrophic viviparity,375,13.922,Lamniformes,Gilman et al (2022),Isurus,oxyrinchus
Carcharhinus falciformis,0,Carcharhinidae,pelagic,350,ram,matrotrophic viviparity,250,10.089,Carcharhiniformes,Gilman et al (2022),Carcharhinus,falciformis
Cetorhinus maximus,1,Cetorhinidae,pelagic,1097.3,ram,matrotrophic viviparity,632,7.3075,,Gilman et al (2022),Cetorhinus,maximus
Alopias superciliosus,0.301369863,Alopiidae,pelagic,484,ram,matrotrophic viviparity,361.5,11.023,Lamniformes,Gilman et al (2022),Alopias,superciliosus
Carcharhinus altimus,0,Carcharhinidae,pelagic,300,ram,matrotrophic viviparity,405,17.283,Carcharhiniformes,Gilman et al (2022),Carcharhinus,altimus
Prionace glauca,0.165556217,Carcharhinidae,pelagic,383.5,ram,matrotrophic viviparity,500,8.6017,Carcharhiniformes,Gilman et al (2022),Prionace,glauca
Alopias vulpinus,0.333333333,Alopiidae,pelagic,573.3,ram,matrotrophic viviparity,325,8.7014,Lamniformes,Gilman et al (2022),Alopias,vulpinus
Isistius brasiliensis,0.642857143,Dalatiidae,pelagic,42,ram,lecithotrophic viviparity,1850,15.604,Squaliformes,Gilman et al (2022),Isistius,brasiliensis
Pseudocarcharias kamoharai,0.586956522,Pseudocarchariidae,pelagic,122,ram,matrotrophic viviparity,295,5.2458,Lamniformes,Gilman et al (2022),Pseudocarcharias,kamoharai
Carcharhinus obscurus,0,Carcharhinidae,pelagic,420,ram,matrotrophic viviparity,250,7.0963,Carcharhiniformes,Gilman et al (2022),Carcharhinus,obscurus
Carcharhinus galapagensis,0,Carcharhinidae,pelagic,300,ram,matrotrophic viviparity,143,7.0985,Carcharhiniformes,Gilman et al (2022),Carcharhinus,galapagensis
Carcharhinus longimanus,0.136792453,Carcharhinidae,pelagic,350,ram,matrotrophic viviparity,541,9.5821,Carcharhiniformes,Gilman et al (2022),Carcharhinus,longimanus
Alopias pelagicus,0.333333333,Alopiidae,pelagic,428,ram,matrotrophic viviparity,150,9.7281,Lamniformes,Gilman et al (2022),Alopias,pelagicus
Lamna ditropis,0.739130435,Lamnidae,pelagic,305,ram,matrotrophic viviparity,325,6.2338,Lamniformes,Gilman et al (2022),Lamna,ditropis
Carcharhinus plumbeus,0,Carcharhinidae,pelagic,243,ram,matrotrophic viviparity,140,15.327,Carcharhiniformes,Gilman et al (2022),Carcharhinus,plumbeus
Isurus oxyrinchus,0.369158879,Lamnidae,pelagic,445,ram,matrotrophic viviparity,375,13.922,Lamniformes,Gilman et al (2022),Isurus,oxyrinchus
Carcharhinus falciformis,0,Carcharhinidae,pelagic,350,ram,matrotrophic viviparity,250,10.089,Carcharhiniformes,Gilman et al (2022),Carcharhinus,falciformis
Galeocerdo cuvier,0,Carcharhinidae,pelagic,740,ram,matrotrophic viviparity,556,12.342,,Gilman et al (2022),Galeocerdo,cuvier
Scymnodon ichiharai,0,Somniosidae,pelagic,151.1,stationary,lecithotrophic viviparity,640,3.9064,,Gilman et al (2022),Scymnodon,ichiharai
Carcharodon carcharias,0.5,Lamnidae,pelagic,594.4,ram,matrotrophic viviparity,600,7.7326,Lamniformes,Gilman et al (2022),Carcharodon,carcharias
Alopias superciliosus,0.5,Alopiidae,pelagic,484,ram,matrotrophic viviparity,361.5,11.023,Lamniformes,Gilman et al (2022),Alopias,superciliosus
Prionace glauca,0,Carcharhinidae,pelagic,383.5,ram,matrotrophic viviparity,500,8.6017,Carcharhiniformes,Gilman et al (2022),Prionace,glauca
Carcharhinus longimanus,0.25,Carcharhinidae,pelagic,350,ram,matrotrophic viviparity,541,9.5821,Carcharhiniformes,Gilman et al (2022),Carcharhinus,longimanus
Odontaspis noronhai,0,Odontaspididae,pelagic,367,ram,matrotrophic viviparity,530,6.0088,Lamniformes,Gilman et al (2022),Odontaspis,noronhai
Alopias superciliosus,0.208103131,Alopiidae,pelagic,484,ram,matrotrophic viviparity,361.5,11.023,Lamniformes,Gilman et al (2022),Alopias,superciliosus
Prionace glauca,0.052419355,Carcharhinidae,pelagic,383.5,ram,matrotrophic viviparity,500,8.6017,Carcharhiniformes,Gilman et al (2022),Prionace,glauca
Alopias vulpinus,0,Alopiidae,pelagic,573.3,ram,matrotrophic viviparity,325,8.7014,Lamniformes,Gilman et al (2022),Alopias,vulpinus
Isistius brasiliensis,0.4,Dalatiidae,pelagic,42,ram,lecithotrophic viviparity,1850,15.604,Squaliformes,Gilman et al (2022),Isistius,brasiliensis
Pseudocarcharias kamoharai,0.095890411,Pseudocarchariidae,pelagic,122,ram,matrotrophic viviparity,295,5.2458,Lamniformes,Gilman et al (2022),Pseudocarcharias,kamoharai
Carcharhinus galapagensis,0,Carcharhinidae,pelagic,300,ram,matrotrophic viviparity,143,7.0985,Carcharhiniformes,Gilman et al (2022),Carcharhinus,galapagensis
Isurus paucus,0.45,Lamnidae,pelagic,427,ram,matrotrophic viviparity,876,10.319,Lamniformes,Gilman et al (2022),Isurus,paucus
Carcharhinus longimanus,0.245901639,Carcharhinidae,pelagic,350,ram,matrotrophic viviparity,541,9.5821,Carcharhiniformes,Gilman et al (2022),Carcharhinus,longimanus
Alopias pelagicus,0.363636364,Alopiidae,pelagic,428,ram,matrotrophic viviparity,150,9.7281,Lamniformes,Gilman et al (2022),Alopias,pelagicus
Carcharhinus plumbeus,0,Carcharhinidae,pelagic,243,ram,matrotrophic viviparity,140,15.327,Carcharhiniformes,Gilman et al (2022),Carcharhinus,plumbeus
Isurus oxyrinchus,0.210242588,Lamnidae,pelagic,445,ram,matrotrophic viviparity,375,13.922,Lamniformes,Gilman et al (2022),Isurus,oxyrinchus
Carcharhinus falciformis,0.274881517,Carcharhinidae,pelagic,350,ram,matrotrophic viviparity,250,10.089,Carcharhiniformes,Gilman et al (2022),Carcharhinus,falciformis
Sphyrna zygaena,0.555555556,Sphyrnidae,pelagic,400,ram,matrotrophic viviparity,100,10.906,Carcharhiniformes,Gilman et al (2022),Sphyrna,zygaena
Galeocerdo cuvier,0.333333333,Carcharhinidae,pelagic,740,ram,matrotrophic viviparity,556,12.342,,Gilman et al (2022),Galeocerdo,cuvier
Scymnodon ichiharai,0.209230769,Somniosidae,pelagic,151.1,stationary,lecithotrophic viviparity,640,3.9064,,Gilman et al (2022),Scymnodon,ichiharai
Alopias superciliosus,0.189781022,Alopiidae,pelagic,484,ram,matrotrophic viviparity,361.5,11.023,Lamniformes,Gilman et al (2022),Alopias,superciliosus
Prionace glauca,0.042635659,Carcharhinidae,pelagic,383.5,ram,matrotrophic viviparity,500,8.6017,Carcharhiniformes,Gilman et al (2022),Prionace,glauca
Pseudocarcharias kamoharai,0.159574468,Pseudocarchariidae,pelagic,122,ram,matrotrophic viviparity,295,5.2458,Lamniformes,Gilman et al (2022),Pseudocarcharias,kamoharai
Carcharhinus galapagensis,0.5,Carcharhinidae,pelagic,300,ram,matrotrophic viviparity,143,7.0985,Carcharhiniformes,Gilman et al (2022),Carcharhinus,galapagensis
Isurus paucus,0.166666667,Lamnidae,pelagic,427,ram,matrotrophic viviparity,876,10.319,Lamniformes,Gilman et al (2022),Isurus,paucus
Carcharhinus longimanus,0.214285714,Carcharhinidae,pelagic,350,ram,matrotrophic viviparity,541,9.5821,Carcharhiniformes,Gilman et al (2022),Carcharhinus,longimanus
Alopias pelagicus,0.333333333,Alopiidae,pelagic,428,ram,matrotrophic viviparity,150,9.7281,Lamniformes,Gilman et al (2022),Alopias,pelagicus
Sphyrna lewini,0.333333333,Sphyrnidae,pelagic,430,ram,matrotrophic viviparity,521.5,14.608,Carcharhiniformes,Gilman et al (2022),Sphyrna,lewini
Isurus oxyrinchus,0.192307692,Lamnidae,pelagic,445,ram,matrotrophic viviparity,375,13.922,Lamniformes,Gilman et al (2022),Isurus,oxyrinchus
Carcharhinus falciformis,0.310344828,Carcharhinidae,pelagic,350,ram,matrotrophic viviparity,250,10.089,Carcharhiniformes,Gilman et al (2022),Carcharhinus,falciformis
Sphyrna zygaena,0.666666667,Sphyrnidae,pelagic,400,ram,matrotrophic viviparity,100,10.906,Carcharhiniformes,Gilman et al (2022),Sphyrna,zygaena
Scymnodon ichiharai,0.333333333,Somniosidae,pelagic,151.1,stationary,lecithotrophic viviparity,640,3.9064,,Gilman et al (2022),Scymnodon,ichiharai
Odontaspis noronhai,0.25,Odontaspididae,pelagic,367,ram,matrotrophic viviparity,530,6.0088,Lamniformes,Gilman et al (2022),Odontaspis,noronhai
Alopias superciliosus,0.221226773,Alopiidae,pelagic,484,ram,matrotrophic viviparity,361.5,11.023,Lamniformes,Gilman et al (2022),Alopias,superciliosus
Carcharhinus altimus,0.666666667,Carcharhinidae,pelagic,300,ram,matrotrophic viviparity,405,17.283,Carcharhiniformes,Gilman et al (2022),Carcharhinus,altimus
Carcharhinus melanopterus,0,Carcharhinidae,pelagic,180,ram,matrotrophic viviparity,50,7.9127,Carcharhiniformes,Gilman et al (2022),Carcharhinus,melanopterus
Prionace glauca,0.043271225,Carcharhinidae,pelagic,383.5,ram,matrotrophic viviparity,500,8.6017,Carcharhiniformes,Gilman et al (2022),Prionace,glauca
Alopias vulpinus,0,Alopiidae,pelagic,573.3,ram,matrotrophic viviparity,325,8.7014,Lamniformes,Gilman et al (2022),Alopias,vulpinus
Isistius brasiliensis,0.222222222,Dalatiidae,pelagic,42,ram,lecithotrophic viviparity,1850,15.604,Squaliformes,Gilman et al (2022),Isistius,brasiliensis
Pseudocarcharias kamoharai,0.140461792,Pseudocarchariidae,pelagic,122,ram,matrotrophic viviparity,295,5.2458,Lamniformes,Gilman et al (2022),Pseudocarcharias,kamoharai
Carcharhinus galapagensis,0.057692308,Carcharhinidae,pelagic,300,ram,matrotrophic viviparity,143,7.0985,Carcharhiniformes,Gilman et al (2022),Carcharhinus,galapagensis
Isurus paucus,0.262452107,Lamnidae,pelagic,427,ram,matrotrophic viviparity,876,10.319,Lamniformes,Gilman et al (2022),Isurus,paucus
Carcharhinus longimanus,0.224648986,Carcharhinidae,pelagic,350,ram,matrotrophic viviparity,541,9.5821,Carcharhiniformes,Gilman et al (2022),Carcharhinus,longimanus
Alopias pelagicus,0.445632799,Alopiidae,pelagic,428,ram,matrotrophic viviparity,150,9.7281,Lamniformes,Gilman et al (2022),Alopias,pelagicus
Lamna ditropis,0,Lamnidae,pelagic,305,ram,matrotrophic viviparity,325,6.2338,Lamniformes,Gilman et al (2022),Lamna,ditropis
Carcharhinus plumbeus,0.126760563,Carcharhinidae,pelagic,243,ram,matrotrophic viviparity,140,15.327,Carcharhiniformes,Gilman et al (2022),Carcharhinus,plumbeus
Sphyrna lewini,0.25,Sphyrnidae,pelagic,430,ram,matrotrophic viviparity,521.5,14.608,Carcharhiniformes,Gilman et al (2022),Sphyrna,lewini
Isurus oxyrinchus,0.195536562,Lamnidae,pelagic,445,ram,matrotrophic viviparity,375,13.922,Lamniformes,Gilman et al (2022),Isurus,oxyrinchus
Carcharhinus falciformis,0.235400144,Carcharhinidae,pelagic,350,ram,matrotrophic viviparity,250,10.089,Carcharhiniformes,Gilman et al (2022),Carcharhinus,falciformis
Sphyrna zygaena,0.424390244,Sphyrnidae,pelagic,400,ram,matrotrophic viviparity,100,10.906,Carcharhiniformes,Gilman et al (2022),Sphyrna,zygaena
Galeocerdo cuvier,0.12962963,Carcharhinidae,pelagic,740,ram,matrotrophic viviparity,556,12.342,,Gilman et al (2022),Galeocerdo,cuvier
Scymnodon ichiharai,0.254516889,Somniosidae,pelagic,151.1,stationary,lecithotrophic viviparity,640,3.9064,,Gilman et al (2022),Scymnodon,ichiharai
Carcharodon carcharias,1,Lamnidae,pelagic,594.4,ram,matrotrophic viviparity,600,7.7326,Lamniformes,Gilman et al (2022),Carcharodon,carcharias
Alopias superciliosus,0.234375,Alopiidae,pelagic,484,ram,matrotrophic viviparity,361.5,11.023,Lamniformes,Gilman et al (2022),Alopias,superciliosus
Prionace glauca,0.055072464,Carcharhinidae,pelagic,383.5,ram,matrotrophic viviparity,500,8.6017,Carcharhiniformes,Gilman et al (2022),Prionace,glauca
Pseudocarcharias kamoharai,0,Pseudocarchariidae,pelagic,122,ram,matrotrophic viviparity,295,5.2458,Lamniformes,Gilman et al (2022),Pseudocarcharias,kamoharai
Carcharhinus galapagensis,0,Carcharhinidae,pelagic,300,ram,matrotrophic viviparity,143,7.0985,Carcharhiniformes,Gilman et al (2022),Carcharhinus,galapagensis
Isurus paucus,1,Lamnidae,pelagic,427,ram,matrotrophic viviparity,876,10.319,Lamniformes,Gilman et al (2022),Isurus,paucus
Carcharhinus longimanus,0.115384615,Carcharhinidae,pelagic,350,ram,matrotrophic viviparity,541,9.5821,Carcharhiniformes,Gilman et al (2022),Carcharhinus,longimanus
Alopias pelagicus,1,Alopiidae,pelagic,428,ram,matrotrophic viviparity,150,9.7281,Lamniformes,Gilman et al (2022),Alopias,pelagicus
Isurus oxyrinchus,0.252747253,Lamnidae,pelagic,445,ram,matrotrophic viviparity,375,13.922,Lamniformes,Gilman et al (2022),Isurus,oxyrinchus
Carcharhinus falciformis,0.1875,Carcharhinidae,pelagic,350,ram,matrotrophic viviparity,250,10.089,Carcharhiniformes,Gilman et al (2022),Carcharhinus,falciformis
Sphyrna zygaena,0,Sphyrnidae,pelagic,400,ram,matrotrophic viviparity,100,10.906,Carcharhiniformes,Gilman et al (2022),Sphyrna,zygaena
Scymnodon ichiharai,0.3125,Somniosidae,pelagic,151.1,stationary,lecithotrophic viviparity,640,3.9064,,Gilman et al (2022),Scymnodon,ichiharai
Alopias superciliosus,0.214285714,Alopiidae,pelagic,484,ram,matrotrophic viviparity,361.5,11.023,Lamniformes,Gilman et al (2022),Alopias,superciliosus
Prionace glauca,0.066157761,Carcharhinidae,pelagic,383.5,ram,matrotrophic viviparity,500,8.6017,Carcharhiniformes,Gilman et al (2022),Prionace,glauca
Pseudocarcharias kamoharai,0,Pseudocarchariidae,pelagic,122,ram,matrotrophic viviparity,295,5.2458,Lamniformes,Gilman et al (2022),Pseudocarcharias,kamoharai
Carcharhinus longimanus,0.25,Carcharhinidae,pelagic,350,ram,matrotrophic viviparity,541,9.5821,Carcharhiniformes,Gilman et al (2022),Carcharhinus,longimanus
Isurus oxyrinchus,0.5,Lamnidae,pelagic,445,ram,matrotrophic viviparity,375,13.922,Lamniformes,Gilman et al (2022),Isurus,oxyrinchus
Sphyrna zygaena,1,Sphyrnidae,pelagic,400,ram,matrotrophic viviparity,100,10.906,Carcharhiniformes,Gilman et al (2022),Sphyrna,zygaena
Odontaspis noronhai,0,Odontaspididae,pelagic,367,ram,matrotrophic viviparity,530,6.0088,Lamniformes,Gilman et al (2022),Odontaspis,noronhai
Alopias superciliosus,0.187606595,Alopiidae,pelagic,484,ram,matrotrophic viviparity,361.5,11.023,Lamniformes,Gilman et al (2022),Alopias,superciliosus
Prionace glauca,0.04349119,Carcharhinidae,pelagic,383.5,ram,matrotrophic viviparity,500,8.6017,Carcharhiniformes,Gilman et al (2022),Prionace,glauca
Isistius brasiliensis,0.5,Dalatiidae,pelagic,42,ram,lecithotrophic viviparity,1850,15.604,Squaliformes,Gilman et al (2022),Isistius,brasiliensis
Pseudocarcharias kamoharai,0.115207373,Pseudocarchariidae,pelagic,122,ram,matrotrophic viviparity,295,5.2458,Lamniformes,Gilman et al (2022),Pseudocarcharias,kamoharai
Carcharhinus galapagensis,0,Carcharhinidae,pelagic,300,ram,matrotrophic viviparity,143,7.0985,Carcharhiniformes,Gilman et al (2022),Carcharhinus,galapagensis
Isurus paucus,0.23255814,Lamnidae,pelagic,427,ram,matrotrophic viviparity,876,10.319,Lamniformes,Gilman et al (2022),Isurus,paucus
Carcharhinus longimanus,0.216438356,Carcharhinidae,pelagic,350,ram,matrotrophic viviparity,541,9.5821,Carcharhiniformes,Gilman et al (2022),Carcharhinus,longimanus
Alopias pelagicus,0.577777778,Alopiidae,pelagic,428,ram,matrotrophic viviparity,150,9.7281,Lamniformes,Gilman et al (2022),Alopias,pelagicus
Lamna ditropis,0,Lamnidae,pelagic,305,ram,matrotrophic viviparity,325,6.2338,Lamniformes,Gilman et al (2022),Lamna,ditropis
Carcharhinus plumbeus,0.25,Carcharhinidae,pelagic,243,ram,matrotrophic viviparity,140,15.327,Carcharhiniformes,Gilman et al (2022),Carcharhinus,plumbeus
Sphyrna lewini,0.5,Sphyrnidae,pelagic,430,ram,matrotrophic viviparity,521.5,14.608,Carcharhiniformes,Gilman et al (2022),Sphyrna,lewini
Isurus oxyrinchus,0.244694132,Lamnidae,pelagic,445,ram,matrotrophic viviparity,375,13.922,Lamniformes,Gilman et al (2022),Isurus,oxyrinchus
Carcharhinus falciformis,0.21257485,Carcharhinidae,pelagic,350,ram,matrotrophic viviparity,250,10.089,Carcharhiniformes,Gilman et al (2022),Carcharhinus,falciformis
Sphyrna zygaena,0.53125,Sphyrnidae,pelagic,400,ram,matrotrophic viviparity,100,10.906,Carcharhiniformes,Gilman et al (2022),Sphyrna,zygaena
Galeocerdo cuvier,0,Carcharhinidae,pelagic,740,ram,matrotrophic viviparity,556,12.342,,Gilman et al (2022),Galeocerdo,cuvier
Scymnodon ichiharai,0.190045249,Somniosidae,pelagic,151.1,stationary,lecithotrophic viviparity,640,3.9064,,Gilman et al (2022),Scymnodon,ichiharai
Prionace glauca,0.15,Carcharhinidae,pelagic,383.5,ram,matrotrophic viviparity,500,8.6017,Carcharhiniformes,Gilman et al (2022),Prionace,glauca
Isurus oxyrinchus,0,Lamnidae,pelagic,445,ram,matrotrophic viviparity,375,13.922,Lamniformes,Gilman et al (2022),Isurus,oxyrinchus
Odontaspis noronhai,0,Odontaspididae,pelagic,367,ram,matrotrophic viviparity,530,6.0088,Lamniformes,Gilman et al (2022),Odontaspis,noronhai
Alopias superciliosus,0.146282974,Alopiidae,pelagic,484,ram,matrotrophic viviparity,361.5,11.023,Lamniformes,Gilman et al (2022),Alopias,superciliosus
Carcharhinus altimus,0,Carcharhinidae,pelagic,300,ram,matrotrophic viviparity,405,17.283,Carcharhiniformes,Gilman et al (2022),Carcharhinus,altimus
Prionace glauca,0.053796496,Carcharhinidae,pelagic,383.5,ram,matrotrophic viviparity,500,8.6017,Carcharhiniformes,Gilman et al (2022),Prionace,glauca
Alopias vulpinus,0.090909091,Alopiidae,pelagic,573.3,ram,matrotrophic viviparity,325,8.7014,Lamniformes,Gilman et al (2022),Alopias,vulpinus
Isistius brasiliensis,0.142857143,Dalatiidae,pelagic,42,ram,lecithotrophic viviparity,1850,15.604,Squaliformes,Gilman et al (2022),Isistius,brasiliensis
Pseudocarcharias kamoharai,0.211009174,Pseudocarchariidae,pelagic,122,ram,matrotrophic viviparity,295,5.2458,Lamniformes,Gilman et al (2022),Pseudocarcharias,kamoharai
Carcharhinus galapagensis,0.333333333,Carcharhinidae,pelagic,300,ram,matrotrophic viviparity,143,7.0985,Carcharhiniformes,Gilman et al (2022),Carcharhinus,galapagensis
Carcharhinus amblyrhynchos,0.333333333,Carcharhinidae,pelagic,265,ram,matrotrophic viviparity,137.5,6.8746,Carcharhiniformes,Gilman et al (2022),Carcharhinus,amblyrhynchos
Isurus paucus,0.142857143,Lamnidae,pelagic,427,ram,matrotrophic viviparity,876,10.319,Lamniformes,Gilman et al (2022),Isurus,paucus
Carcharhinus longimanus,0.218181818,Carcharhinidae,pelagic,350,ram,matrotrophic viviparity,541,9.5821,Carcharhiniformes,Gilman et al (2022),Carcharhinus,longimanus
Alopias pelagicus,0.083333333,Alopiidae,pelagic,428,ram,matrotrophic viviparity,150,9.7281,Lamniformes,Gilman et al (2022),Alopias,pelagicus
Lamna ditropis,1,Lamnidae,pelagic,305,ram,matrotrophic viviparity,325,6.2338,Lamniformes,Gilman et al (2022),Lamna,ditropis
Carcharhinus plumbeus,0.125,Carcharhinidae,pelagic,243,ram,matrotrophic viviparity,140,15.327,Carcharhiniformes,Gilman et al (2022),Carcharhinus,plumbeus
Sphyrna lewini,0.5,Sphyrnidae,pelagic,430,ram,matrotrophic viviparity,521.5,14.608,Carcharhiniformes,Gilman et al (2022),Sphyrna,lewini
Isurus oxyrinchus,0.152173913,Lamnidae,pelagic,445,ram,matrotrophic viviparity,375,13.922,Lamniformes,Gilman et al (2022),Isurus,oxyrinchus
Carcharhinus falciformis,0.170731707,Carcharhinidae,pelagic,350,ram,matrotrophic viviparity,250,10.089,Carcharhiniformes,Gilman et al (2022),Carcharhinus,falciformis
Sphyrna zygaena,0.2,Sphyrnidae,pelagic,400,ram,matrotrophic viviparity,100,10.906,Carcharhiniformes,Gilman et al (2022),Sphyrna,zygaena
Galeocerdo cuvier,0.5,Carcharhinidae,pelagic,740,ram,matrotrophic viviparity,556,12.342,,Gilman et al (2022),Galeocerdo,cuvier
Scymnodon ichiharai,0.394736842,Somniosidae,pelagic,151.1,stationary,lecithotrophic viviparity,640,3.9064,,Gilman et al (2022),Scymnodon,ichiharai
Alopias superciliosus,0.123188406,Alopiidae,pelagic,484,ram,matrotrophic viviparity,361.5,11.023,Lamniformes,Gilman et al (2022),Alopias,superciliosus
Prionace glauca,0.064220183,Carcharhinidae,pelagic,383.5,ram,matrotrophic viviparity,500,8.6017,Carcharhiniformes,Gilman et al (2022),Prionace,glauca
Alopias vulpinus,0.5,Alopiidae,pelagic,573.3,ram,matrotrophic viviparity,325,8.7014,Lamniformes,Gilman et al (2022),Alopias,vulpinus
Pseudocarcharias kamoharai,0.607142857,Pseudocarchariidae,pelagic,122,ram,matrotrophic viviparity,295,5.2458,Lamniformes,Gilman et al (2022),Pseudocarcharias,kamoharai
Carcharhinus longimanus,0.235294118,Carcharhinidae,pelagic,350,ram,matrotrophic viviparity,541,9.5821,Carcharhiniformes,Gilman et al (2022),Carcharhinus,longimanus
Alopias pelagicus,0.444444444,Alopiidae,pelagic,428,ram,matrotrophic viviparity,150,9.7281,Lamniformes,Gilman et al (2022),Alopias,pelagicus
Lamna ditropis,1,Lamnidae,pelagic,305,ram,matrotrophic viviparity,325,6.2338,Lamniformes,Gilman et al (2022),Lamna,ditropis
Carcharhinus plumbeus,0,Carcharhinidae,pelagic,243,ram,matrotrophic viviparity,140,15.327,Carcharhiniformes,Gilman et al (2022),Carcharhinus,plumbeus
Isurus oxyrinchus,0.230769231,Lamnidae,pelagic,445,ram,matrotrophic viviparity,375,13.922,Lamniformes,Gilman et al (2022),Isurus,oxyrinchus
Carcharhinus falciformis,0,Carcharhinidae,pelagic,350,ram,matrotrophic viviparity,250,10.089,Carcharhiniformes,Gilman et al (2022),Carcharhinus,falciformis
Scymnodon ichiharai,0.333333333,Somniosidae,pelagic,151.1,stationary,lecithotrophic viviparity,640,3.9064,,Gilman et al (2022),Scymnodon,ichiharai
Odontaspis noronhai,0,Odontaspididae,pelagic,367,ram,matrotrophic viviparity,530,6.0088,Lamniformes,Gilman et al (2022),Odontaspis,noronhai
Alopias superciliosus,0.19665129,Alopiidae,pelagic,484,ram,matrotrophic viviparity,361.5,11.023,Lamniformes,Gilman et al (2022),Alopias,superciliosus
Carcharhinus altimus,0,Carcharhinidae,pelagic,300,ram,matrotrophic viviparity,405,17.283,Carcharhiniformes,Gilman et al (2022),Carcharhinus,altimus
Carcharhinus limbatus,0.444444444,Carcharhinidae,pelagic,286,ram,matrotrophic viviparity,70,7.7253,Carcharhiniformes,Gilman et al (2022),Carcharhinus,limbatus
Prionace glauca,0.050219241,Carcharhinidae,pelagic,383.5,ram,matrotrophic viviparity,500,8.6017,Carcharhiniformes,Gilman et al (2022),Prionace,glauca
Alopias vulpinus,0.230769231,Alopiidae,pelagic,573.3,ram,matrotrophic viviparity,325,8.7014,Lamniformes,Gilman et al (2022),Alopias,vulpinus
Isistius brasiliensis,0.333333333,Dalatiidae,pelagic,42,ram,lecithotrophic viviparity,1850,15.604,Squaliformes,Gilman et al (2022),Isistius,brasiliensis
Pseudocarcharias kamoharai,0.246261216,Pseudocarchariidae,pelagic,122,ram,matrotrophic viviparity,295,5.2458,Lamniformes,Gilman et al (2022),Pseudocarcharias,kamoharai
Carcharhinus obscurus,0.142857143,Carcharhinidae,pelagic,420,ram,matrotrophic viviparity,250,7.0963,Carcharhiniformes,Gilman et al (2022),Carcharhinus,obscurus
Carcharhinus galapagensis,0.162162162,Carcharhinidae,pelagic,300,ram,matrotrophic viviparity,143,7.0985,Carcharhiniformes,Gilman et al (2022),Carcharhinus,galapagensis
Carcharhinus amblyrhynchos,0.111111111,Carcharhinidae,pelagic,265,ram,matrotrophic viviparity,137.5,6.8746,Carcharhiniformes,Gilman et al (2022),Carcharhinus,amblyrhynchos
Isurus paucus,0.247933884,Lamnidae,pelagic,427,ram,matrotrophic viviparity,876,10.319,Lamniformes,Gilman et al (2022),Isurus,paucus
Carcharhinus longimanus,0.211064621,Carcharhinidae,pelagic,350,ram,matrotrophic viviparity,541,9.5821,Carcharhiniformes,Gilman et al (2022),Carcharhinus,longimanus
Alopias pelagicus,0.391076115,Alopiidae,pelagic,428,ram,matrotrophic viviparity,150,9.7281,Lamniformes,Gilman et al (2022),Alopias,pelagicus
Lamna ditropis,0.285714286,Lamnidae,pelagic,305,ram,matrotrophic viviparity,325,6.2338,Lamniformes,Gilman et al (2022),Lamna,ditropis
Carcharhinus plumbeus,0.114285714,Carcharhinidae,pelagic,243,ram,matrotrophic viviparity,140,15.327,Carcharhiniformes,Gilman et al (2022),Carcharhinus,plumbeus
Sphyrna lewini,0.464285714,Sphyrnidae,pelagic,430,ram,matrotrophic viviparity,521.5,14.608,Carcharhiniformes,Gilman et al (2022),Sphyrna,lewini
Isurus oxyrinchus,0.137155705,Lamnidae,pelagic,445,ram,matrotrophic viviparity,375,13.922,Lamniformes,Gilman et al (2022),Isurus,oxyrinchus
Carcharhinus falciformis,0.252649191,Carcharhinidae,pelagic,350,ram,matrotrophic viviparity,250,10.089,Carcharhiniformes,Gilman et al (2022),Carcharhinus,falciformis
Sphyrna zygaena,0.263157895,Sphyrnidae,pelagic,400,ram,matrotrophic viviparity,100,10.906,Carcharhiniformes,Gilman et al (2022),Sphyrna,zygaena
Galeocerdo cuvier,0.1,Carcharhinidae,pelagic,740,ram,matrotrophic viviparity,556,12.342,,Gilman et al (2022),Galeocerdo,cuvier
Scymnodon ichiharai,0.315436242,Somniosidae,pelagic,151.1,stationary,lecithotrophic viviparity,640,3.9064,,Gilman et al (2022),Scymnodon,ichiharai
Alopias superciliosus,0.331034483,Alopiidae,pelagic,484,ram,matrotrophic viviparity,361.5,11.023,Lamniformes,Gilman et al (2022),Alopias,superciliosus
Prionace glauca,0.043739748,Carcharhinidae,pelagic,383.5,ram,matrotrophic viviparity,500,8.6017,Carcharhiniformes,Gilman et al (2022),Prionace,glauca
Pseudocarcharias kamoharai,0.151515152,Pseudocarchariidae,pelagic,122,ram,matrotrophic viviparity,295,5.2458,Lamniformes,Gilman et al (2022),Pseudocarcharias,kamoharai
Isurus paucus,0,Lamnidae,pelagic,427,ram,matrotrophic viviparity,876,10.319,Lamniformes,Gilman et al (2022),Isurus,paucus
Carcharhinus longimanus,0.15625,Carcharhinidae,pelagic,350,ram,matrotrophic viviparity,541,9.5821,Carcharhiniformes,Gilman et al (2022),Carcharhinus,longimanus
Alopias pelagicus,0.210526316,Alopiidae,pelagic,428,ram,matrotrophic viviparity,150,9.7281,Lamniformes,Gilman et al (2022),Alopias,pelagicus
Isurus oxyrinchus,0.117647059,Lamnidae,pelagic,445,ram,matrotrophic viviparity,375,13.922,Lamniformes,Gilman et al (2022),Isurus,oxyrinchus
Carcharhinus falciformis,0.1,Carcharhinidae,pelagic,350,ram,matrotrophic viviparity,250,10.089,Carcharhiniformes,Gilman et al (2022),Carcharhinus,falciformis
