scientific_name,f,f_mort,mid_avm,mid_prm
Alopias pelagicus,0.06186106275,0.02862343456234697,0.15884057971014495,0.361244966442953
Alopias superciliosus,0.04859941725,0.022487202411076764,0.15884057971014495,0.361244966442953
Alopias vulpinus,0.06190762500000001,0.02691211618821242,0.11501923076923076,0.361244966442953
Carcharhinus acronotus,0.1494957176608832,0.09285461834067092,0.429925,0.33538379618251823
Carcharhinus albimarginatus,0.06151584463607947,0.022721479704756575,0.17903225806451611,0.23183314794215792
Carcharhinus altimus,0.0504803371039731,0.022259396483947713,0.15884057971014495,0.33538379618251823
Carcharhinus amblyrhynchos,0.05599985774999999,0.02717713259812399,0.17903225806451611,0.3730657105144148
Carcharhinus amboinensis,0.0811285324105828,0.04716129199328435,0.429925,0.2655628283970689
Carcharhinus brachyurus,0.06715183425,0.03674908156657679,0.2639628482972136,0.38488645458587656
Carcharhinus brevipinna,0.11914994948388569,0.0776973461518034,0.429925,0.3897244762663623
Carcharhinus cautus,0.062543269125,0.03635738611036345,0.429925,0.2655628283970689
Carcharhinus falciformis,0.07234761975,0.03145052889127314,0.11501923076923076,0.361244966442953
Carcharhinus galapagensis,0.11689088037793594,0.058488030187751436,0.2177977207977208,0.361244966442953
Carcharhinus isodon,0.064287371625,0.021162082075811953,0.08661956521739131,0.2655628283970689
Carcharhinus leucas,0.1015901336867488,0.049495095286418406,0.16633889450623526,0.38488645458587656
Carcharhinus limbatus,0.07862152974097482,0.05148571884211691,0.429925,0.394562497946848
Carcharhinus longimanus,0.11769573577257444,0.04847033364480183,0.11501923076923076,0.33538379618251823
Carcharhinus melanopterus,0.07908848706977871,0.045507455274224215,0.429925,0.25518438627854423
Carcharhinus obscurus,0.0531466275,0.026308198260678494,0.17903225806451611,0.38488645458587656
Carcharhinus plumbeus,0.07927586069537818,0.033024234625367514,0.08661956521739131,0.361244966442953
Carcharhinus porosus,0.0926287246945725,0.02117871479427734,0.17903225806451611,0.06042702702702703
Carcharhinus signatus,0.05517778625,0.024513764886438024,0.11357333333333336,0.3730657105144148
Carcharhinus sorrah,0.17057887927395027,0.10961406200986318,0.429925,0.3730657105144148
Carcharhinus tilstoni,0.17985470525155076,0.08805977477790677,0.157,0.394562497946848
Carcharias taurus,0.02610649776317006,0.016951970952094088,0.429925,0.38488645458587656
Carcharodon carcharias,0.09315814152183474,0.04200675946373096,0.17383720930232557,0.33538379618251823
Centrophorus granulosus,0.0296279175,0.010531539554550022,0.33,0.038
Centrophorus harrissoni,0.06085329641137688,0.011862437335951626,0.157,0.045
Centrophorus squamosus,0.0347101005,0.01233805232373001,0.33,0.038
Centrophorus uyato,0.05335154601158458,0.010400083621768204,0.157,0.045
Centroscymnus coelolepis,0.04975538205702069,0.010499108802724066,0.17383720930232557,0.045
Centroscymnus owstonii,0.05317606138019395,0.010365875525148028,0.157,0.045
Chlamydoselachus anguineus,0.04772512510025441,0.01958157121138214,0.157,0.30047331228979357
Dalatias licha,0.13143380775,0.04733588586116241,0.33,0.045
Deania profundorum,0.02532582016717329,0.005344116163124824,0.17383720930232557,0.045
Etmopterus pusillus,0.04076096491588672,0.014584477051728868,0.33,0.04149999999999999
Galeocerdo cuvier,0.15718193569786149,0.054407944028533564,0.01619354838709677,0.33538379618251823
Galeorhinus galeus,0.09532930062829714,0.034414449502619106,0.157,0.242
Galeus melastomus,0.14126944125000002,0.029809905438651897,0.17383720930232557,0.045
Ginglymostoma cirratum,0.05413756275,0.019497643224412543,0.33,0.045
Heptranchias perlo,0.04139485851165921,0.018202500704366714,0.157,0.33538379618251823
Heterodontus portusjacksoni,0.03938484108689116,0.014441767805963792,0.33,0.0547513572204126
Hexanchus griseus,0.12314403825,0.04091826238663316,0.1984149894311185,0.167
Hexanchus nakamurai,0.04629853506697751,0.018847701769915234,0.2177977207977208,0.242
Isistius brasiliensis,0.03938484108689116,0.014555411105996114,0.17383720930232557,0.23691657397107896
Isurus oxyrinchus,0.0816197286119908,0.03815679646592244,0.16633889450623526,0.361244966442953
Isurus paucus,0.03429803012209115,0.015123778780112786,0.15884057971014495,0.33538379618251823
Lamna ditropis,0.0820256595,0.040603654720873975,0.17903225806451611,0.38488645458587656
Lamna nasus,0.05772226424999999,0.026028055416749112,0.17383720930232557,0.33538379618251823
Loxodon macrorhinus,0.0566329797761521,0.02502554743328389,0.33,0.167
Mustelus antarcticus,0.17685819602705433,0.048196397919674325,0.04025641025641025,0.242
Mustelus canis,0.169381834875,0.09883430064956243,0.5,0.167
Mustelus mosis,0.0811285324105828,0.03584988718691236,0.33,0.167
Mustelus mustelus,0.12063595575,0.059369779262804914,0.33,0.242
Mustelus norrisi,0.0811285324105828,0.03920155327923311,0.429925,0.09345794392523364
Nebrius ferrugineus,0.05289364285130611,0.014992703066202751,0.157,0.15
Negaprion acutidens,0.05289364285130611,0.02726330092011665,0.429925,0.15
Negaprion brevirostris,0.07868339372986317,0.03575149445872313,0.17903225806451611,0.33538379618251823
Notorynchus cepedianus,0.088664977875,0.039180167073183725,0.33,0.167
Odontaspis noronhai,0.05289364285130611,0.02385073914226311,0.17383720930232557,0.33538379618251823
Orectolobus halei,0.04053085929055788,0.007900883055804825,0.157,0.045
Orectolobus maculatus,0.04053085929055788,0.009078156830620828,0.17903225806451611,0.0547513572204126
Orectolobus ornatus,0.04053085929055788,0.014597188973494326,0.33,0.045
Prionace glauca,0.3728700730887175,0.15873494939263252,0.17903225806451611,0.30047331228979357
Pristiophorus cirratus,0.0811285324105828,0.029218440947671384,0.33,0.045
