scientific_name,eo,ac
Aculeola nigra,NA,NA
Apristurus aphyodes,NA,NA
Apristurus australis,NA,NA
Apristurus bucephalus,NA,NA
Apristurus fedorovi,NA,NA
Apristurus garricki,NA,NA
Apristurus gibbosus,NA,NA
Apristurus herklotsi,NA,NA
Apristurus internatus,NA,NA
Apristurus japonicus,NA,NA
Apristurus macrostomus,NA,NA
Apristurus micropterygeus,NA,NA
Apristurus nasutus,NA,NA
Apristurus pinguis,NA,NA
Atelomycterus baliensis,NA,NA
Atelomycterus erdmanni,NA,NA
Atelomycterus fasciatus,NA,NA
Atelomycterus marnkalha,NA,NA
Aulohalaelurus kanakorum,NA,NA
Bythaelurus bachi,NA,NA
Bythaelurus clevai,NA,NA
Bythaelurus immaculatus,NA,NA
Bythaelurus naylori,NA,NA
Bythaelurus tenuicephalus,NA,NA
Carcharhinus amblyrhynchoides,NA,NA
Carcharhinus amboinensis,NA,NA
Carcharhinus borneensis,NA,NA
Carcharhinus cautus,NA,NA
Carcharhinus cerdale,NA,NA
Carcharhinus coatesi,NA,NA
Carcharhinus fitzroyensis,NA,NA
Carcharhinus hemiodon,NA,NA
Carcharhinus humani,NA,NA
Carcharhinus leiodon,NA,NA
Carcharhinus macloti,NA,NA
Carcharhinus obsoletus,NA,NA
Carcharhinus sealei,NA,NA
Carcharhinus tilstoni,NA,NA
Carcharhinus tjutjot,NA,NA
Centrophorus atromarginatus,NA,NA
Centrophorus isodon,NA,NA
Centrophorus lesliei,NA,NA
Centrophorus longipinnis,NA,NA
Centrophorus tessellatus,NA,NA
Centrophorus westraliensis,NA,NA
Centroscyllium excelsum,NA,NA
Centroscyllium granulatum,NA,NA
Centroscyllium ornatum,NA,NA
Centroscymnus macracanthus,NA,NA
Centroselachus crepidater,NA,NA
Cephaloscyllium fasciatum,NA,NA
Cephaloscyllium formosanum,NA,NA
Cephaloscyllium hiscosellum,NA,NA
Cephaloscyllium sarawakensis,NA,NA
Cephaloscyllium signourum,NA,NA
Cephaloscyllium silasi,NA,NA
Cephaloscyllium speccum,NA,NA
Cephaloscyllium umbratile,NA,NA
Cephaloscyllium ventriosum,NA,NA
Cephalurus cephalus,NA,NA
Chiloscyllium arabicum,NA,NA
Chiloscyllium burmensis,NA,NA
Chiloscyllium hasselti,NA,NA
Chiloscyllium indicum,NA,NA
Chlamydoselachus africana,NA,NA
Cirrhigaleus australis,NA,NA
Cirrhigaleus barbifer,NA,NA
Cirrhoscyllium formosanum,NA,NA
Cirrhoscyllium japonicum,NA,NA
Echinorhinus cookei,NA,NA
Etmopterus alphus,NA,NA
Etmopterus brosei,NA,NA
Etmopterus burgessi,NA,NA
Etmopterus decacuspidatus,NA,NA
Etmopterus dianthus,NA,NA
Etmopterus dislineatus,NA,NA
Etmopterus evansi,NA,NA
Etmopterus fusus,NA,NA
Etmopterus granulosus,NA,NA
Etmopterus joungi,NA,NA
Etmopterus lailae,NA,NA
Etmopterus litvinovi,NA,NA
Etmopterus marshae,NA,NA
Etmopterus perryi,NA,NA
Etmopterus pycnolepis,NA,NA
Etmopterus sculptus,NA,NA
Etmopterus sheikoi,NA,NA
Etmopterus viator,NA,NA
Eucrossorhinus dasypogon,NA,NA
Euprotomicrus bispinatus,NA,NA
Figaro striatus,NA,NA
Furgaleus macki,NA,NA
Galeus atlanticus,NA,NA
Galeus eastmani,NA,NA
Galeus longirostris,NA,NA
Galeus mincaronei,NA,NA
Galeus nipponensis,NA,NA
Galeus piperatus,NA,NA
Galeus schultzi,NA,NA
Gogolia filewoodi,NA,NA
Halaelurus boesemani,NA,NA
Halaelurus buergeri,NA,NA
Halaelurus quagga,NA,NA
Halaelurus sellus,NA,NA
Haploblepharus fuscus,NA,NA
Hemigaleus australiensis,NA,NA
Hemigaleus microstoma,NA,NA
Hemipristis elongata,NA,NA
Hemiscyllium freycineti,NA,NA
Hemiscyllium galei,NA,NA
Hemiscyllium hallstromi,NA,NA
Hemiscyllium halmahera,NA,NA
Hemiscyllium henryi,NA,NA
Hemiscyllium michaeli,NA,NA
Hemiscyllium strahani,NA,NA
Hemitriakis abdita,NA,NA
