ac,eo,species
4.7283,0.68757,Proameira simplex
6.2292,0.41518,Proboloides holmesi
5.7594,0.058661,Probopyrus pandalicola
5.8664,0.74417,Procampylaspis armata
5.2458,0.33005,Procampylaspis bituberculata
5.5718,0.10571,Procampylaspis bonnieri
3.7978,1.6464,Procampylaspis caenosa
1.4311,1.9674,Procampylaspis compressa
4.5626,1.204,Procampylaspis lutensis
6.0828,0.11235,Procampylaspis macronyx
4.9484,0.88183,Procampylaspis ommidion
386.58,-1.4441,Proceroecia brachyaskos
4.0292,-0.75088,Proceroecia convexa
25.19,1.3104,Proceroecia microprocera
66.39,0.92999,Proceroecia procera
6.0645,-0.19635,Proceroecia vitjazi
5.4925,0.11457,Processa acutirostris
7.924,0.20339,Processa bermudensis
6.3402,0.18721,Processa canaliculata
5.5408,0.16164,Processa edulis
5.2431,0.090956,Processa elegantula
9.0295,0.31206,Processa guyanae
10.397,0.39133,Processa hemphilli
5.2178,0.075791,Processa macrophthalma
6.3781,0.34243,Processa modica
6.7776,0.23491,Processa nouveli
6.1067,0.15095,Processa parva
7.7159,0.23522,Processa sulcata
7.5485,0.2209,Processa vicina
1.6113,1.0637,Procythereis robusta
4.6654,0.15963,Procythereis torquata
5.3664,0.074757,Prodajus ostendensis
4.4514,0.5138,Proharpinia antipoda
NaN,NaN,Projasus bahamondei
5.9712,0.16067,Projasus parkeri
5.2009,-0.027894,Promysis atlantica
2.9794,-0.65061,Promysis orientalis
5.9422,0.081766,Pronotonyx laevis
10.257,0.84574,Propagurus haigae
1.0531,1.9435,Prostebbingia brevicornis
1.1929,0.9351,Prostebbingia gracilis
1.0333,1.5557,Prostebbingia longicornis
87.241,-1.0763,Prostebbingia serrata
1.3951,2,Protanaissus longidactylus
6.5366,0.15686,Protohaustorius wigleyi
5.8362,0.17024,Protohyale (Boreohyale) camptonyx
6.8181,0.12593,Protohyale (Protohyale) saldanha
5.235,0.43385,Protomedeia articulata
5.4817,0.20633,Protomedeia fasciata
4.5271,0.38082,Protomedeia grandimana
4.2135,0.61736,Protomedeia prudens
5.2957,0.067035,Protophoxus australis
5.211,0.035498,Protopsammotopa norvegica
6.1422,1.9869,Psalidopus barbouri
3.1661,-1.1355,Psalidopus huxleyi
3.109,-1.3601,Psammokalliapseudes granulosus
5.3523,0.024872,Psammotopa phyllosetosa
6.3749,1.999,Psathyrocaris infirma
6.2066,0.090617,Psaumis cavipes
7.8548,0.23861,Pseudaeginella biscaynensis
7.7004,0.17631,Pseudambasia acuticaudata
5.645,0.17432,Pseudameira crassicornis
4.0899,1.0179,Pseudamphiascopsis herdmani
30.774,0.86887,Pseudanchialina inermis
1.5714,-1.9902,Pseudanchialina pusilla
4.6922,0.41841,Pseudarachna hirsuta
1.4822,1.913,Pseudaristeus sibogae
1.2528,0.92802,Pseudaugaptilus longiremis
1.6777,0.58778,Pseudaugaptilus polaris
1.0375,1.7876,Pseudericthonius gaussi
1.0058,1.2585,Pseudeuchaeta brevicauda
1.0669,1.945,Pseudeucythere filiornata
13.029,0.47734,Pseudeuphausia latifrons
6.0102,0.087411,Pseudevadne tergestina
3.5221,1.0069,Pseudhaloptilus eurygnathus
1.0102,1.581,Pseudharpinia antarctica
1.3398,1.9803,Pseudharpinia obtusifrons
1.5155,1.9787,Pseudidothea miersi
5.3471,-0.029833,Pseudione borealis
2.5119,1.2886,Pseudiphimediella glabra
1.3989,1.9223,Pseudiphimediella nodosa
1.9798,0.76063,Pseudischyrocerus distichon
2.3176,1.9573,Pseudoamallothrix emarginata
223.18,-1.9838,Pseudoamallothrix laminata
4.8112,0.11902,Pseudoamallothrix obtusifrons
13.458,0.74732,Pseudoamallothrix ovata
13.559,1.0485,Pseudoamallothrix profunda
10.585,0.42883,Pseudobosquetina mucronalata
5.3384,0.041233,Pseudobradya beduina
1.2824,1.2613,Pseudocalanus acuspes
5.7114,0.028658,Pseudocalanus elongatus
5.6625,0.021002,Pseudocalanus mimus
7.2698,0.73781,Pseudocalanus minutus
4.0415,0.59587,Pseudocalanus moultoni
5.9996,0.15291,Pseudocalanus newmani
5.3527,0.058547,Pseudocarcinus gigas
1.3265,1.9959,Pseudochirella hirsuta
1.3935,2,Pseudochirella mawsoni
7.1474,0.16605,Pseudochirella notacantha
1.2867,1.9933,Pseudochirella obtusa
300.24,-1.6742,Pseudochirella pustulifera
56.846,1.1356,Pseudoconchoecia concentrica
6.1127,0.15642,Pseudoconchoecia serrulata
5.5837,0.13873,Pseudocuma (Pseudocuma) longicorne
6.5827,0.49879,Pseudocuma (Pseudocuma) simile
2.7285,0.34597,Pseudocythere caudata
1.2189,1.9859,Pseudocythere similis
1.0821,1.8867,Pseudocythereis spinifera
2.2256,-1.4267,Pseudodiaptomus acutus
5.7928,-0.0068626,Pseudodiaptomus inopinus
5.0722,-0.0042469,Pseudodiaptomus marinus
5.1434,-0.023246,Pseudodiaptomus pelagicus
6.3741,0.17797,Pseudodromia rotunda
6.0405,0.25061,Pseudohaustorius borealis
5.6414,0.096093,Pseudohaustorius caroliniensis
6.3024,0.18075,Pseudoleptocuma minus
5.4861,0.043176,Pseudoliomera hellerii
4.941,0.005321,Pseudolirius kroyeri
NaN,NaN,Pseudolubbockia dilatata
5.9643,0.066215,Pseudomedaeus agassizi
7.2375,0.18986,Pseudomedaeus distinctus
1.8681,0.88553,Pseudomesus brevicornis
1.309,-1.8783,Pseudomicippe banfieldi
4.1714,1.0159,Pseudomma affine
NaN,NaN,Pseudomma armatum
4.5267,1.8436,Pseudomma belgicae
4.5183,0.2454,Pseudomma calmani
4.7943,0.040829,Pseudomma frigidum
4.8558,0.3554,Pseudomma nanum
4.8152,0.090092,Pseudomma roseum
2.1346,0.68665,Pseudomma sarsi
4.3369,0.2345,Pseudomma truncatum
11.214,0.47909,Pseudomyra mbizi
7.4609,-0.16196,Pseudonototanais bransfieldensis
4.2023,0.15098,Pseudonototanais werthi
3.7326,1.2625,Pseudonychocamptus proximus
6.4399,0.16224,Pseudopalicus acanthodactylus
7.767,0.39806,Pseudopalicus declivis
6.9082,0.26867,Pseudopalicus glaber
16.194,0.66328,Pseudopalicus investigatoris
7.4342,0.12823,Pseudopalicus oahuensis
7.2595,0.14534,Pseudopalicus serripes
1.9581,0.87268,Pseudopallene brevicollis
3.7537,0.82617,Pseudopallene circularis
1.0268,1.9079,Pseudopallene spinipes
6.4576,0.17201,Pseudopandalus curvirostris
5.4439,0.12347,Pseudoparatanais batei
1.0052,1.875,Pseudoparatanais brachycephalus
5.2855,0.11037,Pseudophaenna typica
7.3649,-0.24421,Pseudophilomedes ambon
5.3907,0.052114,Pseudophilomedes ferulana
5.5094,-0.67208,Pseudophilomedes polyancistra
5.8483,0.095806,Pseudophilomedes zeta
5.385,0.069856,Pseudoprotella phasma
1,1.6383,Pseudorchomene coatsi
1.0905,1.2547,Pseudorchomene plebs
1.1189,0.97076,Pseudorchomene rossi
14.267,0.58227,Pseudorhombila quadridentata
4.6902,0.14019,Pseudosphyrapus anomalus
4.8654,0.033088,Pseudosphyrapus serratus
6.3734,0.097664,Pseudosquilla ciliata
29.542,0.94198,Pseudosquillisma adiastalta
8.0869,0.26903,Pseudosquillisma oculata
1.0972,0.92655,Pseudotanais abyssi
7.6769,-0.25007,Pseudotanais denticulatus
3.9322,0.87912,Pseudotanais falcicula
2.8793,0.46419,Pseudotanais lilljeborgii
2.3079,1.8,Pseudotanais macrocheles
1.0651,1.9457,Pseudotanais nordenskioldi
7.1281,0.18261,Pseudunciola obliquua
7.315,1.308,Psopheticus stridulans
4.9865,0.01144,Psopheticus vocans
12.11,0.49098,Pterocypridina sex
3.9825,1.2287,Pteropeltarion novaezelandiae
9.4283,0.35978,Pterygocythereis alophia
5.1509,0.097676,Pterygocythereis jonesii
5.6717,-0.075072,Pterygocythereis mucronata
6.2468,0.4687,Pterygosquilla armata
6.3569,1.1118,Pterygosquilla capensis
5.3821,0.31385,Pterygosquilla schizodontia
5.3711,0.024393,Ptilanthura colpos
7.4683,0.21236,Ptilanthura tenuis
9.2396,0.29694,Puerulus angulatus
6.0537,0.14091,Puerulus quadridentis
22.345,0.73995,Puerulus velutinus
5.6703,0.035374,Pugettia incisa
4.8701,0.086975,Pugettia minor
4.8655,0.060482,Pugettia producta
4.8899,0.087049,Pugettia richii
4.9489,-0.047087,Pullosquilla litoralis
8.6489,0.33116,Puriana convoluta
8.7512,0.33327,Puriana floridana
14.403,-0.13818,Pycnogonum diceros
1.0271,0.99011,Pycnogonum gaini
5.7183,0.29296,Pycnogonum litorale
4.8532,0.20496,Pycnogonum platylophum
17.522,1.0512,Pycnoplax bispinosa
6.3149,0.15273,Pycnoplax meridionalis
17.591,0.77609,Pycnoplax surugensis
6.084,0.17377,Pycnoplax victoriensis
6.2892,-0.09107,Pylocheles mortensenii
13.94,0.55306,Pylopaguropsis keijii
16.695,0.66026,Pylopaguropsis zebra
10.481,0.41051,Pylopagurus discoidalis
19.613,0.76957,Pylopagurus pattiae
5.2051,0.049928,Pyrhila pisum
9.4891,0.36868,Pyromaia arachna
9.6141,0.39008,Pyromaia cuspidata
11.841,0.59704,Pyromaia tuberculata
5.9343,0.31956,Quadracythere amplioreticulata
11.836,0.31836,Quadrella coronata
9.0472,0.28256,Quadrella reticulata
1.8266,0.67107,Quasimelita formosa
9.3705,0.37318,Quollastria capricornae
8.4113,0.33644,Quollastria fossulata
11.926,0.38461,Quollastria gonypetes
6.5269,0.1277,Quollastria ornata
8.5665,0.26236,Quollastria subtilis
1,0.86088,Rabilimis mirabilis
1.1581,1.7425,Rabilimis septentrionalis
4.1428,1.3074,Racovitzanus antarcticus
14.564,1.5033,Racovitzanus levis
11.01,0.44768,Ranilia constricta
7.2976,0.20332,Ranilia muricata
6.8807,0.14759,Ranina ranina
10.297,0.39345,Raninoides laevis
16.753,0.6656,Raninoides lamarcki
9.1091,0.29925,Raninoides louisianensis
18.211,0.57509,Raninoides personatus
7.1534,0.18822,Raoulserenea hieroglyphica
1.3951,-1.6902,Raoulserenea ornata
4.9663,0.0091963,Raphidopus ciliatus
8.1221,0.25483,Ratania flava
3.8037,-0.62676,Rathbunixa pearsei
4.9158,-0.0064495,Rathbunixa sayana
8.3276,0.29361,Raymanninus schmitti
44.644,1.1746,Raymunida elegantissima
5.547,0.088111,Raymunida limbata
4.3827,-1.4274,Rectopalicus woodmasoni
6.3576,-0.046686,Regioscalpellum regium
11.969,0.32175,Remiarctus bertholdii
1.0428,1.9567,Retibythere (Bathybythere) scaberrima
7.1377,0.19359,Retropluma denticulata
7.7709,0.24448,Rhabdosoma whitei
1.4123,1.9152,Rhachotropis aculeata
3.8951,0.37795,Rhachotropis antarctica
5.6298,0.12972,Rhachotropis helleri
1.0682,1.8415,Rhachotropis inflata
5.339,-0.017134,Rhachotropis leucophthalma
4.6149,0.082733,Rhachotropis lomonosovi
1.0055,1.9327,Rhachotropis macropus
5.1834,0.28983,Rhachotropis oculata
1.3633,1.8937,Rhachotropis schellenbergi
NaN,NaN,Rhepoxynius boreovariatus
3.6777,1.743,Rhepoxynius daboius
7.3209,0.19654,Rhepoxynius epistomus
5.1035,0.38529,Rhepoxynius fatigans
6.6564,0.16919,Rhepoxynius hudsoni
5.4149,0.3439,Rhepoxynius stenodes
30.496,0.87657,Rhincalanus cornutus
2.4744,1.1428,Rhincalanus gigas
7.4858,0.22892,Rhincalanus rostrifrons
6.3168,-0.09454,Rhinoecetes coclearis
6.0967,0.12194,Rhinoecetes dinoceros
5.3472,-0.19056,Rhinoecetes meridianus
24.168,0.82671,Rhinolambrus cybelis
11.888,0.38487,Rhinolambrus longispinus
6.1008,0.085425,Rhithropanopeus harrisii
5.2638,0.10669,Rhizothrix curvata
5.1434,0.016855,Rhizothrix minuta
9.9801,0.4674,Rhodochirus rosaceus
3.9375,0.69253,Rhogobius contractus
7.2331,0.29449,Rhopalorhynchus filipes
5.3329,0.068459,Rhynchocinetes australis
6.4407,0.11802,Rhynchocinetes balssi
7.5302,0.21646,Rhynchocinetes brucei
8.1213,0.25271,Rhynchocinetes durbanensis
1.3252,1.7924,Rhynchothorax australis
4.5473,-0.51203,Rimapenaeus constrictus
20.82,0.73499,Rimapenaeus pacificus
7.9919,0.17797,Rimapenaeus similis
1.1077,1.9821,Rimicaris chacei
1.1077,1.9821,Rimicaris exoculata
1,1.3099,Rimicaris kairei
5.294,0.08607,Rissoides desmaresti
5.526,1.2144,Rissoides pallidus
7.2121,0.21568,Robertsella mystica
4.9533,0.02459,Robertsonia knoxi
4.8648,0.13979,Robertsonites tuberculatus
6.7453,0.15307,Robinione overstreerti
12.316,0.59068,Robustosergia regalis
11.728,0.64931,Robustosergia robusta
6.5823,-0.28218,Rochinia fultoni
6.9293,0.22832,Rochinia gracilipes
10.034,0.2504,Rochinia hystrix
5.9007,-0.27956,Rochinia mosaica
1.002,-1.9055,Rochinia pulchra
5.587,1.0622,Rocinela americana
2.2037,1.9873,Rocinela angustata
4.4322,0.79896,Rocinela belliceps
5.1673,0.12933,Rocinela danmoniensis
9.5237,0.33245,Rocinela signata
4.8915,0.086849,Romaleon antennarium
4.6685,0.34468,Romaleon branneri
5.6904,0.0014898,Romaleon gibbosulum
7.0268,-0.26381,Ronabus idios
12.888,0.54754,Rostratoverruca intexta
5.8522,0.052516,Rostratoverruca nexa
4.9012,0.03443,Rostroculodes borealis
3.9575,0.2037,Rostroculodes longirostris
13.832,0.74669,Rotundoecia teretivalvata
1.2576,1.1434,Roundstonia globulifera
1.5182,0.81759,Rozinante fragilis
4.5211,-0.61286,Rudilemboides naglei
5.202,0.11538,Rudilemboides stenopropodus
3.7854,0.28601,Ruffojassa georgiana
6.8922,0.15256,Rugathanas borradailei
3.707,-1.1461,Rutiderma darbyi
8.7167,0.3169,Rutiderma gyre
8.1187,0.29922,Rutiderma licina
10.701,0.42875,Rutiderma mollitum
1.9643,1.6518,Sabinea hystrix
4.8367,1.2017,Sabinea sarsii
1.9562,1.9999,Sabinea septemcarinata
5.4437,-0.01262,Sacculina pustulata
5.4437,-0.01262,Sacculina rathbunae
5.6022,0.0053425,Sacculina reniformis
1.0929,-1.9946,Sadayoshia edwardsii
5.4752,0.061574,Sadayoshia inermis
5.0888,0.0086459,Sadayoshia lipkei
5.206,0.022791,Sadayoshia tenuirostris
5.1629,0.045356,Saduria entomon
1.1055,1.4525,Saduria sabini
2.6657,0.45084,Saduria sibirica
5.9026,-0.32573,Sagmariasus verreauxi
6.3985,0.19166,Salemia coeca
5.7988,-0.17404,Saltipedis nugoris
4.4679,-0.053212,Santia milleri
7.8786,0.23364,Saphirella tropica
8.2212,0.24256,Sapphirina angusta
8.56,0.28039,Sapphirina auronitens
9.0297,0.3224,Sapphirina bicuspidata
5.4139,-0.034236,Sapphirina darwinii
9.2095,0.28443,Sapphirina gastrica
7.9488,0.23242,Sapphirina gemma
5.4474,-0.060473,Sapphirina intestinata
4.9882,-0.0157,Sapphirina iris
14.097,0.58584,Sapphirina metallina
7.5807,0.15482,Sapphirina nigromaculata
7.4709,0.19614,Sapphirina opalina
8.3394,0.27514,Sapphirina ovatolanceolata
5.4724,0.15813,Sapphirina sali
7.7388,0.20161,Sapphirina scarlata
7.0934,0.093063,Sapphirina stellata
3.9687,1.1677,Sarsameira exilis
4.2426,0.91806,Sarsameira parva
5.3682,0.0042795,Sarsamphiascus minutus
1.2802,1.851,Sarsamphiascus tenuiremis
4.3203,0.21714,Sarsicytheridea bradii
1.5133,0.62975,Sarsicytheridea macrolaminata
1.7649,0.97118,Sarsicytheridea punctillata
5.3874,0.10352,Sarsinebalia urgorrii
6.1202,0.018006,Scalopidia spinosipes
12.144,0.58135,Scalpellum gibbum
5.6828,0.11785,Scalpellum scalpellum
1.0047,-1.9203,Scambicornus idoneus
14.168,0.47612,Scammarctus batei
2.3428,1.866,Scaphocalanus affinis
6.9171,1.0042,Scaphocalanus amplius
1.389,1.9799,Scaphocalanus antarcticus
2.7343,1.9724,Scaphocalanus brevicornis
1.1744,1.604,Scaphocalanus brevirostris
5.9662,0.73742,Scaphocalanus cristatus
7.4928,0.32843,Scaphocalanus curtus
10.471,0.53773,Scaphocalanus echinatus
1.3781,1.8828,Scaphocalanus elongatus
1.2368,1.8905,Scaphocalanus farrani
2.3708,1.9987,Scaphocalanus magnus
3.6225,1.5676,Scaphocalanus medius
1.1631,1.298,Scaphocalanus parantarcticus
1,1.4176,Scaphocalanus subbrevicornis
7.1368,0.3223,Scaphocalanus subcurtus
1.3935,2,Scaphocalanus vervoorti
6.048,0.52283,Schistomysis kervillei
6.4936,0.42897,Schistomysis ornata
1.3373,0.59466,Schisturella pulchra
5.3076,0.043566,Schizobopyrina urocaridis
1.176,1.9969,Schizocuma spinoculatum
1.0619,1.9936,Schizocuma vemae
5.0495,-0.0047595,Schizophroida hilensis
8.2763,0.24744,Schizophrys dama
45.121,1.1017,Schizophrys rufescens
5.141,0.02806,Schizotrema aculeatum
1.0159,1.5315,Schraderia gracilis
4.2007,0.46716,Scillaelepas fosteri
1.6807,0.72623,Scina antarctica
3.6307,1.1528,Scina borealis
5.4609,0.052942,Scina crassicornis
5.7317,1.5355,Scina curvidactyla
9.8648,0.38176,Scina damasi
6.2844,-0.10635,Scina incerta
8.405,-0.74769,Scina oedicarpus
4.6544,0.33363,Scina rattrayi
5.2148,0.15828,Scina spinosa
2.9936,1.3684,Scina tullbergi
3.2931,1.0108,Scina vosseleri
19.406,-1.4407,Scina wolterecki
7.6641,0.34298,Scintillosergia scintillans
4.9121,0.11929,Sclerochilus contortus
25.2,0.37549,Scleroconcha gallardoi
0.2851,1.3068,Scleroconcha ruffi
NaN,NaN,Scleroconcha trituberculata
2.721,1.3754,Sclerocrangon boreas
1.0027,1.4449,Sclerocrangon ferox
4.8438,0.048363,Scleroplax granulata
4.7331,0.6195,Scleroplax schmitti
14.682,-0.014231,Scolecithricella abyssalis
7.457,0.22957,Scolecithricella dentata
13.026,0.67625,Scolecithricella longifurca
7.2207,0.17694,Scolecithricella longispinosa
17.878,0.6459,Scolecithricella marginata
9.9548,0.16494,Scolecithricella minor
5.2294,-0.01209,Scolecithricella nicobarica
6.8578,0.15758,Scolecithricella orientalis
9.5054,0.40315,Scolecithricella vittata
15.123,0.0088985,Scolecithrix bradyi
18.227,0.61648,Scolecithrix danae
45.454,1.1241,Scolecitrichopsis ctenopus
233.42,-0.53908,Scolecitrichopsis polaris
4.0085,-0.68466,Scopalatum dubia
6.4335,0.37943,Scopelocheirus hopei
5.2664,0.029813,Scopimera globosa
12.929,0.48498,Scopolius nuttingi
7.0424,0.089417,Scottocalanus helenae
92.699,-1.35,Scottocalanus persecans
9.9066,0.44723,Scottocalanus securifrons
7.5362,-0.60803,Scottocalanus thori
7.657,-0.30963,Scottoecia darcythompsoni
5.1908,0.0060249,Scylla serrata
8.1717,0.25129,Scyllarides aequinoctialis
6.3273,0.17457,Scyllarides elisabethae
16.783,0.58913,Scyllarides haanii
36.924,1.3556,Scyllarides herklotsii
6.7458,-0.73999,Scyllarides latus
7.333,0.2128,Scyllarides nodifer
11.826,0.46887,Scyllarides squammosus
6.1141,0.096034,Scyllarus americanus
10.189,0.56884,Scyllarus arctus
12.716,0.5143,Scyllarus caparti
11.59,0.45012,Scyllarus chacei
8.0705,0.26772,Scyllarus depressus
21.681,0.8007,Scyllarus planorbis
5.5658,0.12082,Scyllarus pygmaeus
3.7088,0.58968,Scypholanceola aestiva
5.7583,0.43127,Scyramathia carpenteri
6.5368,0.11206,Scytoleptus serripes
1.0167,1.464,Seba antarctica
1.1154,0.94038,Seba dubia
5.1941,0.070155,Seba saundersii
1.3436,1.9836,Seba subantarctica
1.1318,1.9457,Segonzacia mesatlantica
1.411,0.72506,Semicytherura affinis
1.2722,1.2733,Semicytherura complanata
3.6764,0.197,Semicytherura concentrica
4.6213,0.17012,Semicytherura mainensis
4.8485,0.11397,Semicytherura undata
5.4311,-0.23586,Serenepilumnus pisifer
10.105,0.40159,Sergestes atlanticus
11.269,0.63023,Sergia laminata
6.4555,0.94386,Sergia tenuiremis
1.402,1.8347,Sericosura heteroscela
4.0832,0.79899,Serolella bouvieri
0.82357,1.2044,Serolella pagenstecheri
5.7288,-0.19271,Serolina acaste
8.0533,1.0324,Serolina clarella
5.1927,0.011434,Serolina minuta
5.2872,0.026276,Serolina nepea
5.3855,0.072874,Serolina orriella
5.8094,0.06959,Sesarma reticulatum
8.8492,0.28071,Seulocia pubescens
5.9714,0.050605,Seulocia rhomboidalis
4.9831,-0.66866,Sheardella kapala
6.7212,0.21449,Sheardia antennata
5.205,0.017352,Shoemakerella barnardi
5.2684,-0.49621,Shoemakerella cubensis
5.3803,0.39079,Sicameira leptoderma
12.362,0.71239,Sicyonia altirostrum
6.0829,0.11222,Sicyonia australiensis
6.8751,0.18796,Sicyonia benthophila
3.3933,-0.29254,Sicyonia bispinosa
7.8927,0.17508,Sicyonia brevirostris
16.351,0.62293,Sicyonia burkenroadi
6.0394,0.15885,Sicyonia carinata
11.322,0.9017,Sicyonia curvirostris
4.9784,1.7872,Sicyonia dejouanneti
21.763,0.77297,Sicyonia disdorsalis
16.632,0.67365,Sicyonia disedwardsi
8.778,0.23601,Sicyonia dorsalis
6.4465,0.19613,Sicyonia fallax
6.1547,0.050246,Sicyonia furcata
12.858,0.55765,Sicyonia galeata
6.8398,0.1158,Sicyonia inflexa
14.767,0.52824,Sicyonia japonica
7.7091,0.22411,Sicyonia laevigata
13.413,0.47233,Sicyonia lancifer
17.469,0.64772,Sicyonia martini
14.038,0.54782,Sicyonia ocellata
1,-1.9331,Sicyonia parafallax
4.1855,-0.5656,Sicyonia parri
26.408,1.1902,Sicyonia picta
5.9776,0.054717,Sicyonia rectirostris
11.042,0.45054,Sicyonia stimpsoni
6.2713,-0.079115,Sicyonia truncata
2.3711,-1.8008,Sicyonia typica
10.183,0.36075,Simocarcinus pyramidatus
4.9152,0.11439,Sinocorophium heteroceratum
6.4605,0.47108,Siphonoecetes smithianus
3.9854,0.20492,Siphonoecetes typicus
1,-1.8104,Siriella aequiremis
5.4164,0.04733,Siriella armata
5.0577,0.018696,Siriella australis
5.3877,0.082278,Siriella clausii
166.75,1.8245,Siriella dubia
170.77,1.3469,Siriella gracilis
5.4143,0.066824,Siriella jaltensis
5.3255,0.066867,Siriella norvegica
6.7213,0.088722,Siriella thompsonii
7.3056,0.79744,Skaptopus brychius
8.1421,0.28198,Skogsbergia lerneri
5.4973,-0.050633,Skogsbergia megalops
7.0261,-0.091653,Skogsbergia tenax
6.4674,0.17387,Skuphonura lindae
1.6257,1.9676,Smilium acutum
1.8537,1.8259,Smilium zancleanum
NaN,NaN,Socarnes bidenticulatus
5.5132,0.20372,Socarnes erythrophthalmus
5.5583,0.15103,Socarnes filicornis
1.1191,1.8754,Socarnes vahlii
4.778,0.022854,Socarnoides kergueleni
10.379,0.34519,Solenocera acuminata
8.5903,0.15147,Solenocera algoensis
7.8331,0.24471,Solenocera alticarinata
12.124,0.47544,Solenocera atlantidis
7.3969,1.9538,Solenocera barunajaya
8.715,0.27359,Solenocera choprai
14.119,0.46701,Solenocera comata
5.8206,0.03827,Solenocera crassicornis
5.8233,-0.43318,Solenocera faxoni
10.207,0.40522,Solenocera koelbeli
8.8728,0.24261,Solenocera melantho
9.9863,0.39654,Solenocera necopina
10.894,0.34886,Solenocera pectinata
13.304,0.56606,Solenocera pectinulata
13.211,0.45672,Solenocera rathbuni
9.779,0.41011,Solenocera vioscai
7.3822,0.21679,Solenolambrus tenellus
9.2132,0.35094,Solenolambrus typicus
9.6756,0.43974,Solenopagurus lineatus
6.7744,0.14598,Solidobalanus auricoma
5.6222,0.050812,Solidobalanus merrilli
5.1921,-0.027967,Soliella flava
5.1594,0.018171,Soliella melanospinis
5.6644,0.074582,Speloeophorus nodosus
5.8304,0.073091,Speloeophorus pontifer
23.939,0.83479,Speocarcinus carolinensis
3.4405,-1.4035,Speocarcinus lobatus
46.109,1.2387,Speocarcinus meloi
5.3799,0.041876,Speziorchestia grillus
1.0275,-1.9902,Sphaeroma annandalei
5.5352,0.068259,Sphaeroma quadridentatum
5.2855,0.0023761,Sphaeroma serratum
5.1365,0.03237,Sphaerozius nitidus
9.8669,0.44431,Sphenocarcinus corrosus
1.662,0.93379,Sphyrapus malleolus
12.084,0.59344,Spinocalanus abyssalis
1.1629,1.4432,Spinocalanus antarcticus
42.402,-0.25257,Spinocalanus brevicaudatus
1.2665,1.1823,Spinocalanus elongatus
1.0979,0.79811,Spinocalanus horridus
22.826,-0.45584,Spinocalanus longicornis
12.196,0.97998,Spinocalanus magnus
3.2309,0.24288,Spinocalanus polaris
2.2526,1.9139,Spinocalanus spinosus
9.8259,0.36332,Spinolambrus fraterculus
14.755,0.65803,Spinolambrus notialis
8.4316,0.3097,Spinolambrus pourtalesii
5.357,0.14034,Spinoncaea ivlevi
5.3625,0.28912,Spinosapseudes setosus
2.9218,1.0134,Spirontocaris arcuata
1.8876,1.9928,Spirontocaris holmesi
4.8532,1.2302,Spirontocaris liljeborgii
5.1117,0.019484,Spirontocaris pectinifera
1.9157,1.9919,Spirontocaris phippsii
NaN,NaN,Spirontocaris sica
3.1849,1.6366,Spirontocaris spinus
5.2013,-1.1902,Spiropagurus fimbriatus
6.8349,0.12418,Spiropagurus spiriger
6.1196,0.28599,Spongiaxius novaezealandiae
7.4891,0.24607,Spongicola andamanicus
7.4463,0.28971,Spongicola levigatus
1.6715,1.0191,Spongicoloides novaezelandiae
11.907,0.46105,Squilla aculeata
5.8778,0.12651,Squilla brasiliensis
16.369,0.74965,Squilla cadenati
9.7822,0.71736,Squilla caribaea
8.1218,0.23526,Squilla chydaea
8.7891,0.24612,Squilla deceptrix
9.2185,0.35169,Squilla discors
10.745,0.47936,Squilla edentata
8.5326,0.21711,Squilla empusa
5.8046,-0.4502,Squilla grenadensis
9.3421,0.54788,Squilla intermedia
36.549,1.1447,Squilla lijdingi
17.823,0.65826,Squilla mantis
14.714,0.57215,Squilla obtusa
9.6006,0.33412,Squilla rugosa
5.8894,-0.49884,Stegidotea pinnata
4.9655,0.67199,Stegocephaloides christianiensis
1.5271,0.84745,Stegocephalus ampulla
2.1699,1.9837,Stegocephalus inflatus
4.8252,0.039557,Stegocephalus similis
1.1203,0.92411,Stegopanoploea joubini
4.785,0.071921,Stegoplax longirostris
1.3955,1.9999,Stegosoladidus ingens
5.1756,0.012706,Stenetrium armatum
5.6307,0.64663,Stenhelia (Delavalia) reflexa
4.0174,1.0347,Stenhelia gibba
5.244,-0.041012,Stenocaris kliei
5.2888,-0.058108,Stenocaris minor
7.1883,0.19531,Stenocionops coelatus
9.7128,0.33653,Stenocionops furcatus
10.134,0.42429,Stenocionops spinimanus
6.2072,-0.24103,Stenopleura atlantica
7.2167,0.48238,Stenopleustes inermis
5.6014,0.19229,Stenopleustes nodifera
4.3556,-0.88238,Stenopus hispidus
9.7651,0.34354,Stenopus scutellatus
5.9354,-0.69641,Stenopus spinosus
9.5522,0.32759,Stenorhynchus seticornis
5.0202,-0.26977,Stenosoma capito
5.0386,0.04629,Stenosoma lancifer
7.5867,-0.24012,Stenotanais crassiseta
6.5,0.11796,Stenotanais hamicauda
6.4667,0.14852,Stenothoe georgiana
5.6082,0.85038,Stenothoe marina
5.2531,0.04435,Stenothoe miersi
5.4646,0.040298,Stenothoe minuta
5.4383,0.71383,Stenothoe monoculoides
5.432,0.03082,Stenothoe valida
6.1864,-0.30507,Stephonyx pirloti
1.1179,1.741,Stephos longipes
7.5414,0.26221,Stereomastis aculeata
1.3156,1.8054,Stereomastis auriculata
1.0049,-1.313,Stereomastis galil
2.7036,1.9777,Stereomastis helleri
2.2406,1.9307,Stereomastis nana
2.5329,1.9905,Stereomastis suhmi
5.9783,1.3787,Stereomastis surda
