ac,eo,species
4.1498,0.45445,Aeginella spinosa
7.0896,0.29148,Aeginina longicornis
1.0604,1.8469,Aeginoides gaussi
6.4898,0.37312,Aegiochus antarctica
5.6256,-0.50362,Aegiochus coroo
2.3574,0.61392,Aegiochus glacialis
1.9122,0.92027,Aegiochus gracilipes
1.5105,1.9077,Aegiochus ventrosa
8.0165,0.21743,Aegiochus vigilans
8.1098,0.23324,Aegisthus mucronatus
5.1169,0.024055,Aenigmathura lactanea
11.789,0.51077,Aepinus septemspinosus
2.0247,0.55157,Aetideopsis antarctica
1.1856,1.982,Aetideopsis minor
1.3792,1.8936,Aetideopsis multiserrata
4.46,0.20584,Aetideopsis rostrata
5.5845,0.28316,Aetideopsis tumorosa
11.67,0.45881,Aetideus acutus
16.144,0.5866,Aetideus armatus
3.925,0.61581,Aetideus australis
4.0593,-1.3371,Aetideus bradyi
3.0382,1.3677,Aetideus divergens
9.9905,0.31354,Aetideus giesbrechti
5.9524,0.2707,Aetideus pseudarmatus
5.2496,0.040523,Aetiopedes gracilis
5.9598,0.46418,Africorchestia quadrispinosa
5.3725,-0.59247,Afrophila punctata
7.2378,0.075246,Agaricochirus alexandri
5.2191,0.47029,Agathotanais ingolfi
7.6217,0.18533,Agetus flaccus
7.2839,0.20213,Agetus limbatus
6.3369,0.11382,Agetus typicus
10.162,0.38864,Agolambrus agonus
16.133,1.0694,Agononida analoga
6.6696,0.20218,Agononida callirrhoe
1.1809,1.9999,Agononida eminens
8.9173,0.3462,Agononida longipes
32.264,-0.68041,Agononida longispinata
5.9838,0.17526,Agononida marini
4.3176,0.85083,Agononida nielbrucei
8.8871,0.30347,Agononida normani
7.0465,0.15247,Agononida ocyrhoe
3.3353,1.7593,Agononida procera
6.2396,0.052637,Agononida rubrizonata
6.0074,0.42905,Agononida sabatesae
15.138,0.56874,Agononida similis
6.5511,0.16607,Agononida sphecia
14.555,1.0633,Agononida squamosa
1.0008,-1.9545,Agononida variabilis
3.0597,1.2009,Agrenocythere hazeli
5.0814,-6.66E-05,Akanthinotanais mortenseni
5.2189,0.10693,Akanthophoreus gracilis
2.4575,1.8629,Akanthophoreus phillipsi
1.1603,1.9416,Alacia belgicae
1.2505,1.914,Alacia hettacra
1.0873,1.9721,Alacia valdiviae
7.575,0.25818,Alainodaeus rimatara
4.7587,1.0386,Alainopasiphaea australis
6.2923,0.556,Alamprops quadriplicatus
7.1694,0.18847,Albunea gibbesii
9.2731,0.33925,Albunea groeningi
2.9501,-1.0236,Albunea marquisiana
6.5899,0.090433,Albunea paretii
1.0531,-1.9448,Albunea speciosa
6.5143,0.14885,Albunea symmysta
1.2033,0.95517,Alexandrella dentata
1.0436,0.93838,Alexandrella schellenbergi
16.481,0.57541,Aliaporcellana suluensis
8.1724,0.29036,Allactaea lithostrota
6.1825,0.14698,Allodiastylis hirtipes
5.6775,0.10727,Allodiastylis johnstoni
12.711,0.44189,Allogalathea elegans
6.7649,0.17901,Alloleptochelia longimana
11.145,0.43076,Allosergestes pectinatus
12.754,0.54332,Allosergestes sargassi
1.4362,1.9034,Allotanais hirsutus
7.834,0.26568,Almyracuma proximoculi
1.0745,-1.9609,Alox rugosum
5.1402,-0.0099359,Alpheopsis labis
6.1679,0.12985,Alpheopsis trispinosa
6.6756,0.14403,Alpheopsis yaldwyni
32.234,0.92093,Alpheus acutocarinatus
12.556,0.46181,Alpheus acutofemoratus
5.2755,0.029476,Alpheus alcyone
16.104,0.59879,Alpheus amarillo
5.1269,-0.01147,Alpheus amblyonyx
3.883,-0.67312,Alpheus angulosus
5.0712,0.0098306,Alpheus armatus
4.4665,-0.10903,Alpheus armillatus
8.225,0.23059,Alpheus bahamensis
5.1129,-0.0087746,Alpheus bidens
8.8066,0.2763,Alpheus bisincisus
13.537,0.50325,Alpheus bouvieri
5.0737,0.0029091,Alpheus brevicristatus
7.6261,0.19998,Alpheus chiragricus
7.577,0.17099,Alpheus collumianus
1.159,-1.968,Alpheus crinitus
8.049,0.21452,Alpheus cristulifrons
6.775,0.13044,Alpheus diadema
4.9314,-0.029619,Alpheus digitalis
16.831,0.60701,Alpheus edamensis
5.8511,0.095279,Alpheus estuariensis
3.0239,-1.3468,Alpheus floridanus
5.4047,-0.0015714,Alpheus formosus
9.242,0.28764,Alpheus frontalis
6.2278,0.22624,Alpheus glaber
10.349,0.36189,Alpheus gracilipes
5.7905,0.034989,Alpheus hailstonei
5.3555,-0.027337,Alpheus heterocarpus
2.6194,-1.4432,Alpheus heterochaelis
5.5184,0.052166,Alpheus intrinsecus
5.3724,-0.021196,Alpheus japonicus
7.8559,-0.12372,Alpheus macrocheles
15.458,1.9999,Alpheus macroskeles
14.348,0.55784,Alpheus maindroni
9.0429,0.24949,Alpheus malabaricus
3.8304,-0.16439,Alpheus miersi
6.0567,0.089279,Alpheus normanni
5.5591,0.01547,Alpheus packardii
3.2635,-0.9129,Alpheus paralcyone
5.2338,0.023952,Alpheus parasocialis
5.4549,-0.0056465,Alpheus pareuchirus
1.8123,-1.691,Alpheus rapacida
6.7502,0.14376,Alpheus sizou
5.2383,0.040366,Alpheus socialis
8.4043,0.24352,Alpheus spongiarum
8.4321,0.24043,Alpheus strenuus
5.7596,0.049017,Alpheus sulcatus
7.0983,0.16894,Alpheus viridari
1,1.2491,Altelatipes carinatus
19.336,0.67467,Alternochelata nealei
7.9264,0.31188,Alternochelata sikorai
5.3874,0.0456,Alteutha depressa
5.4192,0.11617,Alteutha interrupta
6.4664,0.17699,Altiverruca cristallina
2.1752,1.8389,Altiverruca navicula
NaN,NaN,Altiverruca nitida
6.5752,0.55579,Altopontonia disparostris
1.2476,1.8298,Alvinocaris longirostris
1.1077,1.9821,Alvinocaris markensis
6.5802,-0.0094817,Alvinocaris muricola
6.5456,0.0029534,Alvinocaris niwa
6.6709,0.25428,Amakusanthura africana
6.4223,0.12524,Amakusanthura agonis
8.5466,0.16636,Amakusanthura magnifica
5.5993,0.079384,Amakusanthura olearia
1.0013,1.9025,Amallothrix dentipes
2.0741,1.6889,Amallothrix gracilis
1.0053,1.214,Amallothrix paravalida
2.6729,0.64571,Amallothrix polaris
5.1971,0.090915,Amallothrix propinqua
7.2288,0.20215,Amallothrix tenuiserrata
4.7501,1.0194,Amallothrix tropica
1.0344,1.818,Amallothrix valida
5.7377,-0.20533,Amaryllis carrascoi
5.4837,0.12244,Amaryllis dianae
6.1535,-0.52263,Amaryllis kamata
5.2695,0.036933,Amaryllis keablei
6.2344,0.14005,Amaryllis macrophthalma
3.0442,0.30258,Amathillopsis spinigera
7.5684,0.23073,Amathimysis brattegardi
3.9828,0.20546,Ambasiella murmanica
12.814,0.46976,Ambidexter symmetricus
4.1666,-1.0461,Amboleberis americana
5.1521,0.040102,Ambostracon pumilum
5.1446,0.015836,Ambunguipes rufocincta
5.2833,0.042279,Ameira longipes
5.3389,0.24773,Ameiropsis brevicornis
13.028,0.48044,Americamysis bahia
5.5283,0.00678,Americamysis bigelowi
6.0788,0.057683,Americhelidium americanum
5.9917,0.35001,Americhelidium rectipalmum
4.6759,0.52169,Americorophium brevis
NaN,NaN,Americorophium salmonis
6.4552,0.14733,Ameroculodes edwardsi
5.1662,1.0361,Amigdoscalpellum costellatum
5.2205,0.020158,Amigdoscalpellum hispidum
2.9326,1.0457,Amigdoscalpellum rigidum
1.1898,0.9903,Ammothea allopodes
3.4648,0.96888,Ammothea calmani
1.0108,1.1022,Ammothea carolinensis
1.3142,0.91118,Ammothea clausi
1.0198,1.9977,Ammothea gigantea
1.0262,1.2033,Ammothea glacialis
1.4321,1.011,Ammothea longispina
5.2613,0.043085,Ammothea magniceps
1.0105,1.125,Ammothea meridionalis
1.0932,0.91833,Ammothea minor
1.0483,1.9321,Ammothea spinosa
1.6128,0.74483,Ammothea striata
5.6809,0.12119,Ammothella longipes
5.6257,0.033816,Ammothella rugulosa
3.3061,-0.20552,Ammothella stauromata
5.5571,0.020701,Ampelisca abdita
5.4057,0.06802,Ampelisca aequicornis
7.7412,0.22797,Ampelisca agassizi
1.822,1.7517,Ampelisca amblyops
6.6335,0.64861,Ampelisca anomala
1.1679,0.95236,Ampelisca antarctica
1.0649,1.2188,Ampelisca anversensis
5.105,0.051234,Ampelisca armoricana
6.6284,0.16672,Ampelisca australis
1.5046,0.98225,Ampelisca barnardi
4.0314,-1.1175,Ampelisca bicarinata
3.3718,0.48905,Ampelisca birulai
5.2714,-0.0097738,Ampelisca bocki
1.1032,0.91228,Ampelisca bouvieri
3.9871,0.90978,Ampelisca bransfieldi
