family,hook,leader,location,flagstate,source,group,sample_size,estimate,scientific_name,gear_class,max_size_cm,median_depth,reproductive_mode,ventilation_method,estimate_type,redlist_category,genus,ac,habitat
Lamnidae,j,mono,Hawaii,USA,Gilman et al (2022),Sharks,5,0,Isurus paucus,longline,427,876,matrotrophic viviparity,ram,at-vessel mortality,,Isurus,10.319,pelagic
Carcharhinidae,j,mono,Hawaii,USA,Gilman et al (2022),Sharks,96,0.15625,Carcharhinus longimanus,longline,350,541,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,9.5821,pelagic
Dasyatidae,j,mono,Hawaii,USA,Gilman et al (2022),Batoids,172,0.4011627906976744,Pteroplatytrygon violacea,longline,163.5,190.5,matrotrophic viviparity,stationary,at-vessel mortality,,Pteroplatytrygon,8.2973,pelagic
Alopiidae,j,mono,Hawaii,USA,Gilman et al (2022),Sharks,19,0.21052631578947367,Alopias pelagicus,longline,428,150,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,9.7281,pelagic
Lamnidae,j,mono,Hawaii,USA,Gilman et al (2022),Sharks,17,0.1176470588235294,Isurus oxyrinchus,longline,445,375,matrotrophic viviparity,ram,at-vessel mortality,,Isurus,13.922,pelagic
Carcharhinidae,j,mono,Hawaii,USA,Gilman et al (2022),Sharks,30,0.1,Carcharhinus falciformis,longline,350,250,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,10.089,pelagic
Somniosidae,j,mono,Hawaii,USA,Gilman et al (2022),Sharks,7,0.14285714285714285,Scymnodon ichiharai,longline,151.1,640,lecithotrophic viviparity,stationary,at-vessel mortality,,Scymnodon,3.9064,pelagic
Alopiidae,j,other,Hawaii,USA,Gilman et al (2022),Sharks,11,0.09090909090909093,Alopias superciliosus,longline,484,361.5,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,11.023,pelagic
Carcharhinidae,j,other,Hawaii,USA,Gilman et al (2022),Sharks,581,0.03614457831325301,Prionace glauca,longline,383.5,500,matrotrophic viviparity,ram,at-vessel mortality,,Prionace,8.6017,pelagic
Dalatiidae,j,other,Hawaii,USA,Gilman et al (2022),Sharks,1,1,Isistius brasiliensis,longline,42,1850,lecithotrophic viviparity,ram,at-vessel mortality,,Isistius,15.604,pelagic
Pseudocarchariidae,j,other,Hawaii,USA,Gilman et al (2022),Sharks,5,0.4,Pseudocarcharias kamoharai,longline,122,295,matrotrophic viviparity,ram,at-vessel mortality,,Pseudocarcharias,5.2458,pelagic
Carcharhinidae,j,other,Hawaii,USA,Gilman et al (2022),Sharks,50,0.18,Carcharhinus longimanus,longline,350,541,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,9.5821,pelagic
Dasyatidae,j,other,Hawaii,USA,Gilman et al (2022),Batoids,68,0.3235294117647059,Pteroplatytrygon violacea,longline,163.5,190.5,matrotrophic viviparity,stationary,at-vessel mortality,,Pteroplatytrygon,8.2973,pelagic
Alopiidae,j,other,Hawaii,USA,Gilman et al (2022),Sharks,2,1,Alopias pelagicus,longline,428,150,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,9.7281,pelagic
Lamnidae,j,other,Hawaii,USA,Gilman et al (2022),Sharks,14,0.21428571428571427,Isurus oxyrinchus,longline,445,375,matrotrophic viviparity,ram,at-vessel mortality,,Isurus,13.922,pelagic
Carcharhinidae,j,other,Hawaii,USA,Gilman et al (2022),Sharks,27,0.2962962962962963,Carcharhinus falciformis,longline,350,250,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,10.089,pelagic
Somniosidae,j,other,Hawaii,USA,Gilman et al (2022),Sharks,1,0,Scymnodon ichiharai,longline,151.1,640,lecithotrophic viviparity,stationary,at-vessel mortality,,Scymnodon,3.9064,pelagic
Alopiidae,j,wire,Hawaii,USA,Gilman et al (2022),Sharks,2063,0.22103732428502185,Alopias superciliosus,longline,484,361.5,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,11.023,pelagic
Carcharhinidae,j,wire,Hawaii,USA,Gilman et al (2022),Sharks,3,0.6666666666666666,Carcharhinus altimus,longline,300,405,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,17.283,pelagic
Carcharhinidae,j,wire,Hawaii,USA,Gilman et al (2022),Sharks,29885,0.07318052534716413,Prionace glauca,longline,383.5,500,matrotrophic viviparity,ram,at-vessel mortality,,Prionace,8.6017,pelagic
Alopiidae,j,wire,Hawaii,USA,Gilman et al (2022),Sharks,3,0,Alopias vulpinus,longline,573.3,325,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,8.7014,pelagic
Dalatiidae,j,wire,Hawaii,USA,Gilman et al (2022),Sharks,3,0.3333333333333333,Isistius brasiliensis,longline,42,1850,lecithotrophic viviparity,ram,at-vessel mortality,,Isistius,15.604,pelagic
Pseudocarchariidae,j,wire,Hawaii,USA,Gilman et al (2022),Sharks,706,0.3696883852691218,Pseudocarcharias kamoharai,longline,122,295,matrotrophic viviparity,ram,at-vessel mortality,,Pseudocarcharias,5.2458,pelagic
Carcharhinidae,j,wire,Hawaii,USA,Gilman et al (2022),Sharks,40,0.25,Carcharhinus obscurus,longline,420,250,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,7.0963,pelagic
Carcharhinidae,j,wire,Hawaii,USA,Gilman et al (2022),Sharks,6,0.16666666666666666,Carcharhinus galapagensis,longline,300,143,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,7.0985,pelagic
Carcharhinidae,j,wire,Hawaii,USA,Gilman et al (2022),Sharks,18,0.1111111111111111,Carcharhinus amblyrhynchos,longline,265,137.5,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,6.8746,pelagic
Lamnidae,j,wire,Hawaii,USA,Gilman et al (2022),Sharks,61,0.39344262295081966,Isurus paucus,longline,427,876,matrotrophic viviparity,ram,at-vessel mortality,,Isurus,10.319,pelagic
Carcharhinidae,j,wire,Hawaii,USA,Gilman et al (2022),Sharks,1251,0.2973621103117506,Carcharhinus longimanus,longline,350,541,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,9.5821,pelagic
Dasyatidae,j,wire,Hawaii,USA,Gilman et al (2022),Batoids,2386,0.3948030176026823,Pteroplatytrygon violacea,longline,163.5,190.5,matrotrophic viviparity,stationary,at-vessel mortality,,Pteroplatytrygon,8.2973,pelagic
Alopiidae,j,wire,Hawaii,USA,Gilman et al (2022),Sharks,244,0.4180327868852459,Alopias pelagicus,longline,428,150,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,9.7281,pelagic
Lamnidae,j,wire,Hawaii,USA,Gilman et al (2022),Sharks,16,0.625,Lamna ditropis,longline,305,325,matrotrophic viviparity,ram,at-vessel mortality,,Lamna,6.2338,pelagic
Carcharhinidae,j,wire,Hawaii,USA,Gilman et al (2022),Sharks,13,0.07692307692307693,Carcharhinus plumbeus,longline,243,140,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,15.327,pelagic
Sphyrnidae,j,wire,Hawaii,USA,Gilman et al (2022),Sharks,14,0.42857142857142855,Sphyrna lewini,longline,430,521.5,matrotrophic viviparity,ram,at-vessel mortality,,Sphyrna,14.608,pelagic
Lamnidae,j,wire,Hawaii,USA,Gilman et al (2022),Sharks,441,0.16326530612244897,Isurus oxyrinchus,longline,445,375,matrotrophic viviparity,ram,at-vessel mortality,,Isurus,13.922,pelagic
Carcharhinidae,j,wire,Hawaii,USA,Gilman et al (2022),Sharks,955,0.38952879581151834,Carcharhinus falciformis,longline,350,250,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,10.089,pelagic
Sphyrnidae,j,wire,Hawaii,USA,Gilman et al (2022),Sharks,10,0.2,Sphyrna zygaena,longline,400,100,matrotrophic viviparity,ram,at-vessel mortality,,Sphyrna,10.906,pelagic
Carcharhinidae,j,wire,Hawaii,USA,Gilman et al (2022),Sharks,12,0.25,Galeocerdo cuvier,longline,740,556,matrotrophic viviparity,ram,at-vessel mortality,,Galeocerdo,12.342,pelagic
Somniosidae,j,wire,Hawaii,USA,Gilman et al (2022),Sharks,64,0.34375,Scymnodon ichiharai,longline,151.1,640,lecithotrophic viviparity,stationary,at-vessel mortality,,Scymnodon,3.9064,pelagic
Alopiidae,j,mono,Hawaii,USA,Gilman et al (2022),Sharks,8,0,Alopias superciliosus,longline,484,361.5,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,11.023,pelagic
Carcharhinidae,j,mono,Hawaii,USA,Gilman et al (2022),Sharks,506,0.06521739130434782,Prionace glauca,longline,383.5,500,matrotrophic viviparity,ram,at-vessel mortality,,Prionace,8.6017,pelagic
Pseudocarchariidae,j,mono,Hawaii,USA,Gilman et al (2022),Sharks,1,1,Pseudocarcharias kamoharai,longline,122,295,matrotrophic viviparity,ram,at-vessel mortality,,Pseudocarcharias,5.2458,pelagic
Carcharhinidae,j,mono,Hawaii,USA,Gilman et al (2022),Sharks,20,0.15,Carcharhinus longimanus,longline,350,541,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,9.5821,pelagic
Dasyatidae,j,mono,Hawaii,USA,Gilman et al (2022),Batoids,11,0.09090909090909093,Pteroplatytrygon violacea,longline,163.5,190.5,matrotrophic viviparity,stationary,at-vessel mortality,,Pteroplatytrygon,8.2973,pelagic
Lamnidae,j,mono,Hawaii,USA,Gilman et al (2022),Sharks,1,0,Isurus oxyrinchus,longline,445,375,matrotrophic viviparity,ram,at-vessel mortality,,Isurus,13.922,pelagic
Carcharhinidae,j,mono,Hawaii,USA,Gilman et al (2022),Sharks,2,0,Carcharhinus falciformis,longline,350,250,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,10.089,pelagic
Sphyrnidae,j,mono,Hawaii,USA,Gilman et al (2022),Sharks,1,0,Sphyrna zygaena,longline,400,100,matrotrophic viviparity,ram,at-vessel mortality,,Sphyrna,10.906,pelagic
Alopiidae,j,wire,Hawaii,USA,Gilman et al (2022),Sharks,6,0.5,Alopias superciliosus,longline,484,361.5,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,11.023,pelagic
Carcharhinidae,j,wire,Hawaii,USA,Gilman et al (2022),Sharks,44,0,Prionace glauca,longline,383.5,500,matrotrophic viviparity,ram,at-vessel mortality,,Prionace,8.6017,pelagic
Pseudocarchariidae,j,wire,Hawaii,USA,Gilman et al (2022),Sharks,3,0,Pseudocarcharias kamoharai,longline,122,295,matrotrophic viviparity,ram,at-vessel mortality,,Pseudocarcharias,5.2458,pelagic
Carcharhinidae,j,wire,Hawaii,USA,Gilman et al (2022),Sharks,4,0,Carcharhinus falciformis,longline,350,250,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,10.089,pelagic
Alopiidae,other,mono,Hawaii,USA,Gilman et al (2022),Sharks,23,0.04347826086956521,Alopias superciliosus,longline,484,361.5,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,11.023,pelagic
Carcharhinidae,other,mono,Hawaii,USA,Gilman et al (2022),Sharks,30,0.1,Prionace glauca,longline,383.5,500,matrotrophic viviparity,ram,at-vessel mortality,,Prionace,8.6017,pelagic
Carcharhinidae,other,mono,Hawaii,USA,Gilman et al (2022),Sharks,1,1,Carcharhinus longimanus,longline,350,541,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,9.5821,pelagic
Dasyatidae,other,mono,Hawaii,USA,Gilman et al (2022),Batoids,4,0.25,Pteroplatytrygon violacea,longline,163.5,190.5,matrotrophic viviparity,stationary,at-vessel mortality,,Pteroplatytrygon,8.2973,pelagic
Lamnidae,other,mono,Hawaii,USA,Gilman et al (2022),Sharks,4,0.5,Isurus oxyrinchus,longline,445,375,matrotrophic viviparity,ram,at-vessel mortality,,Isurus,13.922,pelagic
Alopiidae,other,other,Hawaii,USA,Gilman et al (2022),Sharks,2,0,Alopias superciliosus,longline,484,361.5,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,11.023,pelagic
Carcharhinidae,other,other,Hawaii,USA,Gilman et al (2022),Sharks,147,0.09523809523809525,Prionace glauca,longline,383.5,500,matrotrophic viviparity,ram,at-vessel mortality,,Prionace,8.6017,pelagic
Carcharhinidae,other,other,Hawaii,USA,Gilman et al (2022),Sharks,1,1,Carcharhinus longimanus,longline,350,541,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,9.5821,pelagic
Dasyatidae,other,other,Hawaii,USA,Gilman et al (2022),Batoids,28,0.6071428571428571,Pteroplatytrygon violacea,longline,163.5,190.5,matrotrophic viviparity,stationary,at-vessel mortality,,Pteroplatytrygon,8.2973,pelagic
Lamnidae,other,other,Hawaii,USA,Gilman et al (2022),Sharks,1,0,Lamna ditropis,longline,305,325,matrotrophic viviparity,ram,at-vessel mortality,,Lamna,6.2338,pelagic
Lamnidae,other,other,Hawaii,USA,Gilman et al (2022),Sharks,1,0,Isurus oxyrinchus,longline,445,375,matrotrophic viviparity,ram,at-vessel mortality,,Isurus,13.922,pelagic
Somniosidae,other,other,Hawaii,USA,Gilman et al (2022),Sharks,1,0,Scymnodon ichiharai,longline,151.1,640,lecithotrophic viviparity,stationary,at-vessel mortality,,Scymnodon,3.9064,pelagic
Alopiidae,other,wire,Hawaii,USA,Gilman et al (2022),Sharks,12,0.16666666666666666,Alopias superciliosus,longline,484,361.5,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,11.023,pelagic
Carcharhinidae,other,wire,Hawaii,USA,Gilman et al (2022),Sharks,166,0.01204819277108433,Prionace glauca,longline,383.5,500,matrotrophic viviparity,ram,at-vessel mortality,,Prionace,8.6017,pelagic
Pseudocarchariidae,other,wire,Hawaii,USA,Gilman et al (2022),Sharks,1,0,Pseudocarcharias kamoharai,longline,122,295,matrotrophic viviparity,ram,at-vessel mortality,,Pseudocarcharias,5.2458,pelagic
Carcharhinidae,other,wire,Hawaii,USA,Gilman et al (2022),Sharks,7,0.14285714285714285,Carcharhinus longimanus,longline,350,541,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,9.5821,pelagic
Dasyatidae,other,wire,Hawaii,USA,Gilman et al (2022),Batoids,18,0.5,Pteroplatytrygon violacea,longline,163.5,190.5,matrotrophic viviparity,stationary,at-vessel mortality,,Pteroplatytrygon,8.2973,pelagic
Lamnidae,other,wire,Hawaii,USA,Gilman et al (2022),Sharks,2,0,Isurus oxyrinchus,longline,445,375,matrotrophic viviparity,ram,at-vessel mortality,,Isurus,13.922,pelagic
Carcharhinidae,other,wire,Hawaii,USA,Gilman et al (2022),Sharks,1,0,Carcharhinus falciformis,longline,350,250,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,10.089,pelagic
Alopiidae,other,mono,Hawaii,USA,Gilman et al (2022),Sharks,1,0,Alopias superciliosus,longline,484,361.5,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,11.023,pelagic
Carcharhinidae,other,mono,Hawaii,USA,Gilman et al (2022),Sharks,47,0.02127659574468085,Prionace glauca,longline,383.5,500,matrotrophic viviparity,ram,at-vessel mortality,,Prionace,8.6017,pelagic
Lamnidae,other,mono,Hawaii,USA,Gilman et al (2022),Sharks,1,0,Isurus paucus,longline,427,876,matrotrophic viviparity,ram,at-vessel mortality,,Isurus,10.319,pelagic
Carcharhinidae,other,mono,Hawaii,USA,Gilman et al (2022),Sharks,1,0,Carcharhinus longimanus,longline,350,541,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,9.5821,pelagic
Dasyatidae,other,mono,Hawaii,USA,Gilman et al (2022),Batoids,3,0,Pteroplatytrygon violacea,longline,163.5,190.5,matrotrophic viviparity,stationary,at-vessel mortality,,Pteroplatytrygon,8.2973,pelagic
Alopiidae,other,wire,Hawaii,USA,Gilman et al (2022),Sharks,2,0.5,Alopias superciliosus,longline,484,361.5,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,11.023,pelagic
Carcharhinidae,other,wire,Hawaii,USA,Gilman et al (2022),Sharks,200,0.045,Prionace glauca,longline,383.5,500,matrotrophic viviparity,ram,at-vessel mortality,,Prionace,8.6017,pelagic
Carcharhinidae,other,wire,Hawaii,USA,Gilman et al (2022),Sharks,3,0,Carcharhinus longimanus,longline,350,541,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,9.5821,pelagic
Dasyatidae,other,wire,Hawaii,USA,Gilman et al (2022),Batoids,8,0,Pteroplatytrygon violacea,longline,163.5,190.5,matrotrophic viviparity,stationary,at-vessel mortality,,Pteroplatytrygon,8.2973,pelagic
Somniosidae,other,wire,Hawaii,USA,Gilman et al (2022),Sharks,1,1,Scymnodon ichiharai,longline,151.1,640,lecithotrophic viviparity,stationary,at-vessel mortality,,Scymnodon,3.9064,pelagic
Carcharhinidae,j,wire,North Pacific Ocean,Japan,Gilman et al (2022),Sharks,267,0.02621722846441947,Prionace glauca,longline,383.5,500,matrotrophic viviparity,ram,at-vessel mortality,,Prionace,8.6017,pelagic
Lamnidae,j,wire,North Pacific Ocean,Japan,Gilman et al (2022),Sharks,3,0.3333333333333333,Isurus oxyrinchus,longline,445,375,matrotrophic viviparity,ram,at-vessel mortality,,Isurus,13.922,pelagic
Lamnidae,j,wire,North Pacific Ocean,Japan,Gilman et al (2022),Sharks,1,0,Isurus paucus,longline,427,876,matrotrophic viviparity,ram,at-vessel mortality,,Isurus,10.319,pelagic
Alopiidae,j,wire,North Pacific Ocean,Japan,Gilman et al (2022),Sharks,1,1,Alopias vulpinus,longline,573.3,325,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,8.7014,pelagic
Alopiidae,j,wire,North Pacific Ocean,Japan,Gilman et al (2022),Sharks,2,0,Alopias superciliosus,longline,484,361.5,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,11.023,pelagic
Carcharhinidae,c,wire,North Pacific Ocean,Japan,Gilman et al (2022),Sharks,488,0.03483606557377049,Prionace glauca,longline,383.5,500,matrotrophic viviparity,ram,at-vessel mortality,,Prionace,8.6017,pelagic
Lamnidae,c,wire,North Pacific Ocean,Japan,Gilman et al (2022),Sharks,8,0,Isurus oxyrinchus,longline,445,375,matrotrophic viviparity,ram,at-vessel mortality,,Isurus,13.922,pelagic
Lamnidae,c,wire,North Pacific Ocean,Japan,Gilman et al (2022),Sharks,2,0,Isurus paucus,longline,427,876,matrotrophic viviparity,ram,at-vessel mortality,,Isurus,10.319,pelagic
Alopiidae,c,wire,North Pacific Ocean,Japan,Gilman et al (2022),Sharks,1,0,Alopias vulpinus,longline,573.3,325,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,8.7014,pelagic
Alopiidae,c,wire,North Pacific Ocean,Japan,Gilman et al (2022),Sharks,1,1,Alopias superciliosus,longline,484,361.5,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,11.023,pelagic
Carcharhinidae,c,wire,North Pacific Ocean,Japan,Gilman et al (2022),Sharks,1,0,Carcharhinus longimanus,longline,350,541,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,9.5821,pelagic
Carcharhinidae,c,wire,North Pacific Ocean,Japan,Gilman et al (2022),Sharks,2,0,Carcharhinus falciformis,longline,350,250,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,10.089,pelagic
Carcharhinidae,j,mono,North Pacific Ocean,Japan,Gilman et al (2022),Sharks,783,0.0983397190293742,Prionace glauca,longline,383.5,500,matrotrophic viviparity,ram,at-vessel mortality,,Prionace,8.6017,pelagic
Lamnidae,j,mono,North Pacific Ocean,Japan,Gilman et al (2022),Sharks,3,0.3333333333333333,Lamna ditropis,longline,305,325,matrotrophic viviparity,ram,at-vessel mortality,,Lamna,6.2338,pelagic
Lamnidae,j,mono,North Pacific Ocean,Japan,Gilman et al (2022),Sharks,6,0.3333333333333333,Isurus oxyrinchus,longline,445,375,matrotrophic viviparity,ram,at-vessel mortality,,Isurus,13.922,pelagic
Alopiidae,j,mono,North Pacific Ocean,Japan,Gilman et al (2022),Sharks,1,1,Alopias vulpinus,longline,573.3,325,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,8.7014,pelagic
Carcharhinidae,c,mono,North Pacific Ocean,Japan,Gilman et al (2022),Sharks,1815,0.10798898071625344,Prionace glauca,longline,383.5,500,matrotrophic viviparity,ram,at-vessel mortality,,Prionace,8.6017,pelagic
Lamnidae,c,mono,North Pacific Ocean,Japan,Gilman et al (2022),Sharks,5,0.6,Lamna ditropis,longline,305,325,matrotrophic viviparity,ram,at-vessel mortality,,Lamna,6.2338,pelagic
Carcharhinidae,j,other,Atlantic Ocean,Portugal,Gilman et al (2022),Sharks,24958,0.1329834121323824,Prionace glauca,longline,383.5,500,matrotrophic viviparity,ram,at-vessel mortality,,Prionace,8.6017,pelagic
Lamnidae,j,other,Atlantic Ocean,Portugal,Gilman et al (2022),Sharks,1613,0.36577805331680097,Isurus oxyrinchus,longline,445,375,matrotrophic viviparity,ram,at-vessel mortality,,Isurus,13.922,pelagic
Carcharhinidae,j,wire,Atlantic Ocean,Portugal,Gilman et al (2022),Sharks,41,0.902439024390244,Prionace glauca,longline,383.5,500,matrotrophic viviparity,ram,at-vessel mortality,,Prionace,8.6017,pelagic
Alopiidae,j,wire,Atlantic Ocean,Portugal,Gilman et al (2022),Sharks,24,0.5,Alopias superciliosus,longline,484,361.5,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,11.023,pelagic
Carcharhinidae,j,wire,Atlantic Ocean,Portugal,Gilman et al (2022),Sharks,42,0.8333333333333334,Carcharhinus falciformis,longline,350,250,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,10.089,pelagic
Dasyatidae,j,wire,Atlantic Ocean,Portugal,Gilman et al (2022),Batoids,124,0,Pteroplatytrygon violacea,longline,163.5,190.5,matrotrophic viviparity,stationary,at-vessel mortality,,Pteroplatytrygon,8.2973,pelagic
Lamnidae,j,wire,Atlantic Ocean,Portugal,Gilman et al (2022),Sharks,62,0.9516129032258064,Lamna nasus,longline,365,904.5,matrotrophic viviparity,ram,at-vessel mortality,,Lamna,6.2338,pelagic
Pseudocarchariidae,j,wire,Atlantic Ocean,Portugal,Gilman et al (2022),Sharks,6,0.3333333333333333,Pseudocarcharias kamoharai,longline,122,295,matrotrophic viviparity,ram,at-vessel mortality,,Pseudocarcharias,5.2458,pelagic
Mobulidae,j,wire,Atlantic Ocean,Portugal,Gilman et al (2022),Batoids,7,0,Mobula birostris,longline,700,500,matrotrophic viviparity,ram,at-vessel mortality,,Mobula,6.353,pelagic
Mobulidae,j,wire,Atlantic Ocean,Portugal,Gilman et al (2022),Batoids,15,0,Mobula mobular,longline,520,350,matrotrophic viviparity,ram,at-vessel mortality,,Mobula,6.613,pelagic
Lamnidae,j,wire,Atlantic Ocean,Portugal,Gilman et al (2022),Sharks,13,0.8461538461538461,Isurus oxyrinchus,longline,445,375,matrotrophic viviparity,ram,at-vessel mortality,,Isurus,13.922,pelagic
Sphyrnidae,j,wire,Atlantic Ocean,Portugal,Gilman et al (2022),Sharks,1,1,Sphyrna zygaena,longline,400,100,matrotrophic viviparity,ram,at-vessel mortality,,Sphyrna,10.906,pelagic
Carcharhinidae,j,other,Indian Ocean,Portugal,Gilman et al (2022),Sharks,767,0.22033898305084745,Prionace glauca,longline,383.5,500,matrotrophic viviparity,ram,at-vessel mortality,,Prionace,8.6017,pelagic
Alopiidae,j,other,Indian Ocean,Portugal,Gilman et al (2022),Sharks,10,0.4,Alopias superciliosus,longline,484,361.5,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,11.023,pelagic
Carcharhinidae,j,other,Indian Ocean,Portugal,Gilman et al (2022),Sharks,8,0,Carcharhinus longimanus,longline,350,541,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,9.5821,pelagic
Dasyatidae,j,other,Indian Ocean,Portugal,Gilman et al (2022),Batoids,25,0,Pteroplatytrygon violacea,longline,163.5,190.5,matrotrophic viviparity,stationary,at-vessel mortality,,Pteroplatytrygon,8.2973,pelagic
Lamnidae,j,wire,Indian Ocean,Portugal,Gilman et al (2022),Sharks,2,0,Lamna nasus,longline,365,904.5,matrotrophic viviparity,ram,at-vessel mortality,,Lamna,6.2338,pelagic
Pseudocarchariidae,j,wire,Indian Ocean,Portugal,Gilman et al (2022),Sharks,1,0,Pseudocarcharias kamoharai,longline,122,295,matrotrophic viviparity,ram,at-vessel mortality,,Pseudocarcharias,5.2458,pelagic
Lamnidae,j,other,Indian Ocean,Portugal,Gilman et al (2022),Sharks,26,0,Isurus oxyrinchus,longline,445,375,matrotrophic viviparity,ram,at-vessel mortality,,Isurus,13.922,pelagic
Sphyrnidae,j,wire,Indian Ocean,Portugal,Gilman et al (2022),Sharks,4,1,Sphyrna zygaena,longline,400,100,matrotrophic viviparity,ram,at-vessel mortality,,Sphyrna,10.906,pelagic
Carcharhinidae,c,other,Northeast Atlantic Ocean,USA,Gilman et al (2022),Sharks,26,0.07692307692307693,Prionace glauca,longline,383.5,500,matrotrophic viviparity,ram,at-vessel mortality,,Prionace,8.6017,pelagic
Carcharhinidae,j,other,Northeast Atlantic Ocean,USA,Gilman et al (2022),Sharks,36,0.2222222222222222,Prionace glauca,longline,383.5,500,matrotrophic viviparity,ram,at-vessel mortality,,Prionace,8.6017,pelagic
Carcharhinidae,c,mono,South Atlantic,Brazil,Gilman et al (2022),Sharks,52,0.8461538461538461,Carcharhinus signatus,longline,280,300,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,10.667,pelagic
Carcharhinidae,c,mono,South Atlantic,Brazil,Gilman et al (2022),Sharks,34,0.14705882352941177,Prionace glauca,longline,383.5,500,matrotrophic viviparity,ram,at-vessel mortality,,Prionace,8.6017,pelagic
Carcharhinidae,j,mono,South Atlantic,Brazil,Gilman et al (2022),Sharks,32,0.71875,Carcharhinus signatus,longline,280,300,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,10.667,pelagic
Carcharhinidae,j,mono,South Atlantic,Brazil,Gilman et al (2022),Sharks,29,0.1724137931034483,Prionace glauca,longline,383.5,500,matrotrophic viviparity,ram,at-vessel mortality,,Prionace,8.6017,pelagic
Carcharhinidae,c,mono,South Atlantic,Brazil,Gilman et al (2022),Sharks,34,0.9705882352941176,Prionace glauca,longline,383.5,500,matrotrophic viviparity,ram,at-vessel mortality,,Prionace,8.6017,pelagic
Pseudocarchariidae,c,mono,South Atlantic,Brazil,Gilman et al (2022),Sharks,17,0.8823529411764706,Pseudocarcharias kamoharai,longline,122,295,matrotrophic viviparity,ram,at-vessel mortality,,Pseudocarcharias,5.2458,pelagic
Carcharhinidae,c,mono,South Atlantic,Brazil,Gilman et al (2022),Sharks,11,0.7272727272727273,Carcharhinus longimanus,longline,350,541,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,9.5821,pelagic
Lamnidae,c,mono,South Atlantic,Brazil,Gilman et al (2022),Sharks,4,0.75,Isurus oxyrinchus,longline,445,375,matrotrophic viviparity,ram,at-vessel mortality,,Isurus,13.922,pelagic
Carcharhinidae,c,mono,South Atlantic,Brazil,Gilman et al (2022),Sharks,2,0.5,Carcharhinus falciformis,longline,350,250,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,10.089,pelagic
Dasyatidae,c,mono,South Atlantic,Brazil,Gilman et al (2022),Batoids,20,1,Pteroplatytrygon violacea,longline,163.5,190.5,matrotrophic viviparity,stationary,at-vessel mortality,,Pteroplatytrygon,8.2973,pelagic
Carcharhinidae,j,mono,South Atlantic,Brazil,Gilman et al (2022),Sharks,35,0.11428571428571428,Prionace glauca,longline,383.5,500,matrotrophic viviparity,ram,at-vessel mortality,,Prionace,8.6017,pelagic
Pseudocarchariidae,j,mono,South Atlantic,Brazil,Gilman et al (2022),Sharks,8,0.25,Pseudocarcharias kamoharai,longline,122,295,matrotrophic viviparity,ram,at-vessel mortality,,Pseudocarcharias,5.2458,pelagic
