family,hook,leader,location,flagstate,source,group,sample_size,estimate,scientific_name,gear_class,max_size_cm,median_depth,reproductive_mode,ventilation_method,estimate_type,redlist_category,genus,ac,habitat
Sphyrnidae,j,other,Tropical Atlantic,Portugal,Gilman et al (2022),Sharks,21,0.5714285714285714,Sphyrna lewini,longline,430,521.5,matrotrophic viviparity,ram,at-vessel mortality,,Sphyrna,14.608,pelagic
Carcharhinidae,j,other,Tropical Atlantic,Portugal,Gilman et al (2022),Sharks,11,0.6363636363636364,Carcharhinus altimus,longline,300,405,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,17.283,pelagic
Lamnidae,j,other,Tropical Atlantic,Portugal,Gilman et al (2022),Sharks,10,0.3,Lamna nasus,longline,365,904.5,matrotrophic viviparity,ram,at-vessel mortality,,Lamna,6.2338,pelagic
Alopiidae,j,other,Tropical Atlantic,Portugal,Gilman et al (2022),Sharks,3,0.6666666666666666,Alopias vulpinus,longline,573.3,325,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,8.7014,pelagic
Sphyrnidae,j,other,Tropical Atlantic,Portugal,Gilman et al (2022),Sharks,3,0,Sphyrna mokarran,longline,610,150,matrotrophic viviparity,ram,at-vessel mortality,,Sphyrna,7.3981,pelagic
Ginglymostomatidae,j,other,Tropical Atlantic,Portugal,Gilman et al (2022),Sharks,1,0,Ginglymostoma cirratum,longline,308,65,lecithotrophic viviparity,stationary,at-vessel mortality,,Ginglymostoma,3.1785,pelagic
Ginglymostomatidae,j,other,Tropical Atlantic,Portugal,Gilman et al (2022),Sharks,1,0,Ginglymostoma cirratum,longline,308,65,lecithotrophic viviparity,ram,at-vessel mortality,,Ginglymostoma,3.1785,pelagic
Ginglymostomatidae,j,other,Tropical Atlantic,Portugal,Gilman et al (2022),Sharks,1,0,Ginglymostoma cirratum,longline,308,65,lecithotrophic oviparity,stationary,at-vessel mortality,,Ginglymostoma,3.1785,pelagic
Centrophoridae,j,other,Tropical Atlantic,Portugal,Gilman et al (2022),Sharks,1,1,Centrophorus granulosus,longline,176,775,lecithotrophic viviparity,stationary,at-vessel mortality,,Centrophorus,9.3579,demersal
Dalatiidae,j,other,Tropical Atlantic,Portugal,Gilman et al (2022),Sharks,1,0,Isistius brasiliensis,longline,42,1850,lecithotrophic viviparity,ram,at-vessel mortality,,Isistius,15.604,pelagic
Alopiidae,j,mono,Tropical Atlantic,Portugal,Gilman et al (2022),Sharks,32,0.375,Alopias superciliosus,longline,484,361.5,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,11.023,pelagic
Dasyatidae,j,mono,Tropical Atlantic,Portugal,Gilman et al (2022),Batoids,123,0.0975609756097561,Pteroplatytrygon violacea,longline,163.5,190.5,matrotrophic viviparity,stationary,at-vessel mortality,,Pteroplatytrygon,8.2973,pelagic
Pseudocarchariidae,j,mono,Tropical Atlantic,Portugal,Gilman et al (2022),Sharks,117,0.08547008547008547,Pseudocarcharias kamoharai,longline,122,295,matrotrophic viviparity,ram,at-vessel mortality,,Pseudocarcharias,5.2458,pelagic
Alopiidae,c,mono,Tropical Atlantic,Portugal,Gilman et al (2022),Sharks,62,0.935483870967742,Alopias superciliosus,longline,484,361.5,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,11.023,pelagic
