scientific_name,common_name,family,order,ventilation_method,max_size_cm,measure,median_depth,reproductive_mode,habitat_associated,notes
Centrophorus granulosus,Gulper shark,Centrophoridae,Squaliformes,stationary,176,total_length,775,yolk-sac viviparity,bathydemersal,
Centrophorus lusitanicus,Lowfin gulper shark,Centrophoridae,Squaliformes,stationary,119,total_length,850,yolk-sac viviparity,bathydemersal,
Centrophorus squamosus,Leafscale gulper shark,Centrophoridae,Squaliformes,stationary,166,total_length,1683,yolk-sac viviparity,bathydemersal,
Centroscyllium fabricii,Black dogfish,Etmopteridae,Squaliformes,stationary,120,total_length,1190,yolk-sac viviparity,bathydemersal,
Centroscymnus coelolepis,Portuguese dogfish,Somniosidae,Squaliformes,stationary,130,total_length,1901.5,yolk-sac viviparity,bathydemersal,
Centroselachus crepidater,Longnose velvet dogfish,Somniosidae,Squaliformes,stationary,105,total_length,1140,yolk-sac viviparity,bathydemersal,
Cephaloscyllium isabellum,Draughtsboard shark,Scyliorhinidae,Carcharhiniformes,stationary,150,total_length,399.5,oviparous,reef-associated,
Cetorhinus maximus,Basking shark,Cetorhinidae,Lamniformes,ram,1097.3,total_length,632,oophagy,pelagic,
Chiloscyllium arabicum,Arabian carpetshark,Hemiscylliidae,Orectolobiformes,stationary,80,total_length,51,oviparous,demersal,
Dalatias licha,Kitefin shark,Dalatiidae,Squaliformes,stationary,182,total_length,915.5,yolk-sac viviparity,bathydemersal,
Dasyatidae,,,,,,,,,,
Dasyatis,,Dasyatidae,Myliobatiformes,stationary,,disk_width,,histotrophy,coastal,
Hemitrygon akajei,Whip stingray,Dasyatidae,Myliobatiformes,stationary,87.7,disk_width,240,histotrophy,coastal,
Bathytoshia centroura,Roughtail stingray,Dasyatidae,Myliobatiformes,stationary,260,disk_width,137,histotrophy,coastal,
Hypanus guttatus,Longnose stingray,Dasyatidae,Myliobatiformes,stationary,200,disk_width,35,histotrophy,coastal,
Hypanus longus,Longtail stingray,Dasyatidae,Myliobatiformes,stationary,180,disk_width,59,histotrophy,coastal,
Dasyatis marmorata,Marbled stingray,Dasyatidae,Myliobatiformes,stationary,44,disk_width,56,histotrophy,coastal,
Dasyatis pastinaca,Common stingray,Dasyatidae,Myliobatiformes,stationary,69,disk_width,100.5,histotrophy,coastal,
Deania calcea,Birdbeak dogfish,Centrophoridae,Squaliformes,stationary,162,total_length,782,yolk-sac viviparity,bathydemersal,
Dipturus batis,Common skate,Rajidae,Rajiformes,stationary,285,total_length,550,oviparous,demersal,
Dipturus laevis,Barndoor skate,Rajidae,Rajiformes,stationary,163,total_length,394,oviparous,demersal,
Dipturus oxyrinchus,Longnosed skate,Rajidae,Rajiformes,stationary,150,total_length,650,oviparous,demersal,
Dipturus trachydermus,Roughskin skate,Rajidae,Rajiformes,stationary,264,total_length,260,oviparous,demersal,
Echinorhinus brucus,Bramble shark,Echinorhinidae,Squaliformes,stationary,394,total_length,455,yolk-sac viviparity,bathydemersal,
Elasmobranchii,,,,,,,,,,
Etmopterus,Lanternsharks,Etmopteridae,Squaliformes,stationary,,total_length,,yolk-sac viviparity,demersal,
Etmopterus princeps,Great lanternshark,Etmopteridae,Squaliformes,stationary,94,total_length,1281.5,yolk-sac viviparity,demersal,
