SciName,r_fin
Limanda aspera,0.1957973834
Sebastes flavidus,0.05852320735
Polydactylus quadrifilis,0.5641203994
Pseudopleuronectes herzensteini,0.483128298
Conger orbignianus,0.269522379
Pseudopercis semifasciata,0.636895363
Cottoperca gobio,0.6301792688
Zenopsis nebulosa,0.198679481
Cilus gilberti,0.6246151211
Cynoscion guatucupa,0.546839108
Limanda limanda,0.4611844334
Liza klunzingeri,0.4902727635
Dipturus batis,0.066409282
Dipturus oxyrinchus,0.162442229
Dipturus innominatus,0.07702100225
Leucoraja fullonica,0.108265278
Leucoraja circularis,0.108265278
Leucoraja naevus,0.067479913
Meuschenia scaber,1.031915321
Alectis alexandrinus,0.28
Coelorinchus chilensis,0.2073740791
Nemadactylus bergi,0.189455252
Larimichthys polyactis,0.5467922171
Haemulon plumierii,0.5786551709
Acanthopagrus schlegelii,0.44458551
Eleginus nawaga,0.37986791600000003
Salvelinus alpinus,0.2
Hyporthodus flavolimbatus,0.175094567
Hyporthodus mystacinus,0.192928912
Hyporthodus nigritus,0.138991562
Hyporthodus niveatus,0.165514413
Scolopsis taeniata,1.10849102
Kajikia albida,0.387272323
Ilisha africana,1.109770194
Alosa immaculata,0.989034626
Percophis brasiliensis,0.2577946334
Platycephalus indicus,0.4787213898
Salmo trutta,0.7458586273
Sarda chiliensis,0.4741686758
Larimichthys crocea,0.601331042
Pennahia argentata,0.804667561
Bothus pantherinus,0.7856311563
Mugil curema,0.5197554148
Seriola rivoliana,0.5058448981
Trachurus lathami,0.7040503641
Coryphaena hippurus,0.7955603449
Lutjanus purpureus,0.307978176
Diapterus auratus,1.366610205
Larimus breviceps,0.7168332183
Mugil liza,0.477722143
Aphia minuta,1.70140334
Chelidonichthys cuculus,0.230982835
Belone belone,0.4789948705
Epinephelus striatus,0.2631075006
Molva molva,0.1116470263
Pollachius pollachius,0.4373369226
Acanthocybium solandri,0.5226842261
Auxis thazard,0.704484871
Capros aper,0.435056667
Caranx hippos,0.8714137407
Cepola macrophthalma,0.6627629437
Chanos chanos,0.5661452141
Ctenolabrus rupestris,0.4919713239
Dicentrarchus labrax,0.5314506392
Euthynnus affinis,0.6308334135
Euthynnus alletteratus,0.3302552951
Eutrigla gurnardus,0.181531455
Helicolenus dactylopterus,0.1493212915
Istiophorus platypterus,0.4661668493
Gymnosarda unicolor,0.5965182234
Lutjanus guttatus,0.3696228579
Lutjanus kasmira,0.4541781935
Lutjanus malabaricus,0.2999894485
Lutjanus peru,0.2685980965
Lutjanus quinquelineatus,0.3268468686
Lutjanus synagris,0.6605296699
Lutjanus vivanus,0.2516529331
Ocyurus chrysurus,0.4739258499
Orcynopsis unicolor,0.5965182234
Rastrelliger brachysoma,1.171892667
Rastrelliger kanagurta,1.130434227
Sarda orientalis,0.3409092217
Sarda sarda,0.7030093874
Scomberomorus commerson,0.543282813
Scomberomorus guttatus,0.5003105941
Scomberomorus lineolatus,0.2978905824
Scomberomorus regalis,0.602525476
Scomberomorus tritor,1.01040211
Thunnus atlanticus,0.4114649562
Thunnus tonggol,0.2217748138
Acanthistius brasilianus,0.3928226144
Albula vulpes,0.4633329042
Glossanodon semifasciatus,0.5186609636
Arripis georgianus,0.3878832127
Conger myriaster,0.2695223787
Boops boops,0.4707123195
Boreogadus saida,0.3707615497
Brama brama,0.2537322299
Centropomus undecimalis,0.6418890946
Chloroscombrus chrysurus,0.8173003682
Conger conger,0.2083425047
Conger oceanicus,0.2695223787
Coregonus albula,0.4207879027
Decapterus russelli,1.232939226
Dicentrarchus punctatus,0.4926438381
Eleginus gracilis,0.307311992
Eleutheronema tetradactylum,0.643974845
Harpadon nehereus,0.4522199918
Isacia conceptionis,0.654886592
Lactarius lactarius,0.8941727712
Lates calcarifer,0.7074439847
Lutjanus gibbus,0.4363633077
Lutjanus griseus,0.3286310328
Lutjanus johnii,0.3650005125
Megalaspis cordyla,0.8554728179
Megalops cyprinoides,0.2196311142
Mene maculata,0.6813727153
Menidia menidia,0.8830689836
Microgadus tomcod,0.4610775695
Muraenesox cinereus,0.4092293866
Nemipterus virgatus,0.9571447577
Oncorhynchus gorbuscha,0.4915202212
Oncorhynchus keta,0.3322358848
Oncorhynchus kisutch,0.52822829
Oncorhynchus masou,0.488
Oncorhynchus nerka,0.3433421442
Oncorhynchus tshawytscha,0.4915202212
Osmerus mordax,0.08775513243
Paralabrax humeralis,0.2749893755
Parona signata,0.934625792
Pentanemus quinquarius,0.6870123869
Plectorhinchus mediterraneus,0.2945702926
Polyprion americanus,0.09706333301
Pomadasys argenteus,0.8058779694
Salilota australis,0.246865935
Sarpa salpa,0.5113056731
Selar crumenophthalmus,1.355871747
Selaroides leptolepis,1.611950512
Selene dorsalis,0.6549165408
Selene setapinnis,0.8953283909
Trachinotus carolinus,0.8428354635
Trachurus declivis,0.2896134768
Trachurus symmetricus,0.2383762954
Urophycis brasiliensis,0.3751318403
Urophycis chuss,0.3035542991
Zenopsis conchifer,0.2463721137
Ablennes hians,0.5809176178
Amphichthys cryptocentrus,0.57223899
Archosargus probatocephalus,0.6095795937
Arctoscopus japonicus,0.6301792688
Argyrops spinifer,0.4944861328
Argyrosomus hololepidotus,0.2279530542
Argyrosomus regius,0.1490752935
Argyrozona argyrozona,0.3384602788
Atractoscion aequidens,0.3118532119
Atrobucca nibe,0.4608215116
Austroglossus microlepis,0.1855808814
Austroglossus pectoralis,0.2676434264
Brotula barbata,0.2764273455
Carcharhinus brachyurus,0.0689476013
Carcharhinus falciformis,0.06680203028
Carcharhinus longimanus,0.0926683967
Carcharhinus sorrah,0.1811395766
Centrophorus granulosus,0.04415460742
Centrophorus squamosus,0.03057990821
Cephaloscyllium isabellum,0.1883592551
Cetengraulis edentulus,0.5081147017
Cetengraulis mysticetus,0.8275132588
Cheimerius nufar,0.4379947814
Chelidonichthys kumu,0.2307969136
Conodon nobilis,0.654886592
Cynoscion analis,0.5516308084
Cynoscion nebulosus,0.4366337922
Cynoscion striatus,0.5618836344
Dalatias licha,0.1295059515
Dentex dentex,0.2949348703
Drepane punctata,0.5373129007
Eleginops maclovinus,0.1852463718
Epinephelus aeneus,0.1732253225
Etmopterus spinax,0.04213873119
Galeocerdo cuvier,0.07620951369
Genyonemus lineatus,0.6246151211
Hexanchus griseus,0.1641920508
Lepidopus caudatus,0.2925135589
Lichia amia,0.934625792
Lithognathus mormyrus,0.5170224869
Macrodon ancylodon,0.6174178195
Menticirrhus littoralis,0.5524219705
Menticirrhus saxatilis,0.4978805021
Naucrates ductor,1.064734154
Oblada melanura,0.4308825118
Oxynotus centrina,0.1295059515
Pagellus acarne,0.4782227537
Pampus argenteus,0.6662192937
Paralonchurus peruanus,0.6246151211
Parapercis colias,0.4470646179
Petrus rupestris,0.257114227
Pogonias cromis,0.1865247498
Prionace glauca,0.05518436539
Psenopsis anomala,0.7020699186
Psettodes erumei,0.8550804047
Pseudotolithus senegalensis,0.4770746996
Pterogymnus laniarius,0.38424962
Pteroscion peli,0.6246151211
Pterygotrigla polyommata,0.3880289881
Rhabdosargus globiceps,0.4411788784
Scophthalmus rhombus,0.8373598095
Scyliorhinus stellaris,0.1652798583
Sphyrna lewini,0.06019624192
Sphyrna zygaena,0.1145379044
Squatina argentina,0.1005865986
Stephanolepis cirrhifer,0.842910887
Tautoga onitis,0.359313762
Thyrsites atun,0.3490627516
Zoarces viviparus,0.3307387528
Alepes djedaba,1.017167166
Alosa pseudoharengus,1.842742708
Alosa sapidissima,1.012650669
Amblygaster sirm,1.416628191
Anchoa nasus,1.296884333
Anodontostoma chacunda,1.401207267
Atule mate,1.254655656
Brevoortia aurea,0.9387696821
Carangoides bajad,0.9758470988
Caranx crysos,0.7108643468
Carangoides fulvoguttatus,1.009870027
Caranx ignobilis,0.4220044731
Caranx ruber,0.8242467285
Chirocentrus nudus,0.2695672291
Clupanodon thrissa,1.165208538
Clupeonella cultriventris,0.9078983456
Cynoscion acoupa,0.3921318233
Cynoscion jamaicensis,0.6613780582
Cynoscion leiarchus,0.6465826861
Cynoscion virescens,0.5618836344
Dactylopterus volitans,0.6387550998
Decapterus maruadsi,1.47971252
Diplodus annularis,0.7810986882
Diplodus sargus,0.54
Diplodus vulgaris,0.5828317068
Ethmidium maculatum,1.165208538
Hemiramphus brasiliensis,0.7472244346
Herklotsichthys quadrimaculatus,1.740456307
Hilsa kelee,1.080199315
Ilisha elongata,0.9740023402
Isopisthus parvipinnis,0.6246151211
Konosirus punctatus,0.792958456
Lachnolaimus maximus,0.5032203722
Lampris guttatus,0.6052573274
Lepidocybium flavobrunneum,0.4159568603
Lethrinus harak,0.3956830782
Lethrinus lentjan,0.4280745239
Lethrinus nebulosus,0.3348281894
Lethrinus obsoletus,0.4569312049
Liza aurata,0.4605744656
Liza saliens,0.4980600101
Lutjanus analis,0.3749125664
Lutjanus argentimaculatus,0.3459135583
Lutjanus argentiventris,0.3125075476
Lutjanus bohar,0.4029425875
Lutjanus buccanella,0.5220815631
Lutjanus cyanopterus,0.3812087197
Merluccius albidus,0.3653283162
Microstomus kitt,0.1210552497
Molva dypterygia,0.1223609704
Monotaxis grandoculis,0.5514843744
Mora moro,0.1464674313
Naso unicornis,0.3373340427
Nematalosa nasus,1.124180083
Opisthonema libertate,0.7010942712
Opisthonema oglinum,1.026959074
Osmerus eperlanus,0.09454782792
Pagrus pagrus,0.3936744648
Parastromateus niger,1.069770735
Pegusa lascaris,0.191168732
Phycis phycis,0.5122410908
Platichthys flesus,0.3401482834
Sardinella brasiliensis,0.7882122118
Sardinella gibbosa,1.234370494
Sardinella maderensis,0.8108882024
Sardinella zunasi,0.9384715734
Saurida undosquamis,0.5935382466
Sciaenops ocellatus,0.3472346481
Scomberoides lysan,0.8605702489
Scomberoides tol,0.9110243647
Seriolina nigrofasciata,0.934625792
Serranus cabrilla,0.5110288116
Sphyraena barracuda,0.2827322183
Sphyraena sphyraena,0.4889183364
Spondyliosoma cantharus,0.3950532213
Sprattus fuegensis,0.5934715164
Tenualosa ilisha,1.644075154
Tenualosa toli,2.001580709
